title,address,location-name,state,url,featured_image,type,price
Aaa Residential Elderly Retreat,"4313 Monitor Street, Bakersfield, Ca 93307",Bakersfield,CA,https://app.seniorplace.com/communities/show/39fdccd3-a83c-4cea-a79f-6b021e0353db,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bfc03c0acebc41147863da9700d961eb.jpg,Assisted Living Home,
Aaa Residential Elderly Retreat 2,"1013 White Lane, Bakersfield, Ca 93307",Bakersfield,CA,https://app.seniorplace.com/communities/show/595fb181-4bd6-4caf-a3f2-5010a65010a7,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/885e86a608f2b0b036d72a8385c78615.jpg,Assisted Living Home,
Aaa Residential Elderly Retreat 3,"4825 Kenny Street, Bakersfield, Ca 93307",Bakersfield,CA,https://app.seniorplace.com/communities/show/ef08fa0b-888f-41fb-857d-2323a8ca6e83,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4682b51191fd137a9ba61ab09f316a28.jpg,Assisted Living Home,
Aaa Residential Elderly Retreat 4,"10615 Polo Glen Drive, Bakersfield, Ca 93312",Bakersfield,CA,https://app.seniorplace.com/communities/show/c9b036e3-9d60-4133-af83-187acfa55d20,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d911ba66db47c7fa2a20e9ad793debbe.jpg,Assisted Living Home,
Aaa Royal Senior Living Facility,"6214 Beckford Avenue, Los Angeles, Ca 91335",Los Angeles,CA,https://app.seniorplace.com/communities/show/6db460a5-266f-46da-8604-a2494caae8b6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/73c71a92dacb6228def3859feed41da5.jpg,Assisted Living Home,
Aaa Senior Care,"1998 Clark Tunnel Road, Penryn, Ca 95663",Penryn,CA,https://app.seniorplace.com/communities/show/ac778327-111c-47c8-afed-6688b3fe1631,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1b814e1d9e48cf9f722f16ddc5c678c2.jpg,Assisted Living Home,
Aaas Elderly Care,"3960 Woburn Court, Palmdale, Ca 93551",Palmdale,CA,https://app.seniorplace.com/communities/show/d94695f7-5e42-40b2-8f79-11f0da1ac4db,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5bc623b30e9e7a3ae021be895811c0e6.jpg,Assisted Living Home,
Aaas Guest Home,"4135 Debbyann Place, San Diego, Ca 92154",San Diego,CA,https://app.seniorplace.com/communities/show/7cbaf73f-0fc1-41fa-b64e-215898c304a2,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f88fdf89756f41b5402a6fbec3eef2e3.jpg,Assisted Living Home,
Aar Quality Senior Living,"2247 Lohse Lane, Lincoln, Ca 95648",Lincoln,CA,https://app.seniorplace.com/communities/show/a8937c44-be38-4741-a451-f82e7cf80b9f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/92f229f7d3352ddd65e40298bde7ef53.jpg,Assisted Living Home,
Aarons Advance Care Home,"122 Los Altos Avenue, Walnut Creek, Ca 94598",Walnut Creek,CA,https://app.seniorplace.com/communities/show/08882e71-92bc-4063-b14c-d54128659991,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3a79ee1daab8b134cb0383a133ba8d41.jpg,Assisted Living Home,
Absolute Care,"24651 Palace Court, Laguna Niguel, Ca 92677",Laguna Niguel,CA,https://app.seniorplace.com/communities/show/0185e45f-8dbb-4043-9f02-80e290faca83,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9a5a2655fb72f1f5c0d71bae3ae63b92.jpg,Assisted Living Home,
Absolute Care For Life,"1700 Marlesta Road, Pinole, Ca 94564",Pinole,CA,https://app.seniorplace.com/communities/show/8a2e5594-e917-48af-afff-de3c734aa821,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bfb258888d85f085623e0c5e6782c562.jpg,Assisted Living Home,
Absolute Care Home,"1601 Kipling Court, Oxnard, Ca 93033",Oxnard,CA,https://app.seniorplace.com/communities/show/7434de68-d01a-4952-a86c-feabe3f974bc,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ee7db931bdd453c32d8c779b8e0ac4fe.jpg,Assisted Living Home,
Absolute Comfort Senior Living,"465 South Avenue, Sacramento, Ca 95838",Sacramento,CA,https://app.seniorplace.com/communities/show/84582245-dcc3-43c8-b88a-a642809b8160,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/25f42dfba426f1b450da6a676ebbef9a.jpg,Assisted Living Home,
Absolute Desert Care I,"73137 Somera Road, Palm Desert, Ca 92260",Palm Desert,CA,https://app.seniorplace.com/communities/show/f2a87b71-0c75-42ed-8d41-a27cf64cba8e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4eea7d1868faa33124af87846ea88277.jpg,Assisted Living Home,
Absolute Elderly Care,"13432 Winthrope Street, Santa Ana, Ca 92705",Santa Ana,CA,https://app.seniorplace.com/communities/show/5e2e6f25-e687-4cba-a8d5-7e8efdd39325,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b4bbf274c8dcc21a0aad290be597e009.jpg,Assisted Living Home,
Absolute Gentle Care,"5500 Sunset Oak Court, Sacramento, Ca 95842",Sacramento,CA,https://app.seniorplace.com/communities/show/bec3238d-7bc6-44e2-a3a9-1c452405c7cc,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/eeeb6b364acd13968a8b796736c27816.jpg,Assisted Living Home,
Absolute Managed Care,"1507 West 47Th Street, Los Angeles, Ca 90062",Los Angeles,CA,https://app.seniorplace.com/communities/show/a3efe765-8824-46c3-ae42-57e8ecd0e3ae,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/910d6ba8c768fc32f9e56df2d67320be.jpg,Assisted Living Home,
Absolute Managed Care Ii,"2033 West Imperial Highway, Los Angeles, Ca 90047",Los Angeles,CA,https://app.seniorplace.com/communities/show/83d44bd5-094a-485b-8f7d-bf0da793bc77,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8c3cfeb5546f8d4ad739ee2d87293f95.jpg,Assisted Living Home,
Absolute Managed Care Iii,"4533 South Wilton Place, Los Angeles, Ca 90062",Los Angeles,CA,https://app.seniorplace.com/communities/show/ea7e14ad-cee3-456d-a2ed-727e779e1f1d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5c37c0e16dd7a5b97904e463f37f4f1a.jpg,Assisted Living Home,
Absolute Quality Care Home,"10731 Coloma Street, Loma Linda, Ca 92354",Loma Linda,CA,https://app.seniorplace.com/communities/show/ead8dd87-2018-4824-b665-415fdcca0d39,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/7795b2a39e44482cd77a7ec49c4c5990.jpg,Assisted Living Home,
Abuelos Villa,"192 H Street, Chula Vista, Ca 91910",Chula Vista,CA,https://app.seniorplace.com/communities/show/148f2a7f-a090-4e59-a785-d47d1f10ec38,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/898c37c6c35aa69dae15a4a9f7d3459c.jpg,Assisted Living Home,
Abundant Care,"5506 Somerset Drive, Goleta, Ca 93111",Goleta,CA,https://app.seniorplace.com/communities/show/5fd6458f-d167-47ed-916e-949a586e19e6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c27434618363eb2c7dd838591c01cad1.jpg,Assisted Living Home,
Abundant Care Home,"20218 Tillman Avenue, Carson, Ca 90746",Carson,CA,https://app.seniorplace.com/communities/show/fc58e7c9-f24b-4b0a-bf82-c9404f05bd6c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/79fe3c3d59550124a59313b45f26a5b8.jpg,Assisted Living Home,
Abundant Care Ii,"698 Zink Avenue, Santa Barbara, Ca 93111",Santa Barbara,CA,https://app.seniorplace.com/communities/show/31707ca9-f2cf-416d-9276-3ee23d4e87f3,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/96367015600b19942bf36b80592e5668.jpg,Assisted Living Home,
Alta Loma Board And Care,"6368 Moonstone Avenue, Rancho Cucamonga, Ca 91701",Rancho Cucamonga,CA,https://app.seniorplace.com/communities/show/13fd3e15-651c-44ae-aaec-042538814966,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f4ea408adc5bc26dc514b53cb241d90c.jpg,Assisted Living Home,
Alta Loma Gardens Residential Care 1,"6896 Hellman Avenue, Rancho Cucamonga, Ca 91701",Rancho Cucamonga,CA,https://app.seniorplace.com/communities/show/65d337b6-462f-44f6-9fa8-15abc66ebcaf,,Assisted Living Home,
Alta Loma Gardens Residential Care 2,"1667 Woodbend Drive, Claremont, Ca 91711",Claremont,CA,https://app.seniorplace.com/communities/show/34593e00-40f6-4f8a-b4a2-03d467525610,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4b0c4949407b42e8d9af340be863eb66.jpg,Assisted Living Home,
Alta View Manor,"1727 Tobacco Road, Escondido, Ca 92026",Escondido,CA,https://app.seniorplace.com/communities/show/c71ba48c-d245-4d1b-acaa-f419c84a9fe6,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/07bd57961ce3ce7cc389fd748d7c89e0.jpg,Assisted Living Home,
Alta Vista Care Home,"5349 North Oakbank Drive, Covina, Ca 91722",Covina,CA,https://app.seniorplace.com/communities/show/3e199acf-6877-4cdb-b2bb-640b6f131788,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/83e3fbd3a9a9bb16963ebb26de4c7be1.jpg,Assisted Living Home,
Alta Vista Gardens,"829 North Alta Vista Boulevard, Los Angeles, Ca 90046",Los Angeles,CA,https://app.seniorplace.com/communities/show/de1ab796-7c88-496a-8d4f-3090889d3ab9,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a1ef6e876cde88b4b40ec7e578700196.jpg,Assisted Living Community,
Alta Vista Home,"1975 Alta Vista Drive, Vista, Ca 92084",Vista,CA,https://app.seniorplace.com/communities/show/c32b53e4-f109-410a-80ed-0c320e6d8221,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/71fbd0c6a8cbf218c6941e264819c097.jpg,Assisted Living Home,
Alta Vista Manor,"625 Marazon Lane, Vista, Ca 92081",Vista,CA,https://app.seniorplace.com/communities/show/406def7b-2307-4881-b478-f5ecec2f8c6b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ea7152a0c92484c603a47c5f9ce03b29.jpg,Assisted Living Community,
Alta Vista Rcfe Ii,"1204 North Louise Street, Glendale, Ca 91207",Glendale,CA,https://app.seniorplace.com/communities/show/a1eb9f45-4942-4632-965d-76f0b617d5e3,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0a24d9e17012b16721132b7a1a3a8dd3.jpg,Assisted Living Home,
Alta Vista Senior Living,"2041 West Vista Way, Vista, Ca 92083",Vista,CA,https://app.seniorplace.com/communities/show/069d744b-f73e-44aa-b0f2-6c43a6107918,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5ae5e6176147ec3d86462b85e55ea08a.jpg,Assisted Living Community,
Alta Vista Simi 2,"2942 Rosette Street, Simi Valley, Ca 93065",Simi Valley,CA,https://app.seniorplace.com/communities/show/36fbb990-ba3c-4902-ae6b-785f59467fee,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1c59151396b055c07cc3e378ccd943d8.jpg,Assisted Living Home,
Alta Vista Simi,"2624 Rudolph Drive, Simi Valley, Ca 93065",Simi Valley,CA,https://app.seniorplace.com/communities/show/db461720-8b9d-4ccd-a8ee-9832e114903f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bb765b4114d900b7aed9e52c32e66c7c.jpg,Assisted Living Home,
Altapas Care Center,"2011 Summit Avenue, Pasadena, Ca 91103",Pasadena,CA,https://app.seniorplace.com/communities/show/d3ea1d74-da9a-448c-8b9a-f3b7c18b6579,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ac70250a7e6cbde5c1a5bac5fb25779d.jpg,Assisted Living Home,
Althaia Home,"7122 Mount Vernon Street, Lemon Grove, Ca 91945",Lemon Grove,CA,https://app.seniorplace.com/communities/show/bd46a7b3-6087-4718-8e87-25cc292afbad,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/492d29ba3c12722fbf20f479910e6e3d.jpg,Assisted Living Home,
Altius Ii Adult Residential,"3745 West 157Th Street, Lawndale, Ca 90260",Lawndale,CA,https://app.seniorplace.com/communities/show/2250c647-f286-4c2a-b744-bda25666a61d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f7a40b4cea5e099697deb84c990baa00.jpg,Assisted Living Home,
Alvarado Adult Home,"1071 East Alvarado Street, Pomona, Ca 91767",Pomona,CA,https://app.seniorplace.com/communities/show/5685a9f5-6e2f-4bd7-b1f2-827ee00b46c9,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9f36b4f9e3b58a9da20f3fdd4e1357f8.jpg,Assisted Living Home,
Alvarado Care Home,"1217 South Alvarado Street, Los Angeles, Ca 90006",Los Angeles,CA,https://app.seniorplace.com/communities/show/54210859-661b-4ce5-99f4-0269b8ddcdf3,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0e3fa6b18a51398f45cb65b02d28f1a1.jpg,Assisted Living Home,
American Care Home,"1240 El Camino Real, Atascadero, Ca 93422",Atascadero,CA,https://app.seniorplace.com/communities/show/1443e830-b3ba-4910-92df-1feda432c27c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/7918ed46d84d36c3d1b638f44f7248c8.jpg,Assisted Living Home,
Aptos Country Home,"8 Mountain View Road, Watsonville, Ca 95076",Watsonville,CA,https://app.seniorplace.com/communities/show/214de208-6021-4e60-8875-12f0eb3f58bc,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4bc84be73474fa443bb1c144bccd29cd.jpg,Assisted Living Home,
Aptos Hills Ranch,"133 Browns Valley Road, Watsonville, Ca 95076",Watsonville,CA,https://app.seniorplace.com/communities/show/0202ccd3-cc88-45e2-a7bf-7d962263ab99,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/2fdc5de7858a78ebca9bcb84e72fcbda.jpg,Assisted Living Home,
Aqua Bella Residential Care,"14736 Willow Grove Place, Moreno Valley, Ca 92555",Moreno Valley,CA,https://app.seniorplace.com/communities/show/906a0477-2375-4831-9baa-c1039f45edd5,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ce964a75e9ae4dda1eea2b9aae3812de.jpg,Assisted Living Home,
Aquamarine Retirement Home,"6523 Avenue L7, Lancaster, Ca 93536",Lancaster,CA,https://app.seniorplace.com/communities/show/e212dbd3-61f7-4a10-a260-fa1d484f0f14,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5edf59db377221b56b37d55e42013ef1.jpg,Assisted Living Home,
Aquarius Home,"1765 Aquarius Street, Long Beach, Ca 90810",Long Beach,CA,https://app.seniorplace.com/communities/show/b9193ae0-8beb-4576-834e-48f1ed5a964a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/afd2ca63eed32313f0403a34025cdae1.jpg,Assisted Living Home,
Aquinos Care Home,"2481 Ramona Street, Pinole, Ca 94564",Pinole,CA,https://app.seniorplace.com/communities/show/77cb01d1-edd1-4d4b-a250-f4d721129d82,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/7d6fa1e7cd1584b465b29b51585c9bd9.jpg,Assisted Living Home,
Aquinos Quality Homecare,"598 Ivy Court, Chula Vista, Ca 91911",Chula Vista,CA,https://app.seniorplace.com/communities/show/8aa52ecf-20ac-4670-a7e9-bf73cb9f6c83,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c402defb2614c0c938f2902807a191ab.jpg,Assisted Living Home,
Aquinos Quality Homecare No 2,"1839 Ithaca Street, Chula Vista, Ca 91913",Chula Vista,CA,https://app.seniorplace.com/communities/show/eb6a719b-350c-491f-9fa2-1b7cd147920a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b67ccd6c53ad61ec95431a73675811d2.jpg,Assisted Living Home,
Arabella Care Villa,"1923 West Chateau Avenue, Anaheim, Ca 92804",Anaheim,CA,https://app.seniorplace.com/communities/show/909c0a6d-eb49-490f-b8a3-1adec1668f85,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ec8ed3b3ffd32b0b405a3cb388c96c4c.jpg,Assisted Living Home,
Aragon Manor,"33785 Tamerron Way, Wildomar, Ca 92595",Wildomar,CA,https://app.seniorplace.com/communities/show/20f521dd-9642-4a01-a9ad-9b40496e4ebe,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4533b377a217940654bd65e9407c6c8f.jpg,Assisted Living Home,
Ararat Board And Care,"6614 Teesdale Avenue, Los Angeles, Ca 91606",Los Angeles,CA,https://app.seniorplace.com/communities/show/8b832c01-d18d-4f8d-85d6-a8b8dc567c8c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/65a596ab6438c0d757f332a6f53b6368.jpg,Assisted Living Home,
Ararat Gardens,"1230 East Windsor Road, Glendale, Ca 91205",Glendale,CA,https://app.seniorplace.com/communities/show/073d2fa7-3631-4c83-855c-57ff47c9e4cb,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6694f2d162cdda1c7e084817e78558a6.jpg,Assisted Living Community,
Ararat Home Of Los Angeles,"15105 Mission Hills Road, Los Angeles, Ca 91345",Los Angeles,CA,https://app.seniorplace.com/communities/show/34a14958-eaf3-4c16-98dd-52814a37c7ca,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/deed5d48ae0d7a808a178fa982ddc9bb.jpg,Assisted Living Community,
Ararat Nursing Facility,"15099 Mission Hills Road, Los Angeles, Ca 91345",Los Angeles,CA,https://app.seniorplace.com/communities/show/75ae3d8d-db65-49df-8cda-26c95812e41f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/21692a3fec7571392680e985a9676416.jpg,Assisted Living Community,
Araville Residential Care Home Ii,"1136 Vermont Way, San Bruno, Ca 94066",San Bruno,CA,https://app.seniorplace.com/communities/show/e5685f0c-586a-410c-a16b-3630055241c9,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/e2ce415a67004431bbad998eb50e0e77.jpg,Assisted Living Home,
Araville Residential Care Home Iii,"106 Sycamore Avenue, South San Francisco, Ca 94080",South San Francisco,CA,https://app.seniorplace.com/communities/show/52b60906-b4d5-44be-a040-4db97ac2007a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c189640a56791076a725d15ce0875714.jpg,Assisted Living Home,
Arayata Elderly Care,"44849 Lotus Lane, Lancaster, Ca 93536",Lancaster,CA,https://app.seniorplace.com/communities/show/8868df15-92dd-494d-8557-6bd5c55ed583,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/012ec67b29ad0306b7e840b62570c09b.jpg,Assisted Living Home,
Attentive Manor Ii,"31221 El Toro Road, Cathedral City, Ca 92234",Cathedral City,CA,https://app.seniorplace.com/communities/show/35fa1ff2-4af7-4d74-bb9e-3578ca41aa83,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/498feb4f992062ca57dafbdf0575672d.jpg,Assisted Living Home,
Attentive Senior Care Ii,"6149 East Lowe Avenue, Fresno, Ca 93727",Fresno,CA,https://app.seniorplace.com/communities/show/6a18d1ef-88db-4151-a6f3-3dd5f79996ee,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ef0c6e9f80f1fd8b0cb89dfda98de1c0.jpg,Assisted Living Home,
Attentive Senior Care Iii,"85 West Athens Avenue, Clovis, Ca 93611",Clovis,CA,https://app.seniorplace.com/communities/show/082b9bd6-2d3d-4c4e-8398-272c67a6f0c8,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d04e26cf93379e1b01e1da1537a9125b.jpg,Assisted Living Home,
Attentive Senior Care Iv,"1829 South Fairway Avenue, Fresno, Ca 93727",Fresno,CA,https://app.seniorplace.com/communities/show/811b5c8b-5375-48e8-beeb-10ba5272379f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b7efa4993df5237365cb6060ba93b70d.jpg,Assisted Living Home,
Attentive Senior Care,"36 East Tuolumne Street, Fresno, Ca 93706",Fresno,CA,https://app.seniorplace.com/communities/show/761dae61-1ca4-4d26-a4b4-8144ae21fc19,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6e0d76a87e01a2b1658a3f6fa5df2a0f.jpg,Assisted Living Home,
Atterdag Village Of Solvang,"636 Atterdag Road, Solvang, Ca 93463",Solvang,CA,https://app.seniorplace.com/communities/show/11df8be0-5bfb-4cfe-a02b-49be76293c79,,Assisted Living Community,
Atwater Residential Care Facility,"1691 Joe Silva Avenue, Atwater, Ca 95301",Atwater,CA,https://app.seniorplace.com/communities/show/abdd7c06-621e-4aa0-9864-49c5eec20450,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3473804690a8fb399f044a657ef25f79.jpg,Assisted Living Home,
Atwater Village South,"3454 Perlita Avenue, Los Angeles, Ca 90039",Los Angeles,CA,https://app.seniorplace.com/communities/show/7b170ad2-6d3a-4c87-bcda-3d07742a2ea9,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/e6969d9869d62b8cba9d2ee2319bd13e.jpg,Assisted Living Home,
Aubreys Villas,"68640 Senora Road, Cathedral City, Ca 92234",Cathedral City,CA,https://app.seniorplace.com/communities/show/f6f58d3c-9ffa-48f4-989a-1cc00dab2896,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a231518b6fef697c98482cefa901ec3e.jpg,Assisted Living Home,
Auburn Creekside Villa,"695 Dairy Road, Auburn, Ca 95603",Auburn,CA,https://app.seniorplace.com/communities/show/65044e52-9eda-4e46-b988-0800c68c72e0,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d288015ed4e3efaa4de8ecf9f9e567e3.jpg,Assisted Living Community,
Auburn Ravine Terrace Assisted Living,"750 Auburn Ravine Road, Auburn, Ca 95603",Auburn,CA,https://app.seniorplace.com/communities/show/767f183a-efba-4535-920d-8cf3b039addc,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ef2a67fa277b6737d803030d63c4ea64.jpg,Assisted Living Community,
Auburn Valley Adult Care,"9865 Hubbard Road, Auburn, Ca 95602",Auburn,CA,https://app.seniorplace.com/communities/show/c53290e2-809a-4ab2-abe1-26436bf0c10c,,Assisted Living Home,
Auburn Valley Senior Living,"3800 Loray Lane, Auburn, Ca 95602",Auburn,CA,https://app.seniorplace.com/communities/show/94af77e8-9eda-452e-b550-3ccc8966bf65,,Assisted Living Home,
Augdon Senior Care Home,"2610 South Dollner Street, Visalia, Ca 93277",Visalia,CA,https://app.seniorplace.com/communities/show/5278cc06-5cc5-445d-9a56-105e601b642f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/941c7020c30ea77ecac534d8baebeaa9.jpg,Assisted Living Home,
