ID,Title,website,seniorly_url,normalized_types,Slug
,Adagio Alh,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh,Assisted Living Community,adagio-alh
,Adobe Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home,"Assisted Living Community, Assisted Living Home",adobe-adult-care-home
,Aegis At 38Th Place Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii,Assisted Living Community,aegis-at-38th-place-assisted-living-ii
,Aegis At Fairview Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home,"Assisted Living Community, Assisted Living Home",aegis-at-fairview-assisted-living
,Aegis At Redwood Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home,"Assisted Living Community, Assisted Living Home",aegis-at-redwood-assisted-living
,Affirmative Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home,"Assisted Living Community, Assisted Living Home",affirmative-care-home
,Agape Care Home Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale,"Assisted Living Community, Assisted Living Home",agape-care-home-of-scottsdale
,Agave Assisted Living Ii,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii,"Assisted Living Community, Assisted Living Home",agave-assisted-living-ii
,Agave Care Home Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale,Assisted Living Community,agave-care-home-of-scottsdale
,Agave Manor,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor,"Assisted Living Community, Assisted Living Home",agave-manor
,Ageless Angels Alh 2,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,Assisted Living Community,ageless-angels-alh-2
,Aguilera Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home,"Assisted Living Community, Assisted Living Home",aguilera-assisted-living
,Ahwatukee Adult Care Iii,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii,"Assisted Living Community, Assisted Living Home",ahwatukee-adult-care-iii
,All Care Assisted,https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,https://www.seniorly.com/assisted-living/arizona/surprise/all-care-assisted,"Assisted Living Community, Assisted Living Home",all-care-assisted
,Allegiance Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/mesa/allegiance-assisted-living-llc,"Assisted Living Community, Assisted Living Home",allegiance-assisted-living
,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,"Assisted Living Community, Assisted Living Home",aloha-assisted-living
,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,Assisted Living Community,aloha-assisted-living-2
,Amandas Care Home,https://www.seniorly.com/assisted-living/arizona/mesa/amanda-s-care-home,https://www.seniorly.com/assisted-living/arizona/mesa/amanda-s-care-home,"Assisted Living Community, Assisted Living Home",amandas-care-home
,Amber Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/amber-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/amber-assisted-living-home,"Assisted Living Community, Assisted Living Home",amber-assisted-living
,Amber Lights,https://www.seniorly.com/assisted-living/arizona/tucson/amber-lights,https://www.seniorly.com/assisted-living/arizona/tucson/amber-lights,"Assisted Living Community, Independent Living",amber-lights
,Ambiance Al,https://www.seniorly.com/assisted-living/arizona/phoenix/ambiance-al,https://www.seniorly.com/assisted-living/arizona/phoenix/ambiance-al,"Assisted Living Community, Assisted Living Home",ambiance-al
,Ambience Care Home,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-peoria,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-peoria,Assisted Living Community,ambience-care-home
,Ambience Care Home 2,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,"Assisted Living Community, Assisted Living Home",ambience-care-home-2
,American Dream Home,https://www.seniorly.com/assisted-living/arizona/phoenix/american-dream-home,https://www.seniorly.com/assisted-living/arizona/phoenix/american-dream-home,"Assisted Living Community, Assisted Living Home",american-dream-home
,Anas Haven At Cedar,https://www.seniorly.com/assisted-living/arizona/chandler/ana-s-haven-at-cedar,https://www.seniorly.com/assisted-living/arizona/chandler/ana-s-haven-at-cedar,"Assisted Living Community, Assisted Living Home",anas-haven-at-cedar
,Angel Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-care-home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-care-home,"Assisted Living Community, Assisted Living Home",angel-care-home
,Angels Adult Group Home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-s-adult-group-home-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-s-adult-group-home-llc,"Assisted Living Community, Assisted Living Home",angels-adult-group-home
,Angelic Heart Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,"Assisted Living Community, Assisted Living Home",angelic-heart-assisted-living
,Angels Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/angels-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/chandler/angels-assisted-living-home,"Assisted Living Community, Assisted Living Home",angels-assisted-living
,Apollo Residential Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/apollo-residential-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/apollo-residential-assisted-living,"Assisted Living Community, Assisted Living Home",apollo-residential-assisted-living
,Arcadia Assisted Care,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-assisted-care,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-assisted-care,"Assisted Living Community, Assisted Living Home",arcadia-assisted-care
,Arcadia Grove Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-grove-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-grove-assisted-living-home,Assisted Living Community,arcadia-grove-assisted-living
,Arcadia Woods Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-woods-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-woods-assisted-living,Assisted Living Community,arcadia-woods-assisted-living
,Archangel Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,"Assisted Living Community, Assisted Living Home",archangel-assisted-living
,Arizona Desert Falls,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-desert-falls,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-desert-falls,Assisted Living Community,arizona-desert-falls
,Arizona Elderly Care Alh,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-elderly-care-alh,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-elderly-care-alh,"Assisted Living Community, Assisted Living Home",arizona-elderly-care-alh
,Arizona Pioneers Home,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,"Assisted Living Community, Independent Living",arizona-pioneers-home
,Arizona Premier Adult Care Ii,https://www.seniorly.com/assisted-living/arizona/mesa/arizona-premier-adult-care-ii-llc,https://www.seniorly.com/assisted-living/arizona/mesa/arizona-premier-adult-care-ii-llc,"Assisted Living Community, Assisted Living Home",arizona-premier-adult-care-ii
,Arizona Royal Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/arizona-royal-care-home-llc,https://www.seniorly.com/assisted-living/arizona/scottsdale/arizona-royal-care-home-llc,"Assisted Living Community, Assisted Living Home",arizona-royal-care-home
,Arizona Sunset Assisted Living,https://www.seniorly.com/assisted-living/arizona/queen-creek/arizona-sunset-assisted-living,https://www.seniorly.com/assisted-living/arizona/queen-creek/arizona-sunset-assisted-living,Assisted Living Community,arizona-sunset-assisted-living
,Ark Of Angel Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/ark-of-angel-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/ark-of-angel-assisted-living,"Assisted Living Community, Assisted Living Home",ark-of-angel-assisted-living
,Ark Of Life Memory Care,https://www.seniorly.com/assisted-living/arizona/glendale/ark-of-life-memory-care,https://www.seniorly.com/assisted-living/arizona/glendale/ark-of-life-memory-care,Assisted Living Community,ark-of-life-memory-care
,Armada Care Homes,https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,Assisted Living Community,armada-care-homes-2
,Arrowhead Senior Living,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living,"Assisted Living Community, Assisted Living Home",arrowhead-senior-living
,Arrowhead Senior Living Ii,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,"Assisted Living Community, Assisted Living Home",arrowhead-senior-living-ii
,Ashbrook Home Care,https://www.seniorly.com/assisted-living/arizona/mesa/ashbrook-home-care,https://www.seniorly.com/assisted-living/arizona/mesa/ashbrook-home-care,Assisted Living Community,ashbrook-home-care
,Ashlee Care,https://www.seniorly.com/assisted-living/arizona/glendale/ashlee-care,https://www.seniorly.com/assisted-living/arizona/glendale/ashlee-care,"Assisted Living Community, Assisted Living Home",ashlee-care
,Ashton Gardens Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/ashton-gardens-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/mesa/ashton-gardens-assisted-living-llc,"Assisted Living Community, Assisted Living Home",ashton-gardens-assisted-living
,Assisted Living At Mountain Vista,https://www.seniorly.com/assisted-living/arizona/scottsdale/assisted-living-at-mountain-vista,https://www.seniorly.com/assisted-living/arizona/scottsdale/assisted-living-at-mountain-vista,"Assisted Living Community, Assisted Living Home",assisted-living-at-mountain-vista
,Assisted Living Of Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/assisted-living-of-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/assisted-living-of-mesa,"Assisted Living Community, Assisted Living Home",assisted-living-of-mesa
,Asterion Acres,https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,"Assisted Living Community, Assisted Living Home",asterion-acres
,Atria Campana Del Rio,https://www.seniorly.com/assisted-living/arizona/tucson/atria-campana-del-rio,https://www.seniorly.com/assisted-living/arizona/tucson/atria-campana-del-rio,"Assisted Living Community, Independent Living, Memory Care",atria-campana-del-rio
,Atria Park Of Sierra Pointe,https://www.seniorly.com/assisted-living/arizona/scottsdale/atria-park-of-sierra-pointe,https://www.seniorly.com/assisted-living/arizona/scottsdale/atria-park-of-sierra-pointe,Assisted Living Community,atria-park-of-sierra-pointe
,Avana Assisted Living,https://www.seniorly.com/assisted-living/arizona/tempe/avana-assisted-living,https://www.seniorly.com/assisted-living/arizona/tempe/avana-assisted-living,Assisted Living Community,avana-assisted-living
,Avista Senior Living Apache Junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/avista-senior-living-apache-junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/avista-senior-living-apache-junction,Assisted Living Community,avista-senior-living-apache-junction
,Avista Senior Living North Mountain,https://www.seniorly.com/assisted-living/arizona/phoenix/avista-senior-living-north-mountain,https://www.seniorly.com/assisted-living/arizona/phoenix/avista-senior-living-north-mountain,"Assisted Living Community, Memory Care",avista-senior-living-north-mountain
,Azalea Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/azalea-assisted-living,https://www.seniorly.com/assisted-living/arizona/gilbert/azalea-assisted-living,Assisted Living Community,azalea-assisted-living
,Azure Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/azure-care-home-llc,https://www.seniorly.com/assisted-living/arizona/tucson/azure-care-home-llc,"Assisted Living Community, Assisted Living Home",azure-care-home
,B H Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tempe/b-h-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tempe/b-h-adult-care-home,"Assisted Living Community, Assisted Living Home",b-h-adult-care-home
,B And H Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tempe/b-and-h-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tempe/b-and-h-adult-care-home,"Assisted Living Community, Assisted Living Home",b-and-h-adult-care-home
,Baraka At Rosegardens Ii Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/baraka-at-rosegardens-ii-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/baraka-at-rosegardens-ii-assisted-living,Assisted Living Community,baraka-at-rosegardens-ii-assisted-living
,Beehive Homes Of Gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/beehive-homes-of-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/beehive-homes-of-gilbert,Assisted Living Community,beehive-homes-of-gilbert
,Beehive Homes Of Marana,https://www.seniorly.com/assisted-living/arizona/tucson/beehive-homes-of-marana,https://www.seniorly.com/assisted-living/arizona/tucson/beehive-homes-of-marana,"Assisted Living Community, Assisted Living Home",beehive-homes-of-marana
,Bella Amore Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/bella-amore-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/bella-amore-assisted-living,Assisted Living Community,bella-amore-assisted-living
,Bella Vista Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-assisted-living-home-llc,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-assisted-living-home-llc,"Assisted Living Community, Assisted Living Home",bella-vista-assisted-living
,Bella Vista Senior Living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-senior-living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-senior-living,"Assisted Living Community, Independent Living",bella-vista-senior-living
,Best Care Home Of Moon Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley,Assisted Living Community,best-care-home-of-moon-valley
,Best Care Home Of Moon Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley-llc-phoenix,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley-llc-phoenix,"Assisted Living Community, Assisted Living Home",best-care-home-of-moon-valley-2
,Best Of Europe Adult Home Care,https://www.seniorly.com/assisted-living/arizona/cottonwood/best-of-europe-adult-home-care-llc,https://www.seniorly.com/assisted-living/arizona/cottonwood/best-of-europe-adult-home-care-llc,"Assisted Living Community, Assisted Living Home",best-of-europe-adult-home-care
,Betania Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/betania-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/betania-care-home,"Assisted Living Community, Assisted Living Home",betania-care-home
,Better Life Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/better-life-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/chandler/better-life-assisted-living-llc,"Assisted Living Community, Assisted Living Home",better-life-assisted-living
,Better Living Carehome,https://www.seniorly.com/assisted-living/arizona/mesa/better-living-carehome-llc,https://www.seniorly.com/assisted-living/arizona/mesa/better-living-carehome-llc,"Assisted Living Community, Assisted Living Home",better-living-carehome
,Better Senior Carehome,https://www.seniorly.com/assisted-living/arizona/apache-junction/better-senior-carehome-llc,https://www.seniorly.com/assisted-living/arizona/apache-junction/better-senior-carehome-llc,"Assisted Living Community, Assisted Living Home",better-senior-carehome
,Biltmore Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-assisted-living-llc,"Assisted Living Community, Assisted Living Home",biltmore-assisted-living
,Biltmore Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-care-home-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-care-home-llc,"Assisted Living Community, Assisted Living Home",biltmore-care-home
,Blessed Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/blessed-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/mesa/blessed-assisted-living-home,Assisted Living Community,blessed-assisted-living
,Blissful Assisted Living,https://www.seniorly.com/assisted-living/arizona/peoria/blissful-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/peoria/blissful-assisted-living-llc,"Assisted Living Community, Assisted Living Home",blissful-assisted-living
,Blissful Living Home,https://www.seniorly.com/assisted-living/arizona/glendale/blissful-living-home,https://www.seniorly.com/assisted-living/arizona/glendale/blissful-living-home,"Assisted Living Community, Assisted Living Home",blissful-living-home
,Blooming Meadows,https://www.seniorly.com/assisted-living/arizona/mesa/blooming-meadows,https://www.seniorly.com/assisted-living/arizona/mesa/blooming-meadows,"Assisted Living Community, Assisted Living Home",blooming-meadows
,Blue Lakes Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/blue-lakes-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/blue-lakes-assisted-living,Assisted Living Community,blue-lakes-assisted-living
,Blue Sky Manor,https://www.seniorly.com/assisted-living/arizona/mesa/blue-sky-manor-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/blue-sky-manor-mesa,"Assisted Living Community, Assisted Living Home",blue-sky-manor
,Boswell Assisted Living,https://www.seniorly.com/assisted-living/arizona/sun-city/boswell-assisted-living,https://www.seniorly.com/assisted-living/arizona/sun-city/boswell-assisted-living,Assisted Living Community,boswell-assisted-living
,Bright Valley Grouphome,https://www.seniorly.com/assisted-living/arizona/mesa/bright-valley-grouphome-llc,https://www.seniorly.com/assisted-living/arizona/mesa/bright-valley-grouphome-llc,"Assisted Living Community, Assisted Living Home",bright-valley-grouphome
,Broadway Mesa Village,https://www.seniorly.com/assisted-living/arizona/mesa/broadway-mesa-village,https://www.seniorly.com/assisted-living/arizona/mesa/broadway-mesa-village,"Assisted Living Community, Memory Care",broadway-mesa-village
,Brookdale Apache Junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/brookdale-apache-junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/brookdale-apache-junction,"Assisted Living Community, Independent Living",brookdale-apache-junction
,Brookdale Arrowhead Ranch,https://www.seniorly.com/assisted-living/arizona/glendale/brookdale-arrowhead-ranch,https://www.seniorly.com/assisted-living/arizona/glendale/brookdale-arrowhead-ranch,"Assisted Living Community, Memory Care",brookdale-arrowhead-ranch
,Brookdale Baywood,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-baywood,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-baywood,"Assisted Living Community, Memory Care",brookdale-baywood
,Brookdale Central Chandler,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-central-chandler,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-central-chandler,"Assisted Living Community, Memory Care",brookdale-central-chandler
,Brookdale Central Paradise Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-central-paradise-valley,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-central-paradise-valley,"Assisted Living Community, Independent Living, Memory Care",brookdale-central-paradise-valley
,Brookdale Chandler Ray Road,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-ray-road,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-ray-road,Assisted Living Community,brookdale-chandler-ray-road
,Brookdale Chandler Regional,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-regional,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-regional,Assisted Living Community,brookdale-chandler-regional
,Brookdale Desert Ridge,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-desert-ridge,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-desert-ridge,"Assisted Living Community, Memory Care",brookdale-desert-ridge
,Brookdale East Arbor,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-east-arbor,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-east-arbor,Assisted Living Community,brookdale-east-arbor
,Brookdale East Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-east-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-east-tucson,Assisted Living Community,brookdale-east-tucson
,Brookdale Flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/brookdale-flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/brookdale-flagstaff,"Assisted Living Community, Memory Care",brookdale-flagstaff
,Brookdale North Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-north-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-north-mesa,"Assisted Living Community, Memory Care",brookdale-north-mesa
,Brookdale North Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/brookdale-north-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/brookdale-north-scottsdale,"Assisted Living Community, Memory Care",brookdale-north-scottsdale
,Brookdale North Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-north-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-north-tucson,Assisted Living Community,brookdale-north-tucson
,Brookdale Peoria,https://www.seniorly.com/assisted-living/arizona/peoria/brookdale-peoria,https://www.seniorly.com/assisted-living/arizona/peoria/brookdale-peoria,Assisted Living Community,brookdale-peoria
,Brookdale Springs Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-springs-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-springs-mesa,"Assisted Living Community, Independent Living",brookdale-springs-mesa
,Cactus Star 1 Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/cactus-star-1-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/cactus-star-1-assisted-living-home,Assisted Living Community,cactus-star-1-assisted-living
,Cadence Chandler,https://www.seniorly.com/assisted-living/arizona/chandler/cadence-chandler,https://www.seniorly.com/assisted-living/arizona/chandler/cadence-chandler,"Assisted Living Community, Independent Living, Memory Care",cadence-chandler
,Caissa Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,"Assisted Living Community, Assisted Living Home",caissa-assisted-living
,Caissa Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home,Assisted Living Community,caissa-assisted-living-3
,Caliche Senior Living,https://www.seniorly.com/assisted-living/arizona/casa-grande/caliche-senior-living,https://www.seniorly.com/assisted-living/arizona/casa-grande/caliche-senior-living,"Assisted Living Community, Memory Care",caliche-senior-living
