ID,Title,Status,Content_Length,Has_Content,Expected_Content,API_Endpoint,Content_Preview
8998,Park Senior Villas At Goodyear,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8998,
9280,Ridges At Peoria,✅ Content Updated,260,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9280,"Ridges at Peoria creates a space where seniors can feel secure and cared for. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. Designed to promote inde"
9788,Suntown Assistance Home,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9788,
9894,The Heritage Tradition,✅ Content Updated,262,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9894,"The Heritage Tradition is a welcoming place for older adults to feel at home. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. From daily routines to s"
12659,Carillon At Belleview Station The,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/12659,
12705,Castle Rock Assisted Living At Eveningsong,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/12705,
13312,Greenwood Manor,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13312,
13397,Heritage Home,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13397,
13584,Kingston Residence Of Santa Fe,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13584,
13749,Mackenzie Place Colorado Springs,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13749,
13964,Northglenn Heights Assisted Living Community,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13964,
14250,Rose Of Sharon,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14250,
14456,Solstice Senior Living At Sandy,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14456,
14676,The Albuquerque Grand Senior Living,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14676,
14771,The Oberon House,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14771,
