ID,Title,current_website,seniorly_url,current_normalized_types,seniorplace_url,sp_types_raw,sp_types_mapped
,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,Assisted Living Home,,,
,Amandas Care Home,https://www.seniorly.com/assisted-living/arizona/mesa/amanda-s-care-home,https://www.seniorly.com/assisted-living/arizona/mesa/amanda-s-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Amber Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/amber-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/amber-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Amber Lights,https://www.seniorly.com/assisted-living/arizona/tucson/amber-lights,https://www.seniorly.com/assisted-living/arizona/tucson/amber-lights,"Assisted Living Home, Independent Living",,,
,Ambiance Al,https://www.seniorly.com/assisted-living/arizona/phoenix/ambiance-al,https://www.seniorly.com/assisted-living/arizona/phoenix/ambiance-al,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Ambience Care Home,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-peoria,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-peoria,Assisted Living Home,,,
,Ambience Care Home 2,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,American Dream Home,https://www.seniorly.com/assisted-living/arizona/phoenix/american-dream-home,https://www.seniorly.com/assisted-living/arizona/phoenix/american-dream-home,"Assisted Living Home, Independent Living, Assisted Living Community, Memory Care",,,
,Anas Haven At Cedar,https://www.seniorly.com/assisted-living/arizona/chandler/ana-s-haven-at-cedar,https://www.seniorly.com/assisted-living/arizona/chandler/ana-s-haven-at-cedar,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Angel Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-care-home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Angels Adult Group Home,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-s-adult-group-home-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/angel-s-adult-group-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Angelic Heart Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Angels Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/angels-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/chandler/angels-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Apollo Residential Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/apollo-residential-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/apollo-residential-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arcadia Assisted Care,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-assisted-care,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-assisted-care,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arcadia Grove Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-grove-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-grove-assisted-living-home,Assisted Living Home,,,
,Arcadia Woods Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-woods-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-woods-assisted-living,Assisted Living Home,,,
,Archangel Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arizona Desert Falls,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-desert-falls,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-desert-falls,Assisted Living Home,,,
,Arizona Elderly Care Alh,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-elderly-care-alh,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-elderly-care-alh,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arizona Pioneers Home,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-pioneers-home,"Assisted Living Home, Independent Living, Nursing Home",,,
,Arizona Premier Adult Care Ii,https://www.seniorly.com/assisted-living/arizona/mesa/arizona-premier-adult-care-ii-llc,https://www.seniorly.com/assisted-living/arizona/mesa/arizona-premier-adult-care-ii-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arizona Royal Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/arizona-royal-care-home-llc,https://www.seniorly.com/assisted-living/arizona/scottsdale/arizona-royal-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arizona Sunset Assisted Living,https://www.seniorly.com/assisted-living/arizona/queen-creek/arizona-sunset-assisted-living,https://www.seniorly.com/assisted-living/arizona/queen-creek/arizona-sunset-assisted-living,Assisted Living Home,,,
,Ark Of Angel Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/ark-of-angel-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/ark-of-angel-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Ark Of Life Memory Care,https://www.seniorly.com/assisted-living/arizona/glendale/ark-of-life-memory-care,https://www.seniorly.com/assisted-living/arizona/glendale/ark-of-life-memory-care,"Assisted Living Home, Independent Living, Memory Care",,,
,Armada Care Homes,https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,Assisted Living Home,https://app.seniorplace.com/communities/show/77dece73-4254-409d-9c77-a0907cb7cff8,Assisted Living Home,Assisted Living Home
,Arrowhead Senior Living,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Arrowhead Senior Living Ii,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Ashbrook Home Care,https://www.seniorly.com/assisted-living/arizona/mesa/ashbrook-home-care,https://www.seniorly.com/assisted-living/arizona/mesa/ashbrook-home-care,Assisted Living Home,,,
,Ashlee Care,https://www.seniorly.com/assisted-living/arizona/glendale/ashlee-care,https://www.seniorly.com/assisted-living/arizona/glendale/ashlee-care,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Ashton Gardens Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/ashton-gardens-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/mesa/ashton-gardens-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Assisted Living At Mountain Vista,https://www.seniorly.com/assisted-living/arizona/scottsdale/assisted-living-at-mountain-vista,https://www.seniorly.com/assisted-living/arizona/scottsdale/assisted-living-at-mountain-vista,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Assisted Living Of Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/assisted-living-of-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/assisted-living-of-mesa,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Asterion Acres,https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,"Assisted Living Home, Independent Living, Assisted Living Community",https://app.seniorplace.com/communities/show/1bbe84ad-613e-436c-9281-e820ca816acc,Assisted Living Home,Assisted Living Home
,Atria Campana Del Rio,https://www.seniorly.com/assisted-living/arizona/tucson/atria-campana-del-rio,https://www.seniorly.com/assisted-living/arizona/tucson/atria-campana-del-rio,"Assisted Living Home, Independent Living, Memory Care",,,
,Atria Park Of Sierra Pointe,https://www.seniorly.com/assisted-living/arizona/scottsdale/atria-park-of-sierra-pointe,https://www.seniorly.com/assisted-living/arizona/scottsdale/atria-park-of-sierra-pointe,"Assisted Living Home, Independent Living",,,
,Avana Assisted Living,https://www.seniorly.com/assisted-living/arizona/tempe/avana-assisted-living,https://www.seniorly.com/assisted-living/arizona/tempe/avana-assisted-living,Assisted Living Home,,,
,Avista Senior Living Apache Junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/avista-senior-living-apache-junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/avista-senior-living-apache-junction,"Assisted Living Home, Independent Living, Memory Care",,,
,Avista Senior Living North Mountain,https://www.seniorly.com/assisted-living/arizona/phoenix/avista-senior-living-north-mountain,https://www.seniorly.com/assisted-living/arizona/phoenix/avista-senior-living-north-mountain,"Assisted Living Home, Independent Living, Memory Care",,,
,Azalea Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/azalea-assisted-living,https://www.seniorly.com/assisted-living/arizona/gilbert/azalea-assisted-living,Assisted Living Home,,,
,Azure Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/azure-care-home-llc,https://www.seniorly.com/assisted-living/arizona/tucson/azure-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,B H Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tempe/b-h-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tempe/b-h-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,B And H Adult Care Home,https://www.seniorly.com/assisted-living/arizona/tempe/b-and-h-adult-care-home,https://www.seniorly.com/assisted-living/arizona/tempe/b-and-h-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Baraka At Rosegardens Ii Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/baraka-at-rosegardens-ii-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/baraka-at-rosegardens-ii-assisted-living,Assisted Living Home,,,
,Beehive Homes Of Gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/beehive-homes-of-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/beehive-homes-of-gilbert,Assisted Living Home,,,
,Beehive Homes Of Marana,https://www.seniorly.com/assisted-living/arizona/tucson/beehive-homes-of-marana,https://www.seniorly.com/assisted-living/arizona/tucson/beehive-homes-of-marana,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Bella Amore Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/bella-amore-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/bella-amore-assisted-living,Assisted Living Home,,,
,Bella Vista Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-assisted-living-home-llc,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-assisted-living-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Bella Vista Senior Living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-senior-living,https://www.seniorly.com/assisted-living/arizona/mesa/bella-vista-senior-living,"Assisted Living Home, Independent Living",,,
,Best Care Home Of Moon Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley,Assisted Living Home,,,
,Best Care Home Of Moon Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley-llc-phoenix,https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley-llc-phoenix,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Best Of Europe Adult Home Care,https://www.seniorly.com/assisted-living/arizona/cottonwood/best-of-europe-adult-home-care-llc,https://www.seniorly.com/assisted-living/arizona/cottonwood/best-of-europe-adult-home-care-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Betania Care Home,https://www.seniorly.com/assisted-living/arizona/tucson/betania-care-home,https://www.seniorly.com/assisted-living/arizona/tucson/betania-care-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Better Life Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/better-life-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/chandler/better-life-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Better Living Carehome,https://www.seniorly.com/assisted-living/arizona/mesa/better-living-carehome-llc,https://www.seniorly.com/assisted-living/arizona/mesa/better-living-carehome-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Better Senior Carehome,https://www.seniorly.com/assisted-living/arizona/apache-junction/better-senior-carehome-llc,https://www.seniorly.com/assisted-living/arizona/apache-junction/better-senior-carehome-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Biltmore Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Biltmore Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-care-home-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/biltmore-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Blessed Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/blessed-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/mesa/blessed-assisted-living-home,Assisted Living Home,,,
,Blissful Assisted Living,https://www.seniorly.com/assisted-living/arizona/peoria/blissful-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/peoria/blissful-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Blissful Living Home,https://www.seniorly.com/assisted-living/arizona/glendale/blissful-living-home,https://www.seniorly.com/assisted-living/arizona/glendale/blissful-living-home,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Blooming Meadows,https://www.seniorly.com/assisted-living/arizona/mesa/blooming-meadows,https://www.seniorly.com/assisted-living/arizona/mesa/blooming-meadows,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Blue Lakes Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/blue-lakes-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/blue-lakes-assisted-living,Assisted Living Home,,,
,Blue Sky Manor,https://www.seniorly.com/assisted-living/arizona/mesa/blue-sky-manor-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/blue-sky-manor-mesa,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Boswell Assisted Living,https://www.seniorly.com/assisted-living/arizona/sun-city/boswell-assisted-living,https://www.seniorly.com/assisted-living/arizona/sun-city/boswell-assisted-living,Assisted Living Home,,,
,Bright Valley Grouphome,https://www.seniorly.com/assisted-living/arizona/mesa/bright-valley-grouphome-llc,https://www.seniorly.com/assisted-living/arizona/mesa/bright-valley-grouphome-llc,"Assisted Living Home, Independent Living, Assisted Living Community",,,
,Broadway Mesa Village,https://www.seniorly.com/assisted-living/arizona/mesa/broadway-mesa-village,https://www.seniorly.com/assisted-living/arizona/mesa/broadway-mesa-village,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Apache Junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/brookdale-apache-junction,https://www.seniorly.com/assisted-living/arizona/apache-junction/brookdale-apache-junction,"Assisted Living Home, Independent Living",,,
,Brookdale Arrowhead Ranch,https://www.seniorly.com/assisted-living/arizona/glendale/brookdale-arrowhead-ranch,https://www.seniorly.com/assisted-living/arizona/glendale/brookdale-arrowhead-ranch,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Baywood,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-baywood,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-baywood,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Central Chandler,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-central-chandler,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-central-chandler,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Central Paradise Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-central-paradise-valley,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-central-paradise-valley,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Chandler Ray Road,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-ray-road,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-ray-road,Assisted Living Home,,,
,Brookdale Chandler Regional,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-regional,https://www.seniorly.com/assisted-living/arizona/chandler/brookdale-chandler-regional,Assisted Living Home,,,
,Brookdale Desert Ridge,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-desert-ridge,https://www.seniorly.com/assisted-living/arizona/phoenix/brookdale-desert-ridge,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale East Arbor,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-east-arbor,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-east-arbor,Assisted Living Home,,,
,Brookdale East Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-east-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-east-tucson,Assisted Living Home,,,
,Brookdale Flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/brookdale-flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/brookdale-flagstaff,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale North Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-north-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-north-mesa,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale North Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/brookdale-north-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/brookdale-north-scottsdale,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale North Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-north-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/brookdale-north-tucson,"Assisted Living Home, Independent Living, Memory Care",,,
,Brookdale Peoria,https://www.seniorly.com/assisted-living/arizona/peoria/brookdale-peoria,https://www.seniorly.com/assisted-living/arizona/peoria/brookdale-peoria,Assisted Living Home,,,
,Brookdale Springs Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-springs-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/brookdale-springs-mesa,"Assisted Living Home, Independent Living",,,
,Cactus Star 1 Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/cactus-star-1-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/cactus-star-1-assisted-living-home,Assisted Living Home,,,
,Cadence Chandler,https://www.seniorly.com/assisted-living/arizona/chandler/cadence-chandler,https://www.seniorly.com/assisted-living/arizona/chandler/cadence-chandler,"Assisted Living Home, Independent Living, Memory Care",,,
,Caissa Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,"Assisted Living Home, Independent Living, Assisted Living Community",https://app.seniorplace.com/communities/show/1f34b89c-3246-4353-a07c-98a2285bbf56,Assisted Living Home,Assisted Living Home
,Caissa Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home,Assisted Living Home,https://app.seniorplace.com/communities/show/1f34b89c-3246-4353-a07c-98a2285bbf56,Assisted Living Home,Assisted Living Home
,Caliche Senior Living,https://www.seniorly.com/assisted-living/arizona/casa-grande/caliche-senior-living,https://www.seniorly.com/assisted-living/arizona/casa-grande/caliche-senior-living,"Assisted Living Home, Independent Living, Memory Care",,,
,Callinis Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/callini-s-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/callini-s-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community",,,
