ID,Title,seniorly_url,normalized_types
10704,Haven Of Cottonwood,https://www.seniorly.com/assisted-living/arizona/cottonwood/haven-of-cottonwood,"Assisted Living Home, Nursing Home"
10705,Good Samaritan Society Prescott Valley,https://www.seniorly.com/assisted-living/arizona/prescott/good-samaritan-society-prescott-valley,"Assisted Living Home, Nursing Home"
10707,Sunview Health And Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/youngtown/sunview-respiratory-and-rehabilitation,"Assisted Living Home, Nursing Home"
10708,Camelback Post Acute Care And Rehabilitation,https://www.seniorly.com/assisted-living/arizona/phoenix/camelback-post-acute-and-rehabilitation,"Assisted Living Home, Nursing Home"
10710,Ahc Of Glendale,https://www.seniorly.com/assisted-living/arizona/glendale/ahc-of-glendale,"Assisted Living Home, Nursing Home"
10711,Coronado Healthcare Center,https://www.seniorly.com/assisted-living/arizona/phoenix/coronado-healthcare-center,"Assisted Living Home, Nursing Home"
10712,Arizona State Veteran Homephx,https://www.seniorly.com/assisted-living/arizona/phoenix/arizona-state-veteran-home-phx,"Assisted Living Home, Nursing Home"
10751,Haven Health Phoenix,https://www.seniorly.com/assisted-living/arizona/mesa/haven-health-phoenix,"Assisted Living Home, Nursing Home"
10772,North Mountain Medical And Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/lake-havasu/north-mountain-medical-and-rehabilitation-center,"Assisted Living Home, Nursing Home"
10774,Center At Arrowhead,https://www.seniorly.com/assisted-living/arizona/scottsdale/center-at-arrowhead,"Assisted Living Home, Nursing Home"
10776,Banner Boswell Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/avondale/banner-boswell-rehabilitation-center,"Assisted Living Home, Nursing Home"
10848,Haven Of Globe,https://www.seniorly.com/assisted-living/arizona/globe/haven-of-globe,"Assisted Living Home, Nursing Home"
10856,Santa Rita Nursing Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/green-valley/santa-rita-nursing-rehabilitation-center,"Assisted Living Home, Nursing Home"
10876,The Gardens Rehab Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/the-gardens-rehab-care-center,"Assisted Living Home, Nursing Home"
10877,Desert Highlands Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/desert-highlands-care-center,"Assisted Living Home, Nursing Home"
10878,The Lingenfelter Center,https://www.seniorly.com/assisted-living/arizona/tucson/the-lingenfelter-center,"Assisted Living Home, Nursing Home"
10882,Haven Of Lake Havasu,https://www.seniorly.com/assisted-living/arizona/tucson/haven-of-lake-havasu,"Assisted Living Home, Nursing Home"
10883,Havasu Nursing Center,https://www.seniorly.com/assisted-living/arizona/tucson/havasu-nursing-center,"Assisted Living Home, Nursing Home"
10891,Havasu Regional Medical Center,https://www.seniorly.com/assisted-living/arizona/tucson/havasu-regional-medical-center,"Assisted Living Home, Nursing Home"
10893,South Mountain Post Acute,https://www.seniorly.com/assisted-living/arizona/phoenix/south-mountain-post-acute,"Assisted Living Home, Nursing Home"
10894,Allegiant Healthcare Of Phoenix,https://www.seniorly.com/assisted-living/arizona/chandler/allegiant-healthcare-of-phoenix,"Assisted Living Home, Nursing Home"
10899,Archstone Care Center,https://www.seniorly.com/assisted-living/arizona/phoenix/archstone-care-center,"Assisted Living Home, Nursing Home"
10900,Maravilla Care Center,https://www.seniorly.com/assisted-living/arizona/sun-city/maravilla-care-center,"Assisted Living Home, Nursing Home"
10901,Hacienda Nursing Facility,https://www.seniorly.com/assisted-living/arizona/mesa/hacienda-nursing-facility,"Assisted Living Home, Nursing Home"
10902,Suncrest Healthcare Center,https://www.seniorly.com/assisted-living/arizona/phoenix/suncrest-healthcare-center,"Assisted Living Home, Nursing Home"
10915,Desert Springs Healthcare,https://www.seniorly.com/assisted-living/arizona/mesa/allegiant-healthcare-of-mesa,"Assisted Living Home, Nursing Home"
10916,Heritage Court Post Acute Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/heritage-court-post-acute-of-scottsdale,"Assisted Living Home, Nursing Home"
10917,Haven Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/mesa/haven-of-scottsdale,"Assisted Living Home, Nursing Home"
10924,Plaza Healthcare,https://www.seniorly.com/assisted-living/arizona/kingman/plaza-healthcare,"Assisted Living Home, Nursing Home"
10930,Mountain View Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/mountain-view-care-center,"Assisted Living Home, Nursing Home"
10934,La Canada Care Center,https://www.seniorly.com/assisted-living/arizona/yuma/la-canada-care-center,"Assisted Living Home, Nursing Home"
10935,Casas Adobes Post Acute Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/tucson/casas-adobes-post-acute-rehab-center,"Assisted Living Home, Nursing Home"
10939,Solterra La Cholla,https://www.seniorly.com/assisted-living/arizona/tucson/solterra-la-cholla-operations-lp,"Assisted Living Home, Memory Care, Nursing Home"
10943,Haven Of Tucson,https://www.seniorly.com/assisted-living/arizona/casa-grande/haven-of-tucson,"Assisted Living Home, Nursing Home"
10972,Copper Health Oro Valley,https://www.seniorly.com/assisted-living/arizona/coolidge/copper-health-oro-valley,"Assisted Living Home, Nursing Home"
11002,Life Care Center Of Paradise Valley,https://www.seniorly.com/assisted-living/arizona/phoenix/life-care-center-of-paradise-valley,"Assisted Living Home, Nursing Home"
11012,Desert Haven Care Center,https://www.seniorly.com/assisted-living/arizona/surprise/desert-haven-care-center,"Assisted Living Home, Nursing Home"
11013,Ridgecrest Healthcare,https://www.seniorly.com/assisted-living/arizona/winslow/ridgecrest-healthcare,"Assisted Living Home, Nursing Home"
11100,Payson Care Center,https://www.seniorly.com/assisted-living/arizona/safford/payson-care-center,"Assisted Living Home, Nursing Home"
11101,Rim Country Health Retirement Community,https://www.seniorly.com/assisted-living/arizona/globe/rim-country-health-retirement-community,"Assisted Living Home, Nursing Home"
11111,Good Samaritan Society Prescott Village,https://www.seniorly.com/assisted-living/arizona/prescott/good-samaritan-society-prescott-village,"Assisted Living Home, Nursing Home"
11112,Prescott Nursing And Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/prescott/prescott-nursing-and-rehabilitation-center,"Assisted Living Home, Nursing Home"
11113,Mountain View Manor,https://www.seniorly.com/assisted-living/arizona/prescott/mountain-view-manor,"Assisted Living Home, Nursing Home"
11120,Haven Of Sedona,https://www.seniorly.com/assisted-living/arizona/sedona/haven-of-sedona,"Assisted Living Home, Nursing Home"
11121,Gila River Indian Care Center,https://www.seniorly.com/assisted-living/arizona/sacaton/gila-river-indian-care-center,"Assisted Living Home, Nursing Home"
11122,Life Care Center Of Sierra Vista,https://www.seniorly.com/assisted-living/arizona/sierra-vista/life-care-center-of-sierra-vista,"Assisted Living Home, Nursing Home"
11125,Haven Of Sierra Vista,https://www.seniorly.com/assisted-living/arizona/sierra-vista/haven-of-sierra-vista,"Assisted Living Home, Nursing Home"
11133,Sabino Canyon Rehabilitation Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/sabino-canyon-rehabilitation-care-center,"Assisted Living Home, Nursing Home"
11134,Sapphire Of Tucson Nursing And Rehab,https://www.seniorly.com/assisted-living/arizona/tucson/sapphire-of-tucson-nursing-and-rehab,"Assisted Living Home, Nursing Home"
11135,Villa Maria Care Center,https://www.seniorly.com/assisted-living/arizona/tucson/villa-maria-care-center-llc,"Assisted Living Home, Nursing Home"
11179,Arizona State Veteran Home Tucson,https://www.seniorly.com/assisted-living/arizona/prescott/arizona-state-veteran-home-tucson,"Assisted Living Home, Nursing Home"
11186,Santa Rosa Care Center,https://www.seniorly.com/assisted-living/arizona/prescott/santa-rosa-care-center,"Assisted Living Home, Nursing Home"
11190,Foothills Rehabilitation Center,https://www.seniorly.com/assisted-living/arizona/yuma/foothills-rehabilitation-center,"Assisted Living Home, Nursing Home"
11201,Sapphire Estates Rehab Centre,https://www.seniorly.com/assisted-living/arizona/coolidge/sapphire-estates-rehab-centre,"Assisted Living Home, Nursing Home"
11212,Haven Of Yuma,https://www.seniorly.com/assisted-living/arizona/yuma/haven-of-yuma,"Assisted Living Home, Nursing Home"
11214,Life Care Center Of Yuma,https://www.seniorly.com/assisted-living/arizona/yuma/life-care-center-of-yuma,"Assisted Living Home, Nursing Home"
11215,Palm View Rehabilitation Care,https://www.seniorly.com/assisted-living/arizona/yuma/palm-view-rehabilitation-care,"Assisted Living Home, Nursing Home"
