ID,Title,type,normalized_types,original_types,fixed_types,correction_reason
,Beehive Homes Of Richfield 2,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Beehive Homes Of Roswell,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Bel Aire Senior Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Best Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Best Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Bluebonnet Haus,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Brighton House Of Riverton,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Brighton House Of South Jordan See Also Brighton House Of Riverton,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Brightstar Care Homes Prickly Pear,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Brightstar Care Homes Stephen,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Brightstar Care Homes Summerset,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Brightwork Villa Park Place,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Brooklyn House,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Canterbury Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Colibri Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Country Home Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Crestwood Serenity Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Fox Den Homes Bannock House,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Fox Den Homes North End House,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Golden Angel Residential Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Good Samaritan Society Loveland Village,a:3:{i:0;i:162;i:1;i:7;i:2;i:488;},"Assisted Living Home, Nursing Home, Home Care","Assisted Living Community, Assisted Living Home, Nursing Home, Home Care","Assisted Living Home, Nursing Home, Home Care",Removed duplicate Assisted Living Community (kept Home)
,Heirloom House,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Hettinger Living Center,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Home Heart Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Jewels Legacy Garden,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Lakeview Elderly Care,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Luna Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Midland Manor,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Pavilion At Villa Pueblo The,a:2:{i:0;i:162;i:1;i:7;},"Assisted Living Home, Nursing Home","Assisted Living Community, Assisted Living Home, Nursing Home","Assisted Living Home, Nursing Home",Removed duplicate Assisted Living Community (kept Home)
,Peaks Care Center The,a:2:{i:0;i:162;i:1;i:7;},"Assisted Living Home, Nursing Home","Assisted Living Community, Assisted Living Home, Nursing Home","Assisted Living Home, Nursing Home",Removed duplicate Assisted Living Community (kept Home)
,Pleasant Valley Shelter Home,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,R V Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Ravenna Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Spaulding Home,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Trinity Home Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,Virginia Rose Resident Inn,a:1:{i:0;i:162;},Assisted Living Home,"Assisted Living Community, Assisted Living Home",Assisted Living Home,Removed duplicate Assisted Living Community (kept Home)
,Willow Place Assisted Living,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
,You're At Home,a:2:{i:0;i:162;i:1;i:3;},"Assisted Living Home, Memory Care","Assisted Living Community, Assisted Living Home, Memory Care","Assisted Living Home, Memory Care",Removed duplicate Assisted Living Community (kept Home)
