ID,Title,Current_Community_Types,New_Community_Types
12231,Avista Senior Living Twin Falls,Assisted Living,"Assisted Living, Memory Care"
7036,Avista Sun City West Memory Care,Assisted Living,"Assisted Living, Memory Care"
12237,Balfour At Littleton,Assisted Living,"Assisted Living, Memory Care"
12239,Balfour At Longmont,Assisted Living,"Assisted Living, Memory Care"
12241,Balfour At Riverfront Park,Assisted Living,"Assisted Living, Memory Care"
12243,Balfour Cherrywood Village,Assisted Living,"Assisted Living, Memory Care"
12245,Balfour Retirement Community,Assisted Living,"Assisted Living, Memory Care"
12249,Barber Station Assisted Living And Memory Care Long Wait List No Referral Fee,Assisted Living,"Assisted Living, Memory Care"
7061,Barton House I,Assisted Living,"Assisted Living, Memory Care"
12265,Bear Lake Manor,Assisted Living,"Assisted Living, Memory Care"
7065,Beatitudes Campus,Assisted Living,"Assisted Living, Memory Care"
12391,Beewell Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12397,Bel Aire Senior Living,Assisted Living,"Assisted Living, Memory Care"
12405,Belleview Heights,Assisted Living,"Assisted Living, Memory Care"
7087,Belmont Village Scottsdale,Assisted Living,"Assisted Living, Memory Care"
12421,Bethesda Gardens Monument,Assisted Living,"Assisted Living, Memory Care"
7102,Bethesda Gardens Phoenix,Assisted Living,"Assisted Living, Memory Care"
12423,Bethesda Gardens Thornton,Assisted Living,"Assisted Living, Memory Care"
12429,Birch Creek Assisted Living,Assisted Living,"Assisted Living, Memory Care"
7123,Blue Iris Assisted Living Gh,Assisted Living,"Assisted Living, Memory Care"
12442,Bluebonnet Haus,Assisted Living,"Assisted Living, Memory Care"
12444,Bonaventure Of Castle Rock,Assisted Living,"Assisted Living, Memory Care"
12446,Bonaventure Of Colorado Springs,Assisted Living,"Assisted Living, Memory Care"
12450,Bonaventure Of Pueblo,Assisted Living,"Assisted Living, Memory Care"
12452,Bonaventure Of Thornton,Assisted Living,"Assisted Living, Memory Care"
12464,Bridge Assisted Living At Sandpoint,Assisted Living,"Assisted Living, Memory Care"
10072,Valley Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12488,Brightstar Care Homes Hobble Creek,Assisted Living,"Assisted Living, Memory Care"
12478,Bright Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12490,Brightstar Care Homes Prickly Pear,Assisted Living,"Assisted Living, Memory Care"
12492,Brightstar Care Homes Settlers,Assisted Living,"Assisted Living, Memory Care"
12494,Brightstar Care Homes Stephen,Assisted Living,"Assisted Living, Memory Care"
12498,Brightstar Care Homes Taft,Assisted Living,"Assisted Living, Memory Care"
12512,Broadway Hills,Assisted Living,"Assisted Living, Memory Care"
12515,Brookdale Arvada,Assisted Living,"Assisted Living, Memory Care"
7147,Brookdale Baywood,Assisted Living,"Assisted Living, Memory Care"
12523,Brookdale Briargate,Assisted Living,"Assisted Living, Memory Care"
12527,Brookdale Broadmoor,Assisted Living,"Assisted Living, Memory Care"
7148,Brookdale Camino Del Sol,Assisted Living,"Assisted Living, Memory Care"
7149,Brookdale Central Chandler,Assisted Living,"Assisted Living, Memory Care"
7150,Brookdale Central Paradise Valley,Assisted Living,"Assisted Living, Memory Care"
12529,Brookdale Chubbuck,Assisted Living,"Assisted Living, Memory Care"
12531,Brookdale Coeur Dalene,Assisted Living,"Assisted Living, Memory Care"
7153,Brookdale Desert Ridge,Assisted Living,"Assisted Living, Memory Care"
7155,Brookdale East Mesa,Assisted Living,"Assisted Living, Memory Care"
7157,Brookdale Flagstaff,Assisted Living,"Assisted Living, Memory Care"
12535,Brookdale Fort Collins Al Co,Assisted Living,"Assisted Living, Memory Care"
12537,Brookdale Fort Collins Mc Co,Assisted Living,"Assisted Living, Memory Care"
12541,Brookdale Greenwood Village,Assisted Living,"Assisted Living, Memory Care"
12543,Brookdale Highlands Ranch,Assisted Living,"Assisted Living, Memory Care"
12545,Brookdale Lewiston,Assisted Living,"Assisted Living, Memory Care"
12551,Brookdale Lowry,Assisted Living,"Assisted Living, Memory Care"
12559,Brookdale Meridian Englewood,Assisted Living,"Assisted Living, Memory Care"
12567,Brookdale Monument Valley Park,Assisted Living,"Assisted Living, Memory Care"
7158,Brookdale North Gilbert,Assisted Living,"Assisted Living, Memory Care"
7159,Brookdale North Glendale,Assisted Living,"Assisted Living, Memory Care"
12570,Brookdale North Loveland,Assisted Living,"Assisted Living, Memory Care"
7161,Brookdale North Scottsdale,Assisted Living,"Assisted Living, Memory Care"
7162,Brookdale North Tucson,Assisted Living,"Assisted Living, Memory Care"
7163,Brookdale Oro Valley Alzheimers Dementia Care,Assisted Living,"Assisted Living, Memory Care"
12572,Brookdale Parkplace,Assisted Living,"Assisted Living, Memory Care"
12574,Brookdale Pinehurst Park,Assisted Living,"Assisted Living, Memory Care"
12576,Brookdale Pocatello,Assisted Living,"Assisted Living, Memory Care"
12582,Brookdale Skyline Ccrc,Assisted Living,"Assisted Living, Memory Care"
7167,Brookdale Tanque Verde,Assisted Living,"Assisted Living, Memory Care"
7168,Brookdale Tempe,Assisted Living,"Assisted Living, Memory Care"
12587,Brookdale Tramway Ridge,Assisted Living,"Assisted Living, Memory Care"
12592,Brookdale Twin Falls,Assisted Living,"Assisted Living, Memory Care"
7170,Brookdale Union Hills,Assisted Living,"Assisted Living, Memory Care"
12602,Brooklyn House,Assisted Living,"Assisted Living, Memory Care"
12606,Brookside Landing Orofino,Assisted Living,"Assisted Living, Memory Care"
12612,Cache Valley Assisted Living,Assisted Living,"Assisted Living, Memory Care"
7180,Cadence Chandler,Assisted Living,"Assisted Living, Memory Care"
7185,Caliche Senior Living,Assisted Living,"Assisted Living, Memory Care"
7193,Canyon Assisted Living,Assisted Living,"Assisted Living, Memory Care"
7195,Canyon Valley Memory Care Residence,Assisted Living,"Assisted Living, Memory Care"
7197,Canyon Winds Retirement,Assisted Living,"Assisted Living, Memory Care"
12640,Cappella Of Grand Junction,Assisted Living,"Assisted Living, Memory Care"
7207,Carefree Assisted Living Center,Assisted Living,"Assisted Living, Memory Care"
12659,Carillon At Belleview Station The,Assisted Living,"Assisted Living, Memory Care"
7222,Caring Hearts Assisted Living,Assisted Living,"Assisted Living, Memory Care"
7222,Caring Hearts Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12671,Carrington Court Assisted Living And Memory Care,Assisted Living,"Assisted Living, Memory Care"
7244,Cascades Of Tucson,Assisted Living,"Assisted Living, Memory Care"
12702,Castle Peak Assisted Living,Assisted Living,"Assisted Living, Memory Care"
7246,Catalina Springs Memory Care,Assisted Living,"Assisted Living, Memory Care"
7248,Cave Creek Assisted Living And Memory Care,Assisted Living,"Assisted Living, Memory Care"
12713,Cedarwood At Sandy Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12727,Chardonnay Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12729,Chardonnay Assisted Living House 3,Assisted Living,"Assisted Living, Memory Care"
12739,Chateau At Sharmar Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12743,Chateau Des Mons Care And Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12751,Cherry Hills Assisted Living And Memory Care,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7280,Circle Of Life Alzheimer Homes,Assisted Living,"Assisted Living, Memory Care"
7287,Circles Of Life Residential Care,Assisted Living,"Assisted Living, Memory Care"
7293,Clarendale Arcadia,Assisted Living,"Assisted Living, Memory Care"
7294,Clarendale Of Chandler,Assisted Living,"Assisted Living, Memory Care"
7298,Clearwater Agritopia,Assisted Living,"Assisted Living, Memory Care"
7299,Clearwater Ahwatukee,Assisted Living,"Assisted Living, Memory Care"
7300,Clearwater Mayo Blvd,Assisted Living,"Assisted Living, Memory Care"
7301,Clearwater Pinnacle Peak,Assisted Living,"Assisted Living, Memory Care"
12765,Clermont Park Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12771,Cogir Of Broomfield Senior Living,Assisted Living,"Assisted Living, Memory Care"
12773,Cogir Of Lotus Park Senior Living,Assisted Living,"Assisted Living, Memory Care"
12775,Colibri Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12800,Community Restorium,Assisted Living,"Assisted Living, Memory Care"
12816,Constant Care V Cheyenne,Assisted Living,"Assisted Living, Memory Care"
10932,Copper Canyon,Assisted Living,"Assisted Living, Memory Care"
7329,Copper Creek Inn Memory Care Community,Assisted Living,"Assisted Living, Memory Care"
12820,Copper Creek Senior Living,Assisted Living,"Assisted Living, Memory Care"
12824,Copper Springs Senior Living,Assisted Living,"Assisted Living, Memory Care"
7338,Cornerstone Al,Assisted Living,"Assisted Living, Memory Care"
12831,Cottages At Lochsa Falls The,Assisted Living,"Assisted Living, Memory Care"
12833,Cottages Senior Living I Llc Dba The Cottages Of Emmett,Assisted Living,"Assisted Living, Memory Care"
12835,Cottages Senior Living I Llc Dba The Cottages Of Meridian,Assisted Living,"Assisted Living, Memory Care"
12837,Cottages Senior Living I Llc Dba The Cottages Of Middleton,Assisted Living,"Assisted Living, Memory Care"
12839,Cottages Senior Living I Llc Dba The Cottages Of Mountain Home,Assisted Living,"Assisted Living, Memory Care"
12840,Cottages Senior Living I Llc Dba The Cottages Of Payette,Assisted Living,"Assisted Living, Memory Care"
12842,Cottages Senior Living I Llc Dba The Cottages Of Weiser,Assisted Living,"Assisted Living, Memory Care"
7341,Cottonwood Village,Assisted Living,"Assisted Living, Memory Care"
7308,Comfort Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12855,Country Home,Assisted Living,"Assisted Living, Memory Care"
