ID,Title,normalized_types,sources
6804,Aegis At 38Th Place Assisted Living Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6808,Aegis At Fairview Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6810,Aegis At Redwood Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6812,Affirmative Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6814,Agape Care Home Of Scottsdale,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6818,Agave Assisted Living Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6819,Agave Care Home Of Scottsdale,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6821,Agave Manor,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6822,Ageless Angels Alh 2,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6825,Aguilera Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6827,Ahwatukee Adult Care Iii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6840,All Care Assisted,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6846,Allegiance Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6848,Aloha Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6849,Aloha Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6857,Amandas Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6865,Amber Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6867,Amber Lights,"Assisted Living Home, Independent Living",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6869,Ambiance Al,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6871,Ambience Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6872,Ambience Care Home 2,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6875,American Dream Home,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6887,Anas Haven At Cedar,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6891,Angel Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6895,Angels Adult Group Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6902,Angelic Heart Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6903,Angels Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6918,Apollo Residential Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6923,Arcadia Assisted Care,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6926,Arcadia Grove Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6928,Arcadia Woods Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6930,Archangel Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6945,Arizona Desert Falls,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6946,Arizona Elderly Care Alh,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6948,Arizona Pioneers Home,"Assisted Living Home, Independent Living, Nursing Home",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6949,Arizona Premier Adult Care Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6951,Arizona Royal Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6956,Arizona Sunset Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6961,Ark Of Angel Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6962,Ark Of Life Memory Care,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6965,Armada Care Homes,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6966,Arrowhead Senior Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6968,Arrowhead Senior Living Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6977,Ashbrook Home Care,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6978,Ashlee Care,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6979,Ashton Gardens Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6988,Assisted Living At Mountain Vista,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6993,Assisted Living Of Mesa,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
6998,Asterion Acres,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7011,Atria Campana Del Rio,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7013,Atria Park Of Sierra Pointe,"Assisted Living Home, Independent Living",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7024,Avana Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7029,Avista Senior Living Apache Junction,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7033,Avista Senior Living North Mountain,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7049,Azalea Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7054,Azure Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7055,B H Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7056,B And H Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7060,Baraka At Rosegardens Ii Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7070,Beehive Homes Of Gilbert,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7071,Beehive Homes Of Marana,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7076,Bella Amore Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7077,Bella Vista Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7078,Bella Vista Senior Living,"Assisted Living Home, Independent Living",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7094,Best Care Home Of Moon Valley,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7095,Best Care Home Of Moon Valley,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7099,Best Of Europe Adult Home Care,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7101,Betania Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7105,Better Life Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7106,Better Living Carehome,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7109,Better Senior Carehome,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7113,Biltmore Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7114,Biltmore Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7115,Blessed Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7117,Blissful Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7118,Blissful Living Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7120,Blooming Meadows,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7124,Blue Lakes Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7129,Blue Sky Manor,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7131,Boswell Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7140,Bright Valley Grouphome,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7143,Broadway Mesa Village,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7145,Brookdale Apache Junction,"Assisted Living Home, Independent Living",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7146,Brookdale Arrowhead Ranch,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7147,Brookdale Baywood,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7149,Brookdale Central Chandler,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7150,Brookdale Central Paradise Valley,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7151,Brookdale Chandler Ray Road,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7152,Brookdale Chandler Regional,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7153,Brookdale Desert Ridge,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7154,Brookdale East Arbor,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7156,Brookdale East Tucson,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7157,Brookdale Flagstaff,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7160,Brookdale North Mesa,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7161,Brookdale North Scottsdale,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7162,Brookdale North Tucson,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7164,Brookdale Peoria,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7166,Brookdale Springs Mesa,"Assisted Living Home, Independent Living",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7177,Cactus Star 1 Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7180,Cadence Chandler,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7181,Caissa Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7183,Caissa Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7185,Caliche Senior Living,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7188,Callinis Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7194,Canyon Creek Assisted Living Memory Care,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7195,Canyon Valley Memory Care Residence,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7196,Canyon View By Platinum Care Homes,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7207,Carefree Assisted Living Center,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7209,Carefree Manor Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7220,Caring Hands Comfort Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7229,Casa Buena Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7234,Casa De Los Abuelos Dos,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7236,Casa De Vida Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7237,Casa De Vida Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7241,Casa Theresita Iii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7242,Casas Adobes Assisted Living,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7243,Casas Chapala,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7244,Cascades Of Tucson,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7249,Caveo Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7256,Cedar Pastures,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7257,Central Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7258,Central Scottsdale Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7260,Cesca Adult Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7266,Charles Residential Care,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7275,Christian Care Assisted Living,"Assisted Living Home, Memory Care, Nursing Home",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7276,Christian Care Manor Ii,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7290,Citrus Manor,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7293,Clarendale Arcadia,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7294,Clarendale Of Chandler,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7308,Comfort Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7321,Compassionate Manor Assisted Living,"Assisted Living Home, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7325,Constant Care Assisted Living North Central,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7328,Coolidge Legacy At Scottsdale,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7330,Copper Sky Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7332,Copper Village Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7334,Corine Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7340,Corrine Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7341,Cottonwood Village,"Assisted Living Home, Independent Living, Memory Care",CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7346,Country Oaks,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7348,Countryside Senior Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7349,County Villa,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7355,Crismon Peaks Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7362,Crystal Joy Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7367,D Vintage Place Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7368,Darcy Manor Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7372,Danielas Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7373,Daniellas Loving Care Home,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7375,Danilas Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7392,Desert Comfort Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
7393,Desert Cove Assisted Living,Assisted Living Home,CARE_TYPE_SYNC_20250828_120842.csv;CARE_TYPE_SYNC_20250828_120842_WITH_CONTENT.csv
