ID,Title,Address,Website,Source
6848,Aloha Assisted Living,"8260 East Vicksburg Street, Tucson, Az 85710",https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc,seniorly
6849,Aloha Assisted Living,"3414 North 81St Street, Scottsdale, Az 85251",https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,seniorly
6864,Amazing Comfort Homes,"381 South 132Nd Street, Chandler, Az 85225",https://app.seniorplace.com/communities/show/abff60fc-e8fd-45b7-98ac-21b3f767a7d2,seniorplace
6863,Amazing Comfort Homes,"1670 East Carla Vista Drive, Chandler, Az 85225",https://app.seniorplace.com/communities/show/1ba55b01-46bf-4390-8c4a-836c01f54698,seniorplace
6894,Angel Wings Assisted Living,"3148, Vernon, Az 85940",https://app.seniorplace.com/communities/show/d0df1fb4-66b2-453b-9450-e3a222789a0d,seniorplace
6893,Angel Wings Assisted Living,"86 County Road 3148, Vernon, Az 85940",https://app.seniorplace.com/communities/show/3a0be5d4-1e65-4990-8d4b-af63ad6e1640,seniorplace
6901,Angelas Assisted Living Ii,"5721 East Waverly Street, Tucson, Az 85712",https://app.seniorplace.com/communities/show/55f8a702-183e-437b-82d3-a9e5b495657e,seniorplace
6900,Angelas Assisted Living Ii,"1701 North Ridgeway Road, Tucson, Az 85712",https://app.seniorplace.com/communities/show/49fe88dd-09f0-40e3-9b75-3b7a639851bc,seniorplace
6899,Angels Touch Care Home,"1974 Clear Lake Drive, Fort Mohave, Az 86426",https://app.seniorplace.com/communities/show/e80c0309-4f98-432c-b1ea-277225d9f702,seniorplace
10666,Angels Touch Care Home,"1974 East Clear Lake Drive, Fort Mohave, Az 86426",https://www.seniorly.com/assisted-living/arizona/fort-mohave/angel-s-touch-care-home,seniorly
6908,Angels Wings Assisted Living,"303 North Kimberlee Way, Chandler, Az 85225",https://app.seniorplace.com/communities/show/d6b5dbcb-9de3-48db-890f-dbc6317377bd,seniorplace
10600,Angels Wings Assisted Living,"2402 East Detroit Court, Chandler, Az 85225",https://www.seniorly.com/assisted-living/arizona/chandler/angels-wings-assisted-living-home,seniorly
6912,Annes Assisted Living,"37882 West San Clemente Street, Maricopa, Az 85138",https://app.seniorplace.com/communities/show/95ddd5ac-8e26-4803-b5c5-0a2a8bfbccee,seniorplace
6911,Annes Assisted Living,"37717 West San Ildefanso Avenue, Maricopa, Az 85138",https://app.seniorplace.com/communities/show/21aa939c-ef0c-46f6-985e-9c670b299c58,seniorplace
6913,Annies Care Home,"6008 West Juniper Avenue, Glendale, Az 85308",https://app.seniorplace.com/communities/show/65035053-e6bb-42bc-ad95-1b7a53e51c48,seniorplace
10747,Annies Care Home,"6008 West Juniper Avenue, Glendale, Az 85306",https://www.seniorly.com/assisted-living/arizona/glendale/annie-s-care-home,seniorly
6915,Anthem Senior Living,"40401 North Copper Basin Trail, Anthem, Az 85086",https://app.seniorplace.com/communities/show/de6a9d77-02fe-4ea7-9d51-1f1d30c9cef4,seniorplace
10277,Anthem Senior Living,"40401 North Copper Basin Trail, Phoenix, Az 85086",https://www.seniorly.com/assisted-living/arizona/phoenix/anthem-senior-living,seniorly
12005,Apple Tree Assisted Living,"565 North 300 West, Kaysville, Ut 84037",https://app.seniorplace.com/communities/show/6aff27fd-d0c0-4dce-8b2e-dec210a57b5b,seniorplace
12003,Apple Tree Assisted Living,"1145 Brockdell Drive, Colorado Springs, Co 80911",https://app.seniorplace.com/communities/show/5baab959-b6d4-426a-b7b1-6cdab8b9d892,seniorplace
10305,Arbor Rose Senior Care,"6033 East Arbor Road, Mesa, Az 85206",https://www.seniorly.com/assisted-living/arizona/mesa/arbor-rose-senior-care,seniorly
6921,Arbor Rose Senior Care,"6033 E Arbor Avenue, Mesa, Az 85206",https://app.seniorplace.com/communities/show/6bd1d1e6-1ddf-4a8f-8cb3-549fd20ef4a3,seniorplace
12038,Arbor View,"7991 West 71St Avenue, Arvada, Co 80004",https://app.seniorplace.com/communities/show/7acf57b0-00ed-410b-9481-5f32ef2fe0ba,seniorplace
12036,Arbor View,"8001 West 71St Avenue, Arvada, Co 80004",https://app.seniorplace.com/communities/show/058536c2-6017-463a-b7b3-b771bb5001de,seniorplace
11051,Arcadia Home Care,"3112 North 34Th Street, Phoenix, Az 85016",https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-home-care-llc,seniorly
6927,Arcadia Home Care,"3112 North 34Th Street, Phoenix, Az 85018",https://app.seniorplace.com/communities/show/14a8787d-3de2-404f-8d7f-3f3a233df9f3,seniorplace
10477,Archangel Assisted Living,"1442 East Ebony Drive, Chandler, Az 85286",https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living,seniorly
6930,Archangel Assisted Living,"932 South Brentwood Place, Chandler, Az 85224",https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc,seniorly
6932,Arden Haven Assisted Living,"6827 West Rowel Road, Peoria, Az 85383",https://app.seniorplace.com/communities/show/d44b14cb-44d1-42f6-82cb-8bbbbaf7307c,seniorplace
6931,Arden Haven Assisted Living,"14549 West Saint Moritz Lane, Surprise, Az 85379",https://app.seniorplace.com/communities/show/f9055310-49ad-44ad-88c9-d41ed1ba8469,seniorplace
6935,Arden Villa,"21799 South 230Th Way, Queen Creek, Az 85142",https://app.seniorplace.com/communities/show/153b87e6-0c6f-47ab-83ee-88fc07fe8a1f,seniorplace
6934,Arden Villa,"1238 East Greenway Circle, Mesa, Az 85203",https://app.seniorplace.com/communities/show/edebcb53-a1b1-4217-a91b-0efb68e80fca,seniorplace
10623,Arizona Angels,"1220 North Tapadero Drive, Dewey, Az 86327",https://www.seniorly.com/assisted-living/arizona/dewey/arizona-angels-dewey,seniorly
10628,Arizona Angels,"7859 East Las Flores Avenue, Prescott Valley, Az 86314",https://www.seniorly.com/assisted-living/arizona/prescott-valley/arizona-angels-prescott-valley,seniorly
6939,Arizona Assisted Living,"21894 South 199Th Way, Queen Creek, Az 85142",https://app.seniorplace.com/communities/show/1e4934ed-11fc-43d1-bc4e-8af3e0bfbd62,seniorplace
6938,Arizona Assisted Living,"5512 East 8Th Street, Tucson, Az 85711",https://app.seniorplace.com/communities/show/6d870139-c74a-493e-a50b-ddcda0a0a862,seniorplace
6965,Armada Care Homes,"10038 East Glencove Circle, Mesa, Az 85207",https://www.seniorly.com/assisted-living/arizona/mesa/armada-care-homes-mesa,seniorly
6964,Armada Care Homes,"1612 East Knoll Circle, Mesa, Az 85203",https://app.seniorplace.com/communities/show/77dece73-4254-409d-9c77-a0907cb7cff8,seniorplace
6984,Aspen Care Assisted Living,"1455 West Roller Coaster Road, Tucson, Az 85704",https://app.seniorplace.com/communities/show/44a38542-c054-422b-b097-0a397a4ee14f,seniorplace
10976,Aspen Care Assisted Living,"1445 West Roller Coaster Road 2, Tucson, Az 85704",https://www.seniorly.com/assisted-living/arizona/tucson/aspen-care-assisted-living-home-llc,seniorly
6999,Asterion Acres,"7012 North Asterion Lane, Tucson, Az 85741",https://app.seniorplace.com/communities/show/1bbe84ad-613e-436c-9281-e820ca816acc,seniorplace
6998,Asterion Acres,"7008 North Asterion Lane, Tucson, Az 85741",https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,seniorly
7018,Audreys Adult Care Home,"1898 East Ellis Drive, Tempe, Az 85282",https://app.seniorplace.com/communities/show/52090450-f1bf-4569-b61b-138e912a332d,seniorplace
7016,Audreys Adult Care Home,"1898 East Ellis, Tempe, Az 852824807778241",https://app.seniorplace.com/communities/show/2b6fd48c-7e3a-4285-8695-fd3acb2c123e,seniorplace
10879,Avista Senior Living Lake Havasu,"3076 Shoshone Drive, Lake Havasu City, Az 86406",https://www.seniorly.com/assisted-living/arizona/lake-havasu-city/avista-senior-living-lake-havasu,seniorly
7031,Avista Senior Living Lake Havasu,"3076 Shoshone Drive, Lake Havasu, Az 86406",https://app.seniorplace.com/communities/show/df741e72-7ad0-4ab8-b225-cb7dbf8f6bdc,seniorplace
7033,Avista Senior Living North Mountain,"350 East Eva Street, Phoenix, Az 85020",https://www.seniorly.com/assisted-living/arizona/phoenix/avista-senior-living-north-mountain,seniorly
10771,Avista Senior Living North Mountain,"350 East Eva Street, Pheonix, Az 85020",https://www.seniorly.com/assisted-living/arizona/pheonix/avista-senior-living-north-mountain-pheonix,seniorly
7032,Avista Senior Living Payson,"806 W Longhorn Road Payson, Payson, Az 85541",https://app.seniorplace.com/communities/show/6524a1bd-6598-416c-96f0-ba310c7f0860,seniorplace
11097,Avista Senior Living Payson,"806 West Longhorn Road, Payson, Az 85541",https://www.seniorly.com/assisted-living/arizona/payson/avista-senior-living-payson,seniorly
7062,Barton House Ii,"7007 East Mountain View Road, Scottsdale, Az 85253",https://app.seniorplace.com/communities/show/f777c265-88f2-434f-9e94-d636428741ca,seniorplace
7063,Barton House Ii,"7007 East Mountain View Road, Paradise Valley, Az 85253",https://app.seniorplace.com/communities/show/b00b5c68-22e3-49f2-b9d4-5e55a2baa921,seniorplace
10804,Beebes Assisted Living,"13242 North 34Th Drive, Phoenix, Az 85029",https://www.seniorly.com/assisted-living/arizona/phoenix/beebes-assisted-living-llc,seniorly
10779,Beebes Assisted Living,"13242 North 34Th Drive , Phoenix, Az 85029",https://www.seniorly.com/assisted-living/arizona/phoenix/beebes-assisted-living-llc-,seniorly
7074,Beehive Homes Of Sierra Vista,"4110 East Anderson Road, Sierra Vista, Az 85650",https://app.seniorplace.com/communities/show/a04d19e6-b5c9-457c-97a4-f37b533cf0cf,seniorplace
10872,Beehive Homes Of Sierra Vista,"4110 East Anderson Street, Sierra Vista, Az 85650",https://www.seniorly.com/assisted-living/arizona/sierra-vista/beehive-homes-of-sierra-vista,seniorly
11086,Bellaire Assisted Living,"15350 North 29Th Street B2, Phoenix, Az 85032",https://www.seniorly.com/assisted-living/arizona/phoenix/bellaire-assisted-living,seniorly
7084,Bellaire Assisted Living,"15350 North 29Th Street, Phoenix, Az 85032",https://app.seniorplace.com/communities/show/76a0cbde-db3e-4b85-b9ec-796d666c78dc,seniorplace
12415,Best Assisted Living,"2499 Charros Road, Sandy, Ut 84092",https://app.seniorplace.com/communities/show/76f1ce14-136e-4172-988a-b1ec17ff6afd,seniorplace
12413,Best Assisted Living,"2270 High Mountain Drive, Sandy, Ut 84092",https://app.seniorplace.com/communities/show/aabc92cc-1f77-475a-8929-f7f43f67a1ba,seniorplace
7094,Best Care Home Of Moon Valley,"52 West Moon Valley Drive, Phoenix, Az 85023",https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley,seniorly
7095,Best Care Home Of Moon Valley,"44 West Moon Valley Drive, Phoenix, Az 85023",https://www.seniorly.com/assisted-living/arizona/phoenix/best-care-home-of-moon-valley-llc-phoenix,seniorly
7125,Blue Royale Assisted Living,"12219 West Parkway Lane, Tolleson, Az 85353",https://app.seniorplace.com/communities/show/c0b54ae0-205c-4c69-9aa4-f2ba26e470af,seniorplace
7126,Blue Royale Assisted Living,"10619 East Hawk Avenue, Mesa, Az 85212",https://app.seniorplace.com/communities/show/c119c153-6ea6-481e-a57e-ad8366f12076,seniorplace
12448,Bonaventure Of Colorado Springs,"9112 Grand Cordera Parkway, Colorado Springs, Co 80924",https://app.seniorplace.com/communities/show/86c16cd1-db02-428e-bdc2-39852e908fcb,seniorplace
12446,Bonaventure Of Colorado Springs,"9112 Grand Cordera Parkway,, Colorado Springs, Co",https://app.seniorplace.com/communities/show/5c58c638-f4ad-46a9-b87d-20666e4e87a4,seniorplace
12454,Bonney Home,"513 Williams Street, Gallup, Nm 87301",https://app.seniorplace.com/communities/show/296776c7-6b8f-4623-935a-ba0ec158fa95,seniorplace
12456,Bonney Home,"2021 Barbara Avenue, Gallup, Nm 87301",https://app.seniorplace.com/communities/show/2a46ff33-fbc5-451b-b20e-05c8f981ad7a,seniorplace
7135,Bridgewater Assisted Living,"2641 West Union Hills Drive, Phoenix, Az 85027",https://app.seniorplace.com/communities/show/5bba8892-3a6f-4135-8bf7-e64d6846f364,seniorplace
7136,Bridgewater Assisted Living,"295 E Van Buren Street, Avondale, Az 85323",https://app.seniorplace.com/communities/show/9ce5d2b7-697a-45cd-979c-1f81349645c3,seniorplace
10356,Bridgewater Assisted Living,"295 East Van Buren Street, Avondale, Az 85323",https://www.seniorly.com/assisted-living/arizona/avondale/bridgewater-avondale-operations,seniorly
12565,Brookdale Meridian Westland,"10695 W 17Th Avenue, Lakewood, Co 80215",https://app.seniorplace.com/communities/show/afc19604-22c9-4a03-bdf1-4366dd6b8960,seniorplace
12563,Brookdale Meridian Westland,"10695 W 17Th Avenue, Lakewood, Co",https://app.seniorplace.com/communities/show/ddf9395a-39e3-4414-95d2-9c55ccf3bcb9,seniorplace
12578,Brookdale Santa Fe,"640 Alta Vista Street, Santa Fe, Nm 87505",https://app.seniorplace.com/communities/show/b00dae17-478f-4d0b-b70a-185eb6fad31f,seniorplace
12580,Brookdale Santa Fe,"640 Alta Vista, Santa Fe, Nm 87505",https://app.seniorplace.com/communities/show/439425ca-239c-4bb9-a534-9aae26a47f70,seniorplace
12587,Brookdale Tramway Ridge,"4900 Tramway Ridge Drive Northeast, Albuquerque, Nm 87111",https://app.seniorplace.com/communities/show/d1f74fcc-ab35-4c7a-8d35-99be506bb0ad,seniorplace
12589,Brookdale Tramway Ridge,"4910 Tramway Ridge, Albuqerque, Nm 87111",https://app.seniorplace.com/communities/show/c17d3c00-9150-428b-b104-46031eb1e6dd,seniorplace
10608,Brookings,"7943 East Gazelle Road, Prescott, Az 86315",https://www.seniorly.com/assisted-living/arizona/prescott/brookings,seniorly
7173,Brookings,"7943 East Gazelle Road, Prescott Valley, Az 86315",https://app.seniorplace.com/communities/show/bab97e29-06b6-4f3b-9f32-740d381e8bfe,seniorplace
10536,Caissa Assisted Living,"460 East Phelps Street, Gilbert, Az 85296",https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-460-east-phelps-street-gilbert,seniorly
7181,Caissa Assisted Living,"2567 East Donato Drive, Gilbert, Az 85298",https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,seniorly
7182,Caissa Assisted Living,"460 East Phelps Street, Gilbert, Az 85295",https://app.seniorplace.com/communities/show/1f34b89c-3246-4353-a07c-98a2285bbf56,seniorplace
10548,Caissa Assisted Living,"975 East Lodgepole Drive, Gilbert, Az 85298",https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc,seniorly
7183,Caissa Assisted Living,"2049 East Claxton Avenue, Gilbert, Az 85297",https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home,seniorly
12643,Cappella Of Pueblo West,"170 South Dacona Drive, Pueblo, Co 81007",https://app.seniorplace.com/communities/show/ff473a33-f896-4078-a360-21617f3db71e,seniorplace
12642,Cappella Of Pueblo West,"170 South Dacona Drive, Pueblo West, Co 81007",https://app.seniorplace.com/communities/show/42627542-be09-4d35-ad82-ebff9d08f9ec,seniorplace
10809,Care More Assisted Living,"2532 West Larkspur Drive, Phoenix, Az 85029",https://www.seniorly.com/assisted-living/arizona/phoenix/care-more-assisted-living,seniorly
7203,Care More Assisted Living,"2906 West Cholla Street, Phoenix, Az 85029",https://app.seniorplace.com/communities/show/94051884-8f43-41cb-991e-124a646412e8,seniorplace
10824,Care With Love,"7022 North 10Th Place, Phoenix, Az 85020",https://www.seniorly.com/assisted-living/arizona/phoenix/care-with-love-inc,seniorly
10823,Care With Love,"813 East Belmont Avenue, Phoenix, Az 85020",https://www.seniorly.com/assisted-living/arizona/phoenix/care-with-love-phoenix,seniorly
10418,Carefree Assisted Living,"8038 East Happy Valley Road, Scottsdale, Az 85255",https://www.seniorly.com/assisted-living/arizona/scottsdale/carefree-assisted-living-home,seniorly
7206,Carefree Assisted Living,"1722 East Tamar Road, Phoenix, Az 85086",https://app.seniorplace.com/communities/show/849f1522-3aae-4538-b5fe-630ae3189287,seniorplace
12659,Carillon At Belleview Station The,"4855 Niagara Street, Denver, Co 80237",https://app.seniorplace.com/communities/show/e0f93eb0-046f-40b9-b585-24507264c992,seniorplace
12661,Carillon At Belleview Station The,"4855 Niagara Street, Denver, Co 80237",https://app.seniorplace.com/communities/show/7f38ba48-55fd-4035-a7db-23d198625d45,seniorplace
7216,Caring For Generations,"4644 East San Carlos Place South, Tucson, Az 85712",https://app.seniorplace.com/communities/show/4ae2ee3a-32a2-412a-aedb-4802bd5c6cbc,seniorplace
7215,Caring For Generations,"4644 East San Carlos Place South, San Carlos, Az 85712",https://app.seniorplace.com/communities/show/d52ddd45-ecbc-43ff-9678-09e91e10b259,seniorplace
7214,Caring For Generations Corner,"4645 East San Carlos Place South, San Carlos, Az 85712",https://app.seniorplace.com/communities/show/c1a07991-914e-4cd5-bd10-9760ea7fe1ea,seniorplace
7213,Caring For Generations Corner,"4645 East San Carlos Place South, Tucson, Az 85712",https://app.seniorplace.com/communities/show/78fffda7-4851-48e6-a672-116531a3fce4,seniorplace
7218,Caring For Loved Ones,"5718 East Sharon Drive, Scottsdale, Az 85254",https://app.seniorplace.com/communities/show/80c63811-6d10-4fe7-9807-d0e571eb5d89,seniorplace
7219,Caring For Loved Ones,"14810 North 52Nd Street, Scottsdale, Az 85254",https://app.seniorplace.com/communities/show/9ca9e660-7c87-4d22-bead-6bc5411dbce6,seniorplace
7217,Caring For Loved Ones,"12414 North 38Th Street, Phoenix, Az 85032",https://app.seniorplace.com/communities/show/43186646-b134-497f-ae23-70ce6238c82f,seniorplace
7222,Caring Hearts Assisted Living,"411 East 34Th Street, Tucson, Az 85713",https://app.seniorplace.com/communities/show/1d7b9549-af3a-43c2-874c-97aaf872e8ba,seniorplace
7223,Caring Hearts Assisted Living,"2370 West Megan Street, Chandler, Az 85224",https://app.seniorplace.com/communities/show/0faf7fc8-48ed-4e21-90c6-8c54cf7d7173,seniorplace
7237,Casa De Vida Living,"6713 North 41St Drive, Phoenix, Az 85019",https://www.seniorly.com/assisted-living/arizona/phoenix/casa-de-vida-living-phoenix,seniorly
7236,Casa De Vida Living,"7036 West Parkway Drive, Phoenix, Az 85043",https://www.seniorly.com/assisted-living/arizona/phoenix/casa-de-vida-living,seniorly
12699,Casita Senior Living,"5141 Georgia Place Northeast, Rio Rancho, Nm 87144",https://app.seniorplace.com/communities/show/4e68b53d-5cb0-4402-b880-70faa309e554,seniorplace
12700,Casita Senior Living,"9846 Academy Street Northwest, Albuquerque, Nm 87114",https://app.seniorplace.com/communities/show/d194180a-90cd-4ebe-a998-2a6238a8ad66,seniorplace
12706,Castle Rock Assisted Living At Eveningsong,"572 Eveningsong Drive, Castle Rock, Co 80104",https://app.seniorplace.com/communities/show/0a64319b-b8c0-47c4-82ca-cc13eb91f8f4,seniorplace
12705,Castle Rock Assisted Living At Eveningsong,"572 Eveningsong Drive, Castle Rock,, Co 80104",https://app.seniorplace.com/communities/show/4c78dcd3-5439-4fc9-8ef1-5ded9956a390,seniorplace
10651,Ccs Adult Care,"13425 West Rimrock Road, Surprise, Az 85374",https://www.seniorly.com/assisted-living/arizona/surprise/cc-s-adult-care-inc,seniorly
7251,Ccs Adult Care,"13425 West Rimrock Street, Surprise, Az 85374",https://app.seniorplace.com/communities/show/71ea0d29-64c0-4d00-b297-c004d0bcd4ac,seniorplace
7259,Cerbat Guest Home,"2364 Carver Avenue, Kingman, Az 86409",https://app.seniorplace.com/communities/show/b3aac00b-2f40-4799-9dc7-560f1b139636,seniorplace
10873,Cerbat Guest Home,"2364 Carver Avenue, Kingman, Az 86401",https://www.seniorly.com/assisted-living/arizona/kingman/cerbat-guest-home,seniorly
10702,Chandler Post Acute And Rehabilitation,"2121 West Elgin Street, Chandler, Az 85224",https://www.seniorly.com/assisted-living/arizona/chandler/chandler-post-acute-and-rehabilitation,seniorly
7262,Chandler Post Acute And Rehabilitation,"2121 W Elgin Street, Chandler, Az 85224",https://app.seniorplace.com/communities/show/1d9c19ad-2e5b-4169-b77a-267611b60b1c,seniorplace
10654,Chaparral Winds Assisted Living,"16623 North West Point Parkway, Surprise, Az 85374",https://www.seniorly.com/assisted-living/arizona/surprise/chaparral-winds-assisted-living,seniorly
7264,Chaparral Winds Assisted Living,"16617 North West Point Parkway, Surprise, Az 85374",https://app.seniorplace.com/communities/show/434f3b2c-771a-4c77-9c87-7c4c9efa927d,seniorplace
7266,Charles Residential Care,"15813 West Monroe Street, Goodyear, Az 85338",https://www.seniorly.com/assisted-living/arizona/goodyear/charles-residential-care,seniorly
10741,Charles Residential Care,"6343 West Del Mar Lane, Glendale, Az 85306",https://www.seniorly.com/assisted-living/arizona/glendale/charles-residential-care-llc,seniorly
7270,Chekela Turners Place Iii,"2136 West Maldonado Road, Phoenix, Az 85041",https://app.seniorplace.com/communities/show/37c60f15-de7b-45df-8171-fb0af53c8f3d,seniorplace
10905,Chekela Turners Place Iii,"2136 West Maldonado, Phoenix, Az 85041",https://www.seniorly.com/assisted-living/arizona/phoenix/chekela-turners-place-iii,seniorly
12747,Cherry Creek Retirement Village,"14555 East Hampden Avenue, Aurora, Co 80014",https://app.seniorplace.com/communities/show/cd8cb296-1773-4249-a372-d1caab6d6fa1,seniorplace
12749,Cherry Creek Retirement Village,"14555 East Hampden Avenue, Denver, Co 80014",https://app.seniorplace.com/communities/show/8520b3fa-b5ca-4db3-8ab0-0bfda84382d1,seniorplace
7274,Christcentered Care Assisted Living,"10217 Ampere Avenue, Mesa, Az 85212",https://app.seniorplace.com/communities/show/55093c31-e11f-4c8b-907e-fbd648f9fe52,seniorplace
10337,Christcentered Care Assisted Living,"10217 East Ampere Avenue, Mesa, Az 85212",https://www.seniorly.com/assisted-living/arizona/mesa/christ-centered-care-assisted-living,seniorly
7280,Circle Of Life Alzheimer Homes,"8330 Acacia Drive, Flagstaff, Az 86004",https://app.seniorplace.com/communities/show/d1858948-b85a-4db5-8797-a75460552a8e,seniorplace
7284,Circle Of Life Alzheimer Homes,"West Fort Bridger Road, Williamson, Az 86305",https://app.seniorplace.com/communities/show/93772855-a73d-42fd-8f1e-b0cb0f905a06,seniorplace
7281,Circle Of Life Alzheimer Homes,"3040 South Loreto Trail, Cottonwood, Az 86326",https://app.seniorplace.com/communities/show/242e018a-ff08-411e-9c77-ef54ba3ec684,seniorplace
7285,Circle Of Life Alzheimer Homes,"5785 Symphony Drive, Prescott, Az 86305",https://app.seniorplace.com/communities/show/36b1e522-cb88-4c95-a80a-fb84f21207f2,seniorplace
7286,Circle Of Life Alzheimer Homes,"1780 Silver Spur Circle, Clarkdale, Az 86324",https://app.seniorplace.com/communities/show/76477d5d-b9f3-451f-8e90-5c647912acd3,seniorplace
7283,Circle Of Life Alzheimer Homes,"9240 North American Ranch Road, Prescott, Az 86305",https://app.seniorplace.com/communities/show/f1133036-ea76-4e21-9d00-fa69fcd7be33,seniorplace
7282,Circle Of Life Alzheimer Homes,"5600 West Almosta Ranch Road, Prescott, Az 86305",https://app.seniorplace.com/communities/show/9aa02bdb-c37e-4290-bc11-7a6a1e1e8b83,seniorplace
