title,id_sp,website_sp,types_sp,id_sr,website_sr,types_sr
Aspen Care Assisted Living,,https://app.seniorplace.com/communities/show/44a38542-c054-422b-b097-0a397a4ee14f,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/aspen-care-assisted-living-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Asterion Acres,,https://app.seniorplace.com/communities/show/1bbe84ad-613e-436c-9281-e820ca816acc,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/asterion-acres-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Avista Senior Living Lake Havasu,,https://app.seniorplace.com/communities/show/df741e72-7ad0-4ab8-b225-cb7dbf8f6bdc,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/lake-havasu-city/avista-senior-living-lake-havasu,Assisted Living Home
Avista Senior Living Payson,,https://app.seniorplace.com/communities/show/6524a1bd-6598-416c-96f0-ba310c7f0860,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/payson/avista-senior-living-payson,Assisted Living Home
Beehive Homes Of Sierra Vista,,https://app.seniorplace.com/communities/show/a04d19e6-b5c9-457c-97a4-f37b533cf0cf,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/sierra-vista/beehive-homes-of-sierra-vista,"Assisted Living Home, Independent Living, Assisted Living Community"
Bellaire Assisted Living,,https://app.seniorplace.com/communities/show/76a0cbde-db3e-4b85-b9ec-796d666c78dc,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/bellaire-assisted-living,Assisted Living Home
Bridgewater Assisted Living,,https://app.seniorplace.com/communities/show/5bba8892-3a6f-4135-8bf7-e64d6846f364,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/avondale/bridgewater-avondale-operations,"Assisted Living Home, Independent Living, Memory Care"
Brookings,,https://app.seniorplace.com/communities/show/bab97e29-06b6-4f3b-9f32-740d381e8bfe,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/prescott/brookings,"Assisted Living Home, Independent Living, Assisted Living Community"
Caissa Assisted Living,,https://app.seniorplace.com/communities/show/1f34b89c-3246-4353-a07c-98a2285bbf56,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/gilbert/caissa-assisted-living-home-inc-gilbert,"Assisted Living Home, Independent Living, Assisted Living Community"
Care More Assisted Living,,https://app.seniorplace.com/communities/show/94051884-8f43-41cb-991e-124a646412e8,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/care-more-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Carefree Assisted Living,,https://app.seniorplace.com/communities/show/849f1522-3aae-4538-b5fe-630ae3189287,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/carefree-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Ccs Adult Care,,https://app.seniorplace.com/communities/show/71ea0d29-64c0-4d00-b297-c004d0bcd4ac,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/surprise/cc-s-adult-care-inc,"Assisted Living Home, Independent Living, Assisted Living Community"
Cerbat Guest Home,,https://app.seniorplace.com/communities/show/b3aac00b-2f40-4799-9dc7-560f1b139636,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/kingman/cerbat-guest-home,Assisted Living Home
Chandler Post Acute And Rehabilitation,,https://app.seniorplace.com/communities/show/1d9c19ad-2e5b-4169-b77a-267611b60b1c,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/chandler/chandler-post-acute-and-rehabilitation,"Assisted Living Home, Independent Living, Nursing Home"
Chaparral Winds Assisted Living,,https://app.seniorplace.com/communities/show/434f3b2c-771a-4c77-9c87-7c4c9efa927d,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/surprise/chaparral-winds-assisted-living,Assisted Living Home
Chekela Turners Place Iii,,https://app.seniorplace.com/communities/show/37c60f15-de7b-45df-8171-fb0af53c8f3d,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/chekela-turners-place-iii,"Assisted Living Home, Independent Living, Assisted Living Community"
Christcentered Care Assisted Living,,https://app.seniorplace.com/communities/show/55093c31-e11f-4c8b-907e-fbd648f9fe52,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/christ-centered-care-assisted-living,Assisted Living Home
Claremont Assisted Living,,https://app.seniorplace.com/communities/show/5d2d202a-abeb-4008-9f43-74503ab44fbe,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/lake-havasu/claremont-assisted-living,Assisted Living Home
Clearwater Agritopia,,https://app.seniorplace.com/communities/show/21d45472-7144-4a48-9c59-3f78fa123ae3,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/gilbert/livgenerations-agritopia,"Assisted Living Home, Independent Living, Memory Care"
Clearwater Ahwatukee,,https://app.seniorplace.com/communities/show/27fa13c6-d52e-441d-ab0b-63233975ad48,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/phoeniz/clearwater-ahwatukee,Independent Living
Clearwater Pinnacle Peak,,https://app.seniorplace.com/communities/show/74af2b4b-25f5-4d73-803f-0bc10cade820,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/scottsdale/clearwater-pinnacle-peak,"Assisted Living Home, Independent Living, Memory Care"
Comfort Haven Of Mesa,,https://app.seniorplace.com/communities/show/19fee883-4292-4be4-ac5b-9311a2a95ed5,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/comfort-haven-of-mesa,"Assisted Living Home, Independent Living, Assisted Living Community"
Constant Care Assisted Living,,https://app.seniorplace.com/communities/show/1b01c555-0c5b-4507-b81c-78db0de154e6,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/constant-care-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Crismon Peaks Assisted Living,,https://app.seniorplace.com/communities/show/fe22bf3e-f20d-4c50-b37c-7bb350cf0508,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/crismon-peaks-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Crystal Cove Home Care Ii,,https://app.seniorplace.com/communities/show/8c1c69c3-786e-4536-8643-f62a325e2116,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/higley/crystal-cove-home-care-ii,"Assisted Living Home, Independent Living, Assisted Living Community"
Daninas Care Home,,https://app.seniorplace.com/communities/show/44506e67-2db2-41f3-abe0-f12651e87801,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/danina-s-care-home-l-l-c,"Assisted Living Home, Independent Living, Assisted Living Community"
Dayflower Care Home,,https://app.seniorplace.com/communities/show/7dc46ce5-bb09-4b3e-8037-0026b47d1344,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/queen-creek/dayflower-care-home,Assisted Living Home
Desert Cove Assisted Living,,https://app.seniorplace.com/communities/show/e260e697-79f9-435e-b9b1-0aff88b8aa0c,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/desert-cove-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Desert Jewel At Orange Tree,,https://app.seniorplace.com/communities/show/c6e3855b-c054-458e-be0c-92d25ff66501,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/scottsdale/desert-jewel-at-orange-tree,"Assisted Living Home, Independent Living, Assisted Living Community"
Desert Palace Assisted Living,,https://app.seniorplace.com/communities/show/faef0a7f-58c5-45e7-a6ae-9fdad2144125,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler/desert-palace-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Doctors Choice Assisted Living,,https://app.seniorplace.com/communities/show/53a3d16d-00e6-4de2-b1bf-1d0a8c29f0e1,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/mesa/doctor-s-choice-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Evergreen Assisted Living,,https://app.seniorplace.com/communities/show/24bb2376-57dd-47f2-8b28-7e7466fa2852,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/evergreen-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Famiglia Amore,,https://app.seniorplace.com/communities/show/c0b9545d-b5c9-4d79-bc4f-112179df76b3,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/famiglia-amore-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Family Care Assisted Living,,https://app.seniorplace.com/communities/show/4aec34c4-6278-4b04-8357-74f73e80a8fd,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/family-care-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Faubush Family Homes,,https://app.seniorplace.com/communities/show/5ecf7fa0-2316-4840-a032-8b488981462d,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/globe/faubush-family-homes,"Assisted Living Home, Independent Living, Assisted Living Community"
Fellowship Square Historic Mesa,,https://app.seniorplace.com/communities/show/b2318b64-dff4-494d-9ee2-ffd2220f26e1,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/mesa/fellowship-square-historic-mesa,Assisted Living Home
Fidelity Care Corner,,https://app.seniorplace.com/communities/show/c3912a8f-09d0-48ac-994e-8ebaa4b81c39,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/fidelity-care-corner-inc,"Assisted Living Home, Independent Living, Assisted Living Community"
Fisher Family Home,,https://app.seniorplace.com/communities/show/19ba9f83-1d9c-4ab2-ae45-dca8ed10b1ff,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/fisher-family-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Fountain View Village,,https://app.seniorplace.com/communities/show/7491fa4f-8f2f-4987-ab2d-ded6b62b0a5c,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/fountain-hills/fountain-view-village,"Assisted Living Home, Independent Living, Memory Care"
Fountainview Assisted Living,,https://app.seniorplace.com/communities/show/3534f469-73b5-4aca-923a-588dc5f38342,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/fountain-hills/fountainview-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
G I Adult Care Home,,https://app.seniorplace.com/communities/show/0480e1d7-f49f-49b7-b375-b8cedd80abe8,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/g-i-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Gems Assisted Living 4,,https://app.seniorplace.com/communities/show/62190e3e-33c1-439b-9001-1ab10ea22325,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/lake-havasu-city/gems-assisted-living-4,Assisted Living Home
Gems Assisted Living,,https://app.seniorplace.com/communities/show/68afde92-b7c7-4dd7-9eeb-11ed715fafbb,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/lake-havasu-city/gems-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Granite Gate Senior Living,,https://app.seniorplace.com/communities/show/98bac21b-dc2a-4226-89bf-874f7da40487,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/prescott/granite-gate-senior-living,"Assisted Living Home, Independent Living, Memory Care"
Hacienda Del Rey,,https://app.seniorplace.com/communities/show/87592fb1-dac5-416e-8135-e8fc885dce0d,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/litchfield-park/hacienda-del-rey,"Assisted Living Home, Independent Living, Memory Care"
Halynas Care,,https://app.seniorplace.com/communities/show/eda5737c-b7fb-4f08-aaec-9b98e3892626,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/halyna-s-care,"Assisted Living Home, Independent Living, Assisted Living Community"
Harmony Adult Living Solution,,https://app.seniorplace.com/communities/show/3ec7c630-3dec-4231-8d3a-1ac0a3ef9889,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/san-tan-valley/harmony-adult-living-solution,Assisted Living Home
Hazelwood Manor Assisted Living,,https://app.seniorplace.com/communities/show/92beb47c-88b7-481e-99ee-f60f8577dcf2,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/hazelwood-manor-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Heaven Can Wait,,https://app.seniorplace.com/communities/show/8c3ea156-98da-41ed-b5a1-e14bb9c12152,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/laveen/heaven-can-wait,"Assisted Living Home, Independent Living, Assisted Living Community"
Heritage Village Assisted Living,,https://app.seniorplace.com/communities/show/67bf5711-23ff-451a-b6d0-3b5607c437bf,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/mesa/heritage-village-6-llc,"Assisted Living Home, Independent Living, Memory Care"
Higley House Care Home,,https://app.seniorplace.com/communities/show/e6cfdd21-5039-495d-88fe-777c67571861,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/gilbert/higley-house-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Home Sweet Home,,https://app.seniorplace.com/communities/show/0b5035e8-f043-4851-9d72-b9bac9f17d0d,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/home-sweet-home-mesa,"Assisted Living Home, Independent Living, Assisted Living Community"
Hope Assisted Living,,https://app.seniorplace.com/communities/show/fb5203ca-90bc-44f9-b653-f0aceca44793,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/hope-assisted-living-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Hope Haven Assisted Living,,https://app.seniorplace.com/communities/show/4dfd92d1-51a8-4ae2-a69d-2bcd096afa3b,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/kingman/hope-haven-assisted-living-home,Assisted Living Home
House Of Prayer,,https://app.seniorplace.com/communities/show/caa547aa-517b-4c28-a18e-63550a4fc4d9,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/tucson/house-of-prayer-inc,"Assisted Living Home, Independent Living, Assisted Living Community"
Houston Creek Assisted Living,,https://app.seniorplace.com/communities/show/40983b08-c589-498b-805f-2c55370984ff,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/payson/houston-creek-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Hummingbird Assisted Living,,https://app.seniorplace.com/communities/show/406f5973-fdf5-408a-b5c4-4f672cb9de2b,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/hummingbird-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
In Angel Arms,,https://app.seniorplace.com/communities/show/9bf7f600-dd1b-466c-a2f5-14eb97c87812,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/buckeye/in-angel-arms-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Inspirations Of Tempe,,https://app.seniorplace.com/communities/show/ee729ee8-c473-4640-b68e-4b9a98531c86,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/tempe/inspirations-of-tempe,Assisted Living Home
Jolley Family Assisted Living,,https://app.seniorplace.com/communities/show/1a42cb60-860a-4334-9967-3613a41d9757,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/buckeye/jolley-family-assisted-living-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Jr Caring Hearts,,https://app.seniorplace.com/communities/show/44734d32-6a11-4737-9ab3-e9a076d98916,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/sierra-vista/jr-caring-hearts,Assisted Living Home
Kindred Homes Yuma,,https://app.seniorplace.com/communities/show/d2975125-75f9-4ee3-8f34-00b2bbd4708d,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/yuma/kindred-homes-yuma-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Kiran Manor,,https://app.seniorplace.com/communities/show/3e050fd8-0ba9-4499-80ea-63260008d5b1,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler/kiran-manor,"Assisted Living Home, Independent Living, Assisted Living Community"
La Sonora At Dove Mountain,,https://app.seniorplace.com/communities/show/14fe4d80-91b6-4a82-9ecb-4439a721be09,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/marana/la-sonora-at-dove-mountain,"Assisted Living Home, Independent Living, Memory Care"
Legacy House Of Avondale,,https://app.seniorplace.com/communities/show/ad37ad02-eb52-4687-9746-36f009dfe940,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/avondale/legacy-house-avondale,"Assisted Living Home, Independent Living, Memory Care"
Lifestream At Youngtown,,https://app.seniorplace.com/communities/show/49aa689d-452f-4c3f-bf64-2c569a0803c4,"Independent Living, Assisted Living Community",,https://www.seniorly.com/assisted-living/arizona/youngtown/lifestream-at-youngtown,Assisted Living Home
Litchfield Terrace Assisted Living,,https://app.seniorplace.com/communities/show/ea0fafab-aad9-4e1c-bb08-e20e5e4b65b7,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/litchfield-park/litchfield-terrace-assisted-living-home,Assisted Living Home
Magic Touch Adult Care,,https://app.seniorplace.com/communities/show/6a1a3c95-2586-42f2-9f5e-1068e8cfe76d,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler/magic-touch-adult-care,"Assisted Living Home, Independent Living, Assisted Living Community"
Maravilla Scottsdale,,https://app.seniorplace.com/communities/show/d031b362-3994-468e-8095-31fedef2df56,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/scottsdale/maravilla-scottsdale,"Assisted Living Home, Independent Living, Memory Care"
Mary Petes Assisted Living,,https://app.seniorplace.com/communities/show/cc140db1-452b-420d-9540-fe4560263637,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/mary-pete-s-assisted-living,Assisted Living Home
Mary Grace Care Home,,https://app.seniorplace.com/communities/show/2cd9e2a2-1d6b-4a50-9229-d8802ebf87ec,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/mary-grace-care-home,Assisted Living Home
Mercys Care Home I,,https://app.seniorplace.com/communities/show/1926d343-1a4b-4ca3-8482-43d70c9f17a5,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler/mercy-s-care-home-i,Assisted Living Home
Mingus Terrace Assisted Living,,https://app.seniorplace.com/communities/show/91209b4a-0a5c-4a30-a72d-fb4295edd259,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/cottonwood/mingus-terrace-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Miramonte Alh,,https://app.seniorplace.com/communities/show/111ce1e6-006b-4904-a407-6032fc56ab49,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/miramonte-alh,"Assisted Living Home, Independent Living, Assisted Living Community"
Mom And Dad Place,,https://app.seniorplace.com/communities/show/7c96bf6e-63a8-429f-a2e1-54e1afa572c6,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/mom-and-dad-place-llc-tucson,"Assisted Living Home, Independent Living, Assisted Living Community"
Monte Manor Assisted Living,,https://app.seniorplace.com/communities/show/ced4f933-eed3-44d2-9825-a5cd9ee0acb5,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/monte-manor-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Morningstar At Arcadia,,https://app.seniorplace.com/communities/show/1ad6edea-7e30-40d4-9687-2619748c8472,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/phoenix/morningstar-at-arcadia,"Assisted Living Home, Independent Living, Memory Care"
Morningstar Of Fountain Hills,,https://app.seniorplace.com/communities/show/4b3cc668-9f76-457b-ae03-94094ee30eea,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/fountain-hills/morning-star-of-fountain-hills,"Assisted Living Home, Independent Living, Memory Care"
Mountain View Carehome,,https://app.seniorplace.com/communities/show/37c07cf1-f1ed-4414-9d1a-52178fbe3537,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/mesa/golden-years-care-home-llc-mesa,"Assisted Living Home, Independent Living, Assisted Living Community"
New Reflections Adult Care Home,,https://app.seniorplace.com/communities/show/1b6a5acd-0698-41dc-a137-f754883bb6f5,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/new-reflections-adult-care-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Normandel Place,,https://app.seniorplace.com/communities/show/ddf94083-ab1b-4628-b655-ae0233aa7374,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/normandel-place-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Oakbrook Assisted Living,,https://app.seniorplace.com/communities/show/cacfa1a3-a721-4198-a35f-3cc461a8ca1d,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/scottsdale/oakbrook-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Ordinary Lifestyles,,https://app.seniorplace.com/communities/show/c5daf141-c42a-4c32-8c68-526bf880bf32,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/payson/ordinary-lifestyles,"Assisted Living Home, Independent Living, Assisted Living Community"
Page Springs Living,,https://app.seniorplace.com/communities/show/572061a2-7df7-4801-b3bd-d95592554671,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/cornville/page-springs-living-cornville,Assisted Living Home
Pathways Assisted Living,,https://app.seniorplace.com/communities/show/a4135b47-a604-48d1-9aec-a4859696c1fc,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/pathways-assisted-living-phoenix,Assisted Living Home
Peaceful And Comfort Assisted Living,,https://app.seniorplace.com/communities/show/bfe1b9fa-23b4-4b18-ad95-81d7fcadbc03,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/mesa/peaceful-and-comfort-assisted-living-home,"Assisted Living Home, Independent Living, Assisted Living Community"
Rainbow Acres,,https://app.seniorplace.com/communities/show/7331686b-9e7d-4373-82a9-e3da5ca75563,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/camp-verde/rainbow-acres,Assisted Living Home
Reflections At Fellowship Square Mesa,,https://app.seniorplace.com/communities/show/97ffc74f-5145-4330-898b-45c75d878055,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/mesa/reflections-at-fellowship-square-mesa,Assisted Living Home
Renatas Home For The Elderly,,https://app.seniorplace.com/communities/show/514dccc8-8d16-4e1a-9633-7b99e5b3ebd8,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/queen-creek/renata-s-home-for-the-elderly,"Assisted Living Home, Independent Living, Assisted Living Community"
Renatas Home For The Elderly 2,,https://app.seniorplace.com/communities/show/d62f3ca8-19af-4a10-bd9b-94fea45acfb3,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/queen-creek/renata-s-home-for-the-elderly-2-inc,"Assisted Living Home, Independent Living, Assisted Living Community"
Ridges At Peoria,,https://app.seniorplace.com/communities/show/6265161f-1a89-4121-b93a-a049d215e827,"Independent Living, Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/peoria/ridges-at-peoria-senior-living,"Assisted Living Home, Independent Living, Memory Care"
River Valley Estates,,https://app.seniorplace.com/communities/show/b1d63c2d-8763-4d7e-8980-64ad7cb441d7,"Assisted Living Community, Memory Care",,https://www.seniorly.com/assisted-living/arizona/yuma/river-valley-estates,"Assisted Living Home, Independent Living, Memory Care"
Royal Oaks Assisted Living Center,,https://app.seniorplace.com/communities/show/226be915-ecbe-4853-8416-a8be700582d8,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/sun-city/royal-oaks-assisted-living-center,Assisted Living Home
Senior Paradise Living,,https://app.seniorplace.com/communities/show/225226d3-b75e-424c-a56c-6dbb98477609,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/scottsdale/senior-paradise-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Serenity Assisted Living,,https://app.seniorplace.com/communities/show/232d57ea-5728-41e1-96aa-70152e990b32,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/lake-havasu-city/serenity-assisted-living-lake-havasu-city,"Assisted Living Home, Independent Living, Assisted Living Community"
