ID,Title,URL,OldSerialized,NormalizedTypes,NormalizedTypeIDs,SerializedWritten
?,A Golden Retreat Care Home,https://app.seniorplace.com/communities/show/dfc62f5b-99dc-4f54-a490-2c172c886c31,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Loving Heart Assisted Living Ii,https://app.seniorplace.com/communities/show/79b9e3ea-dd46-4a96-8c40-d56b5537a541,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Loving Heart Assisted Living,https://app.seniorplace.com/communities/show/a9b0bcff-6667-42e4-b2bc-f5ce776a6598,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Paradise For Parents Senior Living,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Parents Paradise And Care,https://app.seniorplace.com/communities/show/7871b744-81a5-4561-8d1c-6f38223bfd3e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Place For Your Loved Ones,https://app.seniorplace.com/communities/show/62877d0e-ec7c-4345-bdf4-a4c6d13b999d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Place For Your Loved Ones Ii,https://app.seniorplace.com/communities/show/6a1b10c7-8b03-4ffe-b4e4-296c40152ed7,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Place Of Joy Assisted Living,https://app.seniorplace.com/communities/show/defe37f6-86f6-462d-b045-b59dbafe2348,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A R D C Scottsdale Home,https://app.seniorplace.com/communities/show/447dc5e4-11f3-4cc1-816d-db8a7511dce3,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Special Place Care Home,https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,A Touch Of Excelence,https://app.seniorplace.com/communities/show/41b21cdc-1cfc-4014-9e21-df415b1d314f,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Az Assisted Livings,https://app.seniorplace.com/communities/show/994ef61f-7c17-4214-a48f-cfe598796654,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aa Love Care Home,https://app.seniorplace.com/communities/show/9791d9d4-63ea-4071-82fe-06e8532ac7f2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abaca Health,https://app.seniorplace.com/communities/show/d8035bed-53d6-4d93-a134-c62f185bb8cc,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abbington Senior Living,https://app.seniorplace.com/communities/show/ce566b55-5be7-415a-a2d5-fdd81f26bcde,field_682fc481aaf60,"Independent Living, Assisted Living Community, Memory Care","6, 5, 3",a:3:{i:0;i:6;i:1;i:5;i:2;i:3;}
?,Abella Manor Senior Care,https://app.seniorplace.com/communities/show/c179bbae-3902-4004-b4ae-a435261e86c7,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abigails Assisted Living,https://app.seniorplace.com/communities/show/c0a5a8e5-72e7-4fc4-be24-a47a869d5828,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ability Assisted Living,https://app.seniorplace.com/communities/show/93cf8152-9730-483d-af55-acf0827bb9b1,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,About Seniors Assisted Living,https://app.seniorplace.com/communities/show/09856a4c-b211-4881-90ed-93b4f66a92f2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,About Seniors Assisted Living Ii,https://app.seniorplace.com/communities/show/b2d7e413-7c46-461e-9ac4-2b68da37607e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Absolute Best Care,https://app.seniorplace.com/communities/show/f3a08c27-8f26-4ff2-b936-5ddded216443,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abuelitos Home,https://app.seniorplace.com/communities/show/e22d22bd-0a97-498a-85a4-6dd969f83132,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abuelos At La Canada,https://app.seniorplace.com/communities/show/be6cf037-c8a1-44a4-8b82-b9af5be7ac48,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abundant Life Alh Ii,https://app.seniorplace.com/communities/show/e0c049fb-9680-4545-8cdd-549ba5b8ec38,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abundant Life Assisted Living And Senior Care,https://app.seniorplace.com/communities/show/1483110f-fdf6-4e67-a3f3-f94aa23c5ced,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abundant Life Care,https://app.seniorplace.com/communities/show/dd333016-f91e-4fd1-8ba9-75ba6e456d33,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Abundant Life Care Home,https://app.seniorplace.com/communities/show/7edd7196-a43d-4d9f-bf66-053d3f8fa928,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Acacia Glen Home Care,https://app.seniorplace.com/communities/show/a817edde-1e14-4f58-b264-da7be0af211e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Acacia Health Center,https://app.seniorplace.com/communities/show/52fd1227-cc7c-4778-b852-187223b33c53,field_682fc481aaf60,"Assisted Living Community, Nursing Home","5, 7",a:2:{i:0;i:5;i:1;i:7;}
?,Acacia Heights Assisted Living,https://app.seniorplace.com/communities/show/f82a328e-1b47-41c0-b734-7ab7061a8c2d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ace Castles Assisted Living Llc Go To,https://app.seniorplace.com/communities/show/6d70071b-5319-4050-8637-f8754c282044,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Acoma Assisted Living,https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Acoya Scottsdale At Troon,https://app.seniorplace.com/communities/show/5d327349-5bcc-472c-9be3-ee5ee8cedf3f,field_682fc481aaf60,"Independent Living, Assisted Living Community","6, 5",a:2:{i:0;i:6;i:1;i:5;}
?,Acoya Shea,https://app.seniorplace.com/communities/show/bd140ecf-f482-46a3-9097-dda13dc37447,field_682fc481aaf60,"Independent Living, Assisted Living Community, Memory Care","6, 5, 3",a:3:{i:0;i:6;i:1;i:5;i:2;i:3;}
?,Active Care Home Ii,https://app.seniorplace.com/communities/show/1c3f7498-5d88-459f-ad4e-bbbf06e9e661,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Active Care Home Iii,https://app.seniorplace.com/communities/show/eef24d5e-61fd-4376-b1a9-e2ebe42875dd,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Active Care Homes,https://app.seniorplace.com/communities/show/51a0b607-43d8-4738-a783-5f2839b942f2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Acuna At Morning Sun,https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adagio Care,https://app.seniorplace.com/communities/show/fac74a7b-5e8d-4792-9534-3c3d3006fbe7,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adams House,https://app.seniorplace.com/communities/show/f63298fe-3bc2-4a6c-ab98-6d12f046c80e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adobe Country Gables,https://app.seniorplace.com/communities/show/317e7d79-a75f-40f1-9b6e-b08b58a88d77,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adora Assisted Living,https://app.seniorplace.com/communities/show/75f71c56-0843-40d0-a040-9837a42f7c56,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adrianas Roundtheclock,https://app.seniorplace.com/communities/show/ea4b6e80-3848-4b11-af7e-1e33ab9bf227,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Adriel Care Home,https://app.seniorplace.com/communities/show/88ce6183-ec64-4b5a-bf1a-b17255700e45,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Advanced Care Alh,https://app.seniorplace.com/communities/show/01dbd133-fd2f-438d-93de-6936852db4db,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Advantage Adult Health Care Ii,https://app.seniorplace.com/communities/show/2016bd06-daea-4af3-844c-535353fb527c,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Advantage Adult Healthcare,https://app.seniorplace.com/communities/show/e2e945c2-28ba-4fed-b569-093ef393bef0,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Advantage Home Care,https://app.seniorplace.com/communities/show/887ba4e3-ae08-49c5-a4db-43d998279380,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aegis At 38Th Place Assisted Living,https://app.seniorplace.com/communities/show/146eb3f7-3149-4209-afef-d9969404e4b6,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aegis At Cassia Assisted Living,https://app.seniorplace.com/communities/show/b3d94209-3ecd-434b-9be4-0663e4635e56,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aegis At Coconino Assisted Living,https://app.seniorplace.com/communities/show/322d57da-a303-4750-a5d9-f262b4683cbf,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aegis At Homestead Assisted Living,https://app.seniorplace.com/communities/show/add3307f-2cbb-4376-97bb-e6ddfdcc27a0,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aegis At Temple Assisted Living,https://app.seniorplace.com/communities/show/74fd54ef-e9c9-4d4e-9f5e-73a5bf3c892e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Agape Assisted Living,https://app.seniorplace.com/communities/show/bf03b5c5-25d4-4f7f-beff-e020a5a2abb2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Agape Senior Living,https://app.seniorplace.com/communities/show/b436d227-afe4-4425-9ab3-6dfd240f3c1e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Agape Senior Living Of Scottsdale,https://app.seniorplace.com/communities/show/b1b6258e-a98d-4c5f-9328-8e403761d2d7,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Agape Terrace,https://app.seniorplace.com/communities/show/105521e6-db70-4034-8bc5-74d500eb8310,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Agave Hills,https://app.seniorplace.com/communities/show/d4e69696-670c-48f9-84d7-f6a99de4cce5,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ageless Angels Assisted Living 1,https://app.seniorplace.com/communities/show/c64e5bc2-ba0e-44ef-81fe-9c3411172b27,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aging Gracefully,https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ahadi Care Home,https://app.seniorplace.com/communities/show/222b4f8c-9dee-4c4c-babd-4225e1d99a55,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ahwatukee Comfort Care,https://app.seniorplace.com/communities/show/97f69d40-3882-40c6-a3ac-af282bcb25dd,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ahwatukee Manor Assisted Living,https://app.seniorplace.com/communities/show/742984c9-e721-4864-a81d-885a86f76e95,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ahwatukee Manor Assisted Living,https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aj Homecare,https://app.seniorplace.com/communities/show/bb541aed-63b0-4474-a454-37105b39d2ee,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Aksagar Assisted Living,https://app.seniorplace.com/communities/show/fed880bf-3208-439a-8ce8-833dd499186e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Al Glory Care Home,https://app.seniorplace.com/communities/show/19896984-c76b-4288-b256-e0d478a41b07,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alaga Residential Assisted Living,https://app.seniorplace.com/communities/show/b2fd9653-c269-4f0f-ba2f-ad9fd6ef1712,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alder Leaf Assisted Living,https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alder Leaf Assisted Living At Casltegate,https://app.seniorplace.com/communities/show/d382a368-56e9-425d-a130-a572b4efdd85,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alder Leaf At Summit Shadows,https://app.seniorplace.com/communities/show/e11c6baa-0117-4c4a-9e3d-c422b59daeba,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alert Adult Care,https://app.seniorplace.com/communities/show/4ea65196-0600-4b92-b70c-9b266de8e3f5,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,All American Care Home,https://app.seniorplace.com/communities/show/449706ed-3237-458a-b93e-e5d5278cea97,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,All Comforts Of Home,https://app.seniorplace.com/communities/show/e1662921-c869-40b2-b567-930dad2975d4,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,All Stars Assisted Living,https://app.seniorplace.com/communities/show/188a9d50-352f-49a5-b5d7-196e88dd620a,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,All Valley Assisted Living,https://app.seniorplace.com/communities/show/a3d0d1b8-42c2-4c2b-b0b1-f56e7ba39b7b,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,All Valley Home Care,https://app.seniorplace.com/communities/show/50e7ec68-00d5-4b1d-94f3-48a255646b8c,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Almas Home Care Assisted Living,https://app.seniorplace.com/communities/show/f5ae7c92-8ad0-4d3c-8321-f4b6da48a962,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alta Mesa Health And Rehabilitation,https://app.seniorplace.com/communities/show/46885dc2-46fc-45c4-9c19-e1f3efed2a5d,field_682fc481aaf60,"Assisted Living Community, Nursing Home","5, 7",a:2:{i:0;i:5;i:1;i:7;}
?,Alta Vista Senior Living Community,https://app.seniorplace.com/communities/show/2456fe26-5793-4ef5-a743-a902e978dfa2,field_682fc481aaf60,"Independent Living, Assisted Living Community, Memory Care","6, 5, 3",a:3:{i:0;i:6;i:1;i:5;i:2;i:3;}
?,Altercare Assisted Living,https://app.seniorplace.com/communities/show/c8e7dae6-7054-4a59-8620-6192ead33e5a,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Alys Senior Living,https://app.seniorplace.com/communities/show/ae6fe8b8-5402-43d9-b947-11e54b9264c0,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Am Drey,https://app.seniorplace.com/communities/show/0b7b1f0b-28aa-4166-b35b-ddc298fedabf,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Am Home Assisted Living,https://app.seniorplace.com/communities/show/599c40f4-841f-452a-992a-0f3a4a0ce73d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ama Vida Care Home,https://app.seniorplace.com/communities/show/f7e6b505-57d5-4792-9871-4640d7124d29,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amandas Care Home Ii,https://app.seniorplace.com/communities/show/54cf98d8-161a-4a71-bc5b-f516fe100e48,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amaryllis Assisted Living,https://app.seniorplace.com/communities/show/2315ae7f-4088-48d5-bbbe-d36d8d1f19ae,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amazing Care Assisted Living,https://app.seniorplace.com/communities/show/0ceb7764-1bbd-4767-baf1-9d6591d49f30,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amazing Care Home,https://app.seniorplace.com/communities/show/c0d6489b-4c57-4219-b8e7-6e2c95cdfef1,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amazing Comfort Care,https://app.seniorplace.com/communities/show/f9096540-9271-42e2-aff9-25d487d1a9f3,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amazing Comfort Homes,https://app.seniorplace.com/communities/show/1ba55b01-46bf-4390-8c4a-836c01f54698,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amazing Comfort Homes,https://app.seniorplace.com/communities/show/abff60fc-e8fd-45b7-98ac-21b3f767a7d2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amber Creek Memory Care Community,https://app.seniorplace.com/communities/show/4cc5f57f-aeaa-4f55-b0e8-e6cf1ea78921,field_682fc481aaf60,Memory Care,3,a:1:{i:0;i:3;}
?,Amberlin Arrowhead,https://app.seniorplace.com/communities/show/a98471ee-7ac4-4288-b961-680f46bae4a5,field_682fc481aaf60,Independent Living,6,a:1:{i:0;i:6;}
?,Ambiance Assisted Living,https://app.seniorplace.com/communities/show/57844476-fb96-4c34-9ea4-7875039d255f,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amenity Home Assisted Living,https://app.seniorplace.com/communities/show/95eab2c7-ecb4-4e25-9f23-c033e673f6c5,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,American Assisted Living,https://app.seniorplace.com/communities/show/6186d745-5f6e-48cf-ad6f-7f6d9a43fdd9,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,American Groves Senior Living Lp,https://app.seniorplace.com/communities/show/b64228c7-50cc-43de-8b34-a512bebab6ca,field_682fc481aaf60,"Independent Living, Assisted Living Community","6, 5",a:2:{i:0;i:6;i:1;i:5;}
?,American Orchards Senior Living,https://app.seniorplace.com/communities/show/e1d9eb3c-138e-4cdd-bd95-a434cda4f9ae,field_682fc481aaf60,"Assisted Living Community, Memory Care","5, 3",a:2:{i:0;i:5;i:1;i:3;}
?,Amiga 1 Assisted Living,https://app.seniorplace.com/communities/show/25b649cd-552a-4e09-87db-27f3e2835c31,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amiga 3 Assisted Living,https://app.seniorplace.com/communities/show/0faa2376-2ffb-47b3-b040-694e8f89a9f4,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amira Care,https://app.seniorplace.com/communities/show/d4d17cd8-d52e-4526-829b-8875ab961ffa,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amore Garden Assisted Living,https://app.seniorplace.com/communities/show/4c211638-9e7c-45d1-a9fe-cc079ff12b38,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Amore Villa Assisted Living,https://app.seniorplace.com/communities/show/f9c05331-4480-4730-b166-bef29373a381,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,An Enchanted Assisted Living,https://app.seniorplace.com/communities/show/160f1384-ad2f-41d1-8d93-e041babce6de,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Ana David Assisted Living,https://app.seniorplace.com/communities/show/88791829-157a-452a-9f24-bb1a490cf1fe,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Anas Haven Adult Home Care Ii,https://app.seniorplace.com/communities/show/07680a24-ebd8-4125-adcc-c6fe0d0b34da,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Anastasia Assisted Living,https://app.seniorplace.com/communities/show/34d87d1b-a1ec-406c-9dae-b1732c94a8c2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Andara Senior Living,https://app.seniorplace.com/communities/show/5479f5b2-f14c-4b5a-8e2f-96cda1294799,field_682fc481aaf60,"Independent Living, Assisted Living Community, Memory Care","6, 5, 3",a:3:{i:0;i:6;i:1;i:5;i:2;i:3;}
?,Anderson Springs Care Home,https://app.seniorplace.com/communities/show/c3e43444-0a74-445b-bbab-91276c695386,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angel Hands Home Care,https://app.seniorplace.com/communities/show/52ad4b0e-10df-446d-ba68-8d9e675d7f5e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angel Wings Assisted Living,https://app.seniorplace.com/communities/show/3a0be5d4-1e65-4990-8d4b-af63ad6e1640,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angel Wings Assisted Living,https://app.seniorplace.com/communities/show/d0df1fb4-66b2-453b-9450-e3a222789a0d,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angels Place Assisted Living,https://app.seniorplace.com/communities/show/1f9743a4-1eae-4fb4-9873-fe024a68aff5,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angels Real Home Care,https://app.seniorplace.com/communities/show/9b672238-56ad-423c-8242-bb8707758a05,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angels Senior Care,https://app.seniorplace.com/communities/show/866fe639-495c-4dfa-97eb-99194a9696ed,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angels Touch Care Home,https://app.seniorplace.com/communities/show/e80c0309-4f98-432c-b1ea-277225d9f702,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angelas Assisted Living Ii,https://app.seniorplace.com/communities/show/49fe88dd-09f0-40e3-9b75-3b7a639851bc,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Angelas Assisted Living Ii,https://app.seniorplace.com/communities/show/55f8a702-183e-437b-82d3-a9e5b495657e,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Anthem Senior Living,https://app.seniorplace.com/communities/show/de6a9d77-02fe-4ea7-9d51-1f1d30c9cef4,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Anthem Senior Manor,https://app.seniorplace.com/communities/show/2e23154a-3d1f-4961-bd46-6e9bcfc8af02,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Anziana Care Home,https://app.seniorplace.com/communities/show/98531088-5d99-4f6e-b334-a1befcac8d40,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Arabian Views Assisted Living,https://app.seniorplace.com/communities/show/b45ce3e6-022b-488a-b50c-ad17f00b51c2,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Arbor Ridge,https://app.seniorplace.com/communities/show/cd2fd2cb-9036-4d42-8b43-13728047d570,field_682fc481aaf60,Assisted Living Community,5,a:1:{i:0;i:5;}
?,Arbor Rose Senior Care,https://app.seniorplace.com/communities/show/6bd1d1e6-1ddf-4a8f-8cb3-549fd20ef4a3,field_682fc481aaf60,"Assisted Living Community, Memory Care","5, 3",a:2:{i:0;i:5;i:1;i:3;}
?,Arc Of Care,https://app.seniorplace.com/communities/show/bb79afdd-8620-4115-8d28-664a5d5ba9e9,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Arcadia Assisted Care Camelhead,https://app.seniorplace.com/communities/show/ad46d6f4-88f1-4ce9-836c-b580cd9484a6,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Arcadia Assisted Care Villa,https://app.seniorplace.com/communities/show/cd5db715-8665-4f57-acf6-154eeb16c256,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Arcadia Home Care,https://app.seniorplace.com/communities/show/14a8787d-3de2-404f-8d7f-3f3a233df9f3,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
?,Archangel Assisted Living Ii,https://app.seniorplace.com/communities/show/2afdb121-951b-4e29-993c-1317311318b3,field_682fc481aaf60,Assisted Living Home,162,a:1:{i:0;i:162;}
