ID,Title,WordPress_Type,Senior_Place_Types,Should_Be_Type,Corrected_Normalized_Types
,Ativo Senior Living Of Yuma,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Ativo Senior Living Prescott Valley,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Audreys Adult Care Home,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Aurora Place,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avanti Senior Living At Peoria,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Evergreen Village Assisted Living Prescott,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,Avista Senior Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Evergreen Senior Living,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Lake Havasu,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Payson,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Yuma,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Historic Downtown Mesa,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Sun City West Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Az Ohana Care Home 3,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Azalea Villa Assisted Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Barton House I,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Barton House Ii,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Barton House Ii,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Beatitudes Campus,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Assisted Living Community, Independent Living, Memory Care"
,Bee Hive Homes,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Arrowhead,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Beehive Homes Of Page Elk Rd,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Beehive Homes Of Sierra Vista,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Bella Vita Health And Rehabilitation Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Belmont Village Scottsdale,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Bethesda Gardens Phoenix,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Bridgewater Assisted Living,Assisted Living Community,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Bridgewater Assisted Living,Other/Unknown,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Bridgewater Assisted Livingmidtown,Assisted Living Community,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Bridgewater La Cholla Operations,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Broadway Proper Senior Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Brookdale Camino Del Sol,Memory Care,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Brookdale North Glendale,Memory Care,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Brookdale Santa Catalina,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Brookdale Tanque Verde,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Brookdale Tempe,Memory Care,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Brookdale Trail Ridge,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Brookdale Union Hills,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,By Your Side Assisted Living On Royal Palm,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Canyon Winds Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Carriage House On West Garden Lane,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Cave Creek Assisted Living And Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Cedar Care At Lagos Vistoso,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Cerbat Guest Home,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Chandler Post Acute And Rehabilitation,Other/Unknown,"Assisted Living Home, Nursing Home",Assisted Living Home,Assisted Living Home
,Chaparral Winds Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Christian Care Nursing Center,Other/Unknown,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Cimarron Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Claremont Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Clearwater Agritopia,Assisted Living Community,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Clearwater Ahwatukee,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Clearwater Mayo Blvd,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Clearwater Pinnacle Peak,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Davis Place Senior Living,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Dementia Campus Assisted Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Desert Jewel At Orange Tree,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Desert Marigold Senior Living Of Tempe,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Desert Palm At The Park,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Doctors Choice Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Elmer Place For Parents Simple Living Home Care,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Emerald Glen Memory Care Plus,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Everlasting Services At Estrella Centerbrain Injuries Only,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Faith Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Fellowship Square Christian Care Manor Iv,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Fellowship Square Historic Mesa,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Fellowship Square Phoenix,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Fellowship Squaremesa,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Fountain Assisted Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Fountain View Village,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Friendship Village Of Tempe,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community, Memory Care",Assisted Living Home,"Assisted Living Home, Assisted Living Community, Memory Care"
,Garden Ridge,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,Gardens At Ocotillo Senior Livingspectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Gardens Care Scottsdale Formally Truewood By Merrill Gardens,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Garnet Of Casa Grande Assisted Living Community,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Glassford Place Senior Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Glencroft Center For Modern Aging,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Golden Eagle Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Golden Touch Home Care,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grace Hospice And Palliative Care,Memory Care,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grand Court Of Mesa,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Granite Gate Senior Living,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Hacienda At The River,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Hacienda At The Canyon,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Hacienda Del Rey,Assisted Living Community,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Handmaker Home For The Aging,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Harvest At Queen Creek,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Haven Health Prescott Alf,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Haven Of Camp Verde,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Haven Of Show Low,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Haven Springs At North Phoenix,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Hawthorn Court At Ahwatukee,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heaven Care Residential,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heritage Lane Behavioral East,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heritage Lane Behavioral West,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heritage Legacy,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heritage Village Assisted Living,Other/Unknown,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Highgate Flagstaff,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Holbrook Senior Center Extended Care,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Holistic Home Paradise Cove,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Holmlund Assisted Living Suites At La Posada,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Honeymilk Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,House Of Prayer,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Huger Mercy Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Hummingbird Senior Resort Living,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Immanuel Campus Of Care,Independent Living,Continuing Care Retirement Community,Assisted Living Community,Assisted Living Community
,Inspirations Of River Center,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Inspirations Of Tempe,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Joy Care Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,June And Frank Sackton Assisted Living Apartments At Westminster Village,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,K T Homes,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Kopper Crest,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,La Sonora At Dove Mountain,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Lake House Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Lake View Terrace Memory Care Residence,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Las Palomas Senior Livingspectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Legacy House Avondale,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Legacy House Of Avondale,Other/Unknown,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Legacy House Of Mesa Legacy Retirement Residence,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Liberty Home Care Assisted Living One,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Lifestream At Youngtown,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Lifestream Complete Senior Living At Cook Health Care Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Loma Vista Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Maravilla Scottsdale,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Marigold At Redwood Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Maryland Gardens Post Acute,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Mayfair Edem Homes,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Mirabella At Asu,Other/Unknown,"Assisted Living Home, Continuing Care Retirement Community, Memory Care, Nursing Home",Assisted Living Home,"Assisted Living Home, Assisted Living Community, Memory Care"
,Morningstar At Arcadia,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Morningstar Of Fountain Hills,Independent Living,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Mountain Care Of Snowflake,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Mountain Care Of Snowflake,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Mountain Park Senior Livingspectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Mountain View Carehome,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Neighbors Assisted Living North,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Neighbors Assisted Living South,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Oakbrook Assisted Living,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Oasis At El Corral Assisted Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Obsidian Homes Ral,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Orchard Pointe At Surprise,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Orchard Pointe At Terrazza Operating,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Otilias Home Care,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Pacifica Senior Living Paradise Valley,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Pacifica Senior Living Peoria,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Palos Verdes Senior Livingspectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Park Senior Villas Chandler,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Park Senior Villas At Goodyear,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Parkland Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Pecan Care Concepts At American Orchards,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Powell Place,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Rainbow Acres,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Rally,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Reflections At Fellowship Square Mesa,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Ridges At Peoria,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,River Valley Estates,Other/Unknown,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Rock Creek Alzheimers Special Care Center,Memory Care,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Rose Court Senior Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Royal Oaks Assisted Living Center,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Rustic Ranch Formerly My Fathers Retirement Ranch,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Savanna House Assisted Living Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Sedona Winds Independent Living,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Sedona Winds Independent Living Community,Other/Unknown,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Senior Wellcare Home,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Senita Ridge,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Shadow Mountain Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Sherwood Village Assisted Living And Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Sierra Del Sol,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Silver Birch Of Avondale,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Silver Creek Inn Memory Care Community,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Silver Creek Leisure Living,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Silver Creek Leisure Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Solana At The Park Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Solterra Senior Living White Mountain,Independent Living,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Splendido At Rancho Vistoso,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Springdale Village Healthcare,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community, Independent Living",Assisted Living Home,"Assisted Living Home, Assisted Living Community, Independent Living"
,Summersett Haven,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Sun City Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Sun City West Assisted Living Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Sun Health Grandview Care Center,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Sun Health La Loma Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Sunridge Village Assisted Living And Memory Care,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Sunshine Village,Memory Care,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Suntown Assistance Home,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Terra Pointe Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Citadel Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Cottages Of Tucson,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Enclave At Anthem Senior Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,The Enclave At Anthem Senior Livingspectrum Retirement,Independent Living,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,The Enclave At Chandler Senior Living Spectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,The Enclave At Gilbert Senior Living Spectrum Retirement,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,The Forum At Desert Harbor,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,The Frontier House,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Gardens Of Sun City,Other/Unknown,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Gardens Of Sun City,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Groves Assisted Living And Memory Care,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,The Heritage At Carefree Senior Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Heritage Tradition,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,The Inn At Freedom Plaza Assisted Living And Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,The Inn At The Fountains,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Manors At Glencroft,Independent Living,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,The Oasis At Fellowship Square Tucson,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,The Palms At Sun City,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,The Peaks Health Rehabilitation,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,The Peaks A Senior Living Community,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Assisted Living Community, Independent Living, Memory Care"
,The Retreat At Alameda,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Towers At Glencroft,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Villa On Sweetwater 1,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Villas At Academy Village,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Villas At King Road Villa B Behavioral Health,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Villas At Wilmot Villa C,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Villas At Wilmot Villa D,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Watermark At Morrison Ranch,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
