ID,Title,type,normalized_types,correction_reason
,Brookdale Camino Del Sol,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Memory Care to Assisted Living Home
,Brookdale North Glendale,a:1:{i:0;i:162;},Assisted Living Home,Updated from Memory Care to Assisted Living Home
,Brookdale Santa Catalina,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Brookdale Tanque Verde,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Brookdale Tempe,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Memory Care to Assisted Living Home
,Brookdale Trail Ridge,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Brookdale Union Hills,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,By Your Side Assisted Living On Royal Palm,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Canyon Winds Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Carriage House On West Garden Lane,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Cave Creek Assisted Living And Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Cedar Care At Lagos Vistoso,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Cerbat Guest Home,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Chandler Post Acute And Rehabilitation,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Chaparral Winds Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Christian Care Nursing Center,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Other/Unknown to Assisted Living Home
,Cimarron Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Claremont Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Clearwater Agritopia,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Clearwater Ahwatukee,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Clearwater Mayo Blvd,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Clearwater Pinnacle Peak,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Davis Place Senior Living,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Dementia Campus Assisted Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Desert Jewel At Orange Tree,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Desert Marigold Senior Living Of Tempe,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Desert Palm At The Park,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Doctors Choice Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Elmer Place For Parents Simple Living Home Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Emerald Glen Memory Care Plus,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Everlasting Services At Estrella Centerbrain Injuries Only,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Faith Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Fellowship Square Christian Care Manor Iv,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Fellowship Square Historic Mesa,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Fellowship Square Phoenix,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Fellowship Squaremesa,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Fountain Assisted Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Fountain View Village,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Friendship Village Of Tempe,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Garden Ridge,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,Gardens At Ocotillo Senior Livingspectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Gardens Care Scottsdale Formally Truewood By Merrill Gardens,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Garnet Of Casa Grande Assisted Living Community,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Glassford Place Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Glencroft Center For Modern Aging,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Golden Eagle Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Golden Touch Home Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Grace Hospice And Palliative Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Memory Care to Assisted Living Home
,Grand Court Of Mesa,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Granite Gate Senior Living,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Hacienda At The River,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Hacienda At The Canyon,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Hacienda Del Rey,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Handmaker Home For The Aging,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Harvest At Queen Creek,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Haven Health Prescott Alf,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Haven Of Camp Verde,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Haven Of Show Low,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Haven Springs At North Phoenix,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Hawthorn Court At Ahwatukee,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Heaven Care Residential,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Heritage Lane Behavioral East,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Heritage Lane Behavioral West,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Heritage Legacy,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Heritage Village Assisted Living,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Highgate Flagstaff,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Holbrook Senior Center Extended Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Holistic Home Paradise Cove,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Holmlund Assisted Living Suites At La Posada,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Honeymilk Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,House Of Prayer,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Huger Mercy Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Hummingbird Senior Resort Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Immanuel Campus Of Care,a:1:{i:0;i:5;},Assisted Living Community,Updated from Independent Living to Assisted Living Community
,Inspirations Of River Center,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Inspirations Of Tempe,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Joy Care Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,June And Frank Sackton Assisted Living Apartments At Westminster Village,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,K T Homes,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Kopper Crest,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,La Sonora At Dove Mountain,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Lake House Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Lake View Terrace Memory Care Residence,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Las Palomas Senior Livingspectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Legacy House Avondale,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Legacy House Of Avondale,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Legacy House Of Mesa Legacy Retirement Residence,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Liberty Home Care Assisted Living One,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Lifestream At Youngtown,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Lifestream Complete Senior Living At Cook Health Care Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Loma Vista Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Maravilla Scottsdale,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Marigold At Redwood Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Maryland Gardens Post Acute,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Mayfair Edem Homes,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Mirabella At Asu,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Morningstar At Arcadia,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Morningstar Of Fountain Hills,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Independent Living to Assisted Living Home
,Mountain Care Of Snowflake,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Mountain Care Of Snowflake,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Mountain Park Senior Livingspectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Mountain View Carehome,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Neighbors Assisted Living North,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Neighbors Assisted Living South,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Oakbrook Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Oasis At El Corral Assisted Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Obsidian Homes Ral,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Orchard Pointe At Surprise,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Orchard Pointe At Terrazza Operating,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Otilias Home Care,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Pacifica Senior Living Paradise Valley,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Pacifica Senior Living Peoria,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Palos Verdes Senior Livingspectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Park Senior Villas Chandler,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Park Senior Villas At Goodyear,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Parkland Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Pecan Care Concepts At American Orchards,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Powell Place,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Rainbow Acres,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Rally,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Reflections At Fellowship Square Mesa,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Ridges At Peoria,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,River Valley Estates,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Rock Creek Alzheimers Special Care Center,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Memory Care to Assisted Living Home
,Rose Court Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Royal Oaks Assisted Living Center,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Rustic Ranch Formerly My Fathers Retirement Ranch,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Savanna House Assisted Living Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Sedona Winds Independent Living,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Sedona Winds Independent Living Community,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Other/Unknown to Assisted Living Home
,Senior Wellcare Home,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Senita Ridge,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Shadow Mountain Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Sherwood Village Assisted Living And Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Sierra Del Sol,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Silver Birch Of Avondale,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Silver Creek Inn Memory Care Community,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Silver Creek Leisure Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,Silver Creek Leisure Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Solana At The Park Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Solterra Senior Living White Mountain,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Independent Living to Assisted Living Home
,Splendido At Rancho Vistoso,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Springdale Village Healthcare,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community, Independent Living",Updated from Assisted Living Community to Assisted Living Home
,Summersett Haven,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Sun City Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Sun City West Assisted Living Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,Sun Health Grandview Care Center,a:1:{i:0;i:162;},"Assisted Living Home, Assisted Living Community",Updated from Assisted Living Community to Assisted Living Home
,Sun Health La Loma Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,Sunridge Village Assisted Living And Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,Sunshine Village,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Memory Care to Assisted Living Home
,Suntown Assistance Home,a:1:{i:0;i:162;},Assisted Living Home,Updated from Other/Unknown to Assisted Living Home
,Terra Pointe Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,The Citadel Assisted Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,The Cottages Of Tucson,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,The Enclave At Anthem Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,The Enclave At Anthem Senior Livingspectrum Retirement,a:1:{i:0;i:162;},Assisted Living Home,Updated from Independent Living to Assisted Living Home
,The Enclave At Chandler Senior Living Spectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,The Enclave At Gilbert Senior Living Spectrum Retirement,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,The Forum At Desert Harbor,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,The Frontier House,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,The Gardens Of Sun City,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Other/Unknown to Assisted Living Home
,The Gardens Of Sun City,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,The Groves Assisted Living And Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,The Heritage At Carefree Senior Living,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,The Heritage Tradition,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
,The Inn At Freedom Plaza Assisted Living And Memory Care,a:1:{i:0;i:162;},"Assisted Living Home, Memory Care",Updated from Assisted Living Community to Assisted Living Home
,The Inn At The Fountains,a:1:{i:0;i:162;},Assisted Living Home,Updated from Assisted Living Community to Assisted Living Home
,The Manors At Glencroft,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living, Memory Care",Updated from Independent Living to Assisted Living Home
,The Oasis At Fellowship Square Tucson,a:1:{i:0;i:162;},"Assisted Living Home, Independent Living",Updated from Independent Living to Assisted Living Home
