ID,Title,City,State,SeniorPlaceURL,SeniorlyURL,NormalizedTypes,NormalizedTypeIDs
,A Family Affair Alh,Phoenix,Arizona,https://app.seniorplace.com/communities/show/fe758b95-1762-4ee7-860a-3e39d8c2e31b,,,
,A Golden Retreat Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/dfc62f5b-99dc-4f54-a490-2c172c886c31,,Assisted Living Home,162
,A Loving Heart Assisted Living Ii,Surprise,Arizona,https://app.seniorplace.com/communities/show/79b9e3ea-dd46-4a96-8c40-d56b5537a541,,Assisted Living Home,162
,A Loving Heart Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/a9b0bcff-6667-42e4-b2bc-f5ce776a6598,,Assisted Living Home,162
,A Paradise For Parents Senior Living,Goodyear,Arizona,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,,Assisted Living Home,162
,A Paradise For Parents 2 Parents Paradise And Care,Surprise,Arizona,https://app.seniorplace.com/communities/show/c3ed2b0e-5eb0-4f94-be7a-f42b727fd49c,,,
,A Parents Paradise And Care,Surprise,Arizona,https://app.seniorplace.com/communities/show/7871b744-81a5-4561-8d1c-6f38223bfd3e,,Assisted Living Home,162
,A Place For Your Loved Ones,Surprise,Arizona,https://app.seniorplace.com/communities/show/62877d0e-ec7c-4345-bdf4-a4c6d13b999d,,Assisted Living Home,162
,A Place For Your Loved Ones Ii,Surprise,Arizona,https://app.seniorplace.com/communities/show/6a1b10c7-8b03-4ffe-b4e4-296c40152ed7,,Assisted Living Home,162
,A Place Of Joy Assisted Living,Mesa,Arizona,https://app.seniorplace.com/communities/show/defe37f6-86f6-462d-b045-b59dbafe2348,,Assisted Living Home,162
,A R D C Scottsdale Home,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/447dc5e4-11f3-4cc1-816d-db8a7511dce3,,Assisted Living Home,162
,A Special Place Care Home,Yuma,Arizona,https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc,,Assisted Living Home,162
,A Touch Of Excelence,Peoria,Arizona,https://app.seniorplace.com/communities/show/41b21cdc-1cfc-4014-9e21-df415b1d314f,,Assisted Living Home,162
,Az Assisted Livings,Gilbert,Arizona,https://app.seniorplace.com/communities/show/994ef61f-7c17-4214-a48f-cfe598796654,,Assisted Living Home,162
,Aa Love Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/9791d9d4-63ea-4071-82fe-06e8532ac7f2,,Assisted Living Home,162
,Abaca Health,Phoenix,Arizona,https://app.seniorplace.com/communities/show/d8035bed-53d6-4d93-a134-c62f185bb8cc,,Assisted Living Home,162
,Abc Independent Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/e13ea42e-d900-4a16-ab87-7b8c7a652a8b,,,
,Abes Touching Hearts Al,Glendale,Arizona,https://app.seniorplace.com/communities/show/299c3436-dd78-42e4-9c31-2274424deae8,,,
,Abella Manor Senior Care,Tucson,Arizona,https://app.seniorplace.com/communities/show/c179bbae-3902-4004-b4ae-a435261e86c7,,Assisted Living Home,162
,Aberdeen Home,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/656a6033-9869-46fa-9e10-f7ca5ae8989e,,,
,Abigails Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/c0a5a8e5-72e7-4fc4-be24-a47a869d5828,,Assisted Living Home,162
,Ability Assisted Living,Goodyear,Arizona,https://app.seniorplace.com/communities/show/93cf8152-9730-483d-af55-acf0827bb9b1,,Assisted Living Home,162
,About Seniors Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/09856a4c-b211-4881-90ed-93b4f66a92f2,,Assisted Living Home,162
,About Seniors Assisted Living Ii,Surprise,Arizona,https://app.seniorplace.com/communities/show/b2d7e413-7c46-461e-9ac4-2b68da37607e,,Assisted Living Home,162
,Absolute Best Care,Peoria,Arizona,https://app.seniorplace.com/communities/show/f3a08c27-8f26-4ff2-b936-5ddded216443,,Assisted Living Home,162
,Abuelitos Home,Chandler,Arizona,https://app.seniorplace.com/communities/show/e22d22bd-0a97-498a-85a4-6dd969f83132,,Assisted Living Home,162
,Abuelos At La Canada,Tucson,Arizona,https://app.seniorplace.com/communities/show/be6cf037-c8a1-44a4-8b82-b9af5be7ac48,,Assisted Living Home,162
,Abundant Life Alh Ii,Phoenix,Arizona,https://app.seniorplace.com/communities/show/e0c049fb-9680-4545-8cdd-549ba5b8ec38,,Assisted Living Home,162
,Abundant Life Assisted Living And Senior Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/1483110f-fdf6-4e67-a3f3-f94aa23c5ced,,Assisted Living Home,162
,Abundant Life Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/dd333016-f91e-4fd1-8ba9-75ba6e456d33,,Assisted Living Home,162
,Abundant Life Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/7edd7196-a43d-4d9f-bf66-053d3f8fa928,,Assisted Living Home,162
,Acacia Glen Home Care,Laveen Village,Arizona,https://app.seniorplace.com/communities/show/a817edde-1e14-4f58-b264-da7be0af211e,,Assisted Living Home,162
,Acacia Health Center,Phoenix,Arizona,https://app.seniorplace.com/communities/show/52fd1227-cc7c-4778-b852-187223b33c53,,"Assisted Living Community, Nursing Home","5, 7"
,Acacia Heights Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/f82a328e-1b47-41c0-b734-7ab7061a8c2d,,Assisted Living Home,162
,Ace Castles Assisted Living Llc Go To,Chandler,Arizona,https://app.seniorplace.com/communities/show/6d70071b-5319-4050-8637-f8754c282044,,Assisted Living Home,162
,Acoma Assisted Living,Glendale,Arizona,https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b,,Assisted Living Home,162
,Active Care Home Ii,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/1c3f7498-5d88-459f-ad4e-bbbf06e9e661,,Assisted Living Home,162
,Active Care Home Iii,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/eef24d5e-61fd-4376-b1a9-e2ebe42875dd,,Assisted Living Home,162
,Active Care Homes,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/51a0b607-43d8-4738-a783-5f2839b942f2,,Assisted Living Home,162
,Acuna At Morning Sun,San Tan Valley,Arizona,https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f,,Assisted Living Home,162
,Adagio Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/fac74a7b-5e8d-4792-9534-3c3d3006fbe7,,Assisted Living Home,162
,Adams House,Prescott Valley,Arizona,https://app.seniorplace.com/communities/show/f63298fe-3bc2-4a6c-ab98-6d12f046c80e,,Assisted Living Home,162
,Adobe Country Gables,Peoria,Arizona,https://app.seniorplace.com/communities/show/317e7d79-a75f-40f1-9b6e-b08b58a88d77,,Assisted Living Home,162
,Adora Assisted Living,Gilbert,Arizona,https://app.seniorplace.com/communities/show/75f71c56-0843-40d0-a040-9837a42f7c56,,Assisted Living Home,162
,Adrianas Roundtheclock,Glendale,Arizona,https://app.seniorplace.com/communities/show/ea4b6e80-3848-4b11-af7e-1e33ab9bf227,,Assisted Living Home,162
,Adriel Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/88ce6183-ec64-4b5a-bf1a-b17255700e45,,Assisted Living Home,162
,Advanced Care Alh,Phoenix,Arizona,https://app.seniorplace.com/communities/show/01dbd133-fd2f-438d-93de-6936852db4db,,Assisted Living Home,162
,Advantage Adult Health Care Ii,Surprise,Arizona,https://app.seniorplace.com/communities/show/2016bd06-daea-4af3-844c-535353fb527c,,Assisted Living Home,162
,Advantage Adult Healthcare,Surprise,Arizona,https://app.seniorplace.com/communities/show/e2e945c2-28ba-4fed-b569-093ef393bef0,,Assisted Living Home,162
,Advantage Home Care,Youngtown,Arizona,https://app.seniorplace.com/communities/show/887ba4e3-ae08-49c5-a4db-43d998279380,,Assisted Living Home,162
,Aegis At 38Th Place Assisted Living,Phoenix,Arizona,https://app.seniorplace.com/communities/show/146eb3f7-3149-4209-afef-d9969404e4b6,,Assisted Living Home,162
,Aegis At Cassia,Gilbert,Arizona,https://app.seniorplace.com/communities/show/31c686bc-1121-4788-9740-8e85da5708ba,,,
,Aegis At Cassia Assisted Living,Gilbert,Arizona,https://app.seniorplace.com/communities/show/b3d94209-3ecd-434b-9be4-0663e4635e56,,Assisted Living Home,162
,Aegis At Coconino Assisted Living,Phoenix,Arizona,https://app.seniorplace.com/communities/show/322d57da-a303-4750-a5d9-f262b4683cbf,,Assisted Living Home,162
,Aegis At Homestead Assisted Living,Chandler,Arizona,https://app.seniorplace.com/communities/show/add3307f-2cbb-4376-97bb-e6ddfdcc27a0,,Assisted Living Home,162
,Aegis At Temple Assisted Living,Gilbert,Arizona,https://app.seniorplace.com/communities/show/74fd54ef-e9c9-4d4e-9f5e-73a5bf3c892e,,Assisted Living Home,162
,Agape Assisted Living,Glendale,Arizona,https://app.seniorplace.com/communities/show/bf03b5c5-25d4-4f7f-beff-e020a5a2abb2,,Assisted Living Home,162
,Agape Senior Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/b436d227-afe4-4425-9ab3-6dfd240f3c1e,,Assisted Living Home,162
,Agape Senior Living Of Scottsdale,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/b1b6258e-a98d-4c5f-9328-8e403761d2d7,,Assisted Living Home,162
,Agape Terrace,Cornville,Arizona,https://app.seniorplace.com/communities/show/105521e6-db70-4034-8bc5-74d500eb8310,,Assisted Living Home,162
,Agave Hills,Tucson,Arizona,https://app.seniorplace.com/communities/show/d4e69696-670c-48f9-84d7-f6a99de4cce5,,Assisted Living Home,162
,Ageless Angels Assisted Living 1,Chandler,Arizona,https://app.seniorplace.com/communities/show/c64e5bc2-ba0e-44ef-81fe-9c3411172b27,,Assisted Living Home,162
,Aging Gracefully,Glendale,Arizona,https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347,,Assisted Living Home,162
,Ahadi Care Home,Gilbert,Arizona,https://app.seniorplace.com/communities/show/222b4f8c-9dee-4c4c-babd-4225e1d99a55,,Assisted Living Home,162
,Ahwatukee Comfort Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/97f69d40-3882-40c6-a3ac-af282bcb25dd,,Assisted Living Home,162
,Ahwatukee Manor Assisted Living,Phoenix,Arizona,https://app.seniorplace.com/communities/show/742984c9-e721-4864-a81d-885a86f76e95,,Assisted Living Home,162
,Ahwatukee Manor Assisted Living,Ahwatukee,Arizona,https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb,,Assisted Living Home,162
,Aj Homecare,Mesa,Arizona,https://app.seniorplace.com/communities/show/bb541aed-63b0-4474-a454-37105b39d2ee,,Assisted Living Home,162
,Aksagar Assisted Living,Kingman,Arizona,https://app.seniorplace.com/communities/show/fed880bf-3208-439a-8ce8-833dd499186e,,Assisted Living Home,162
,Al Glory Care Home,Tempe,Arizona,https://app.seniorplace.com/communities/show/19896984-c76b-4288-b256-e0d478a41b07,,Assisted Living Home,162
,Alder Leaf Assisted Living,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8,,Assisted Living Home,162
,Alder Leaf Assisted Living At Casltegate,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/d382a368-56e9-425d-a130-a572b4efdd85,,Assisted Living Home,162
,Alder Leaf At Summit Shadows,Mesa,Arizona,https://app.seniorplace.com/communities/show/e11c6baa-0117-4c4a-9e3d-c422b59daeba,,Assisted Living Home,162
,Alert Adult Care,Glendale,Arizona,https://app.seniorplace.com/communities/show/4ea65196-0600-4b92-b70c-9b266de8e3f5,,Assisted Living Home,162
,All American Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/449706ed-3237-458a-b93e-e5d5278cea97,,Assisted Living Home,162
,All Comforts Of Home,Tucson,Arizona,https://app.seniorplace.com/communities/show/e1662921-c869-40b2-b567-930dad2975d4,,Assisted Living Home,162
,All Stars Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/188a9d50-352f-49a5-b5d7-196e88dd620a,,Assisted Living Home,162
,All Valley Assisted Living,Avondale,Arizona,https://app.seniorplace.com/communities/show/a3d0d1b8-42c2-4c2b-b0b1-f56e7ba39b7b,,Assisted Living Home,162
,All Valley Home Care,Goodyear,Arizona,https://app.seniorplace.com/communities/show/50e7ec68-00d5-4b1d-94f3-48a255646b8c,,Assisted Living Home,162
,Almas Home Care Assisted Living,Tucson,Arizona,https://app.seniorplace.com/communities/show/f5ae7c92-8ad0-4d3c-8321-f4b6da48a962,,Assisted Living Home,162
,Alta Mesa Health And Rehabilitation,Mesa,Arizona,https://app.seniorplace.com/communities/show/46885dc2-46fc-45c4-9c19-e1f3efed2a5d,,"Assisted Living Community, Nursing Home","5, 7"
,Altercare Assisted Living,Mesa,Arizona,https://app.seniorplace.com/communities/show/c8e7dae6-7054-4a59-8620-6192ead33e5a,,Assisted Living Home,162
,Alys Senior Living,Phoenix,Arizona,https://app.seniorplace.com/communities/show/ae6fe8b8-5402-43d9-b947-11e54b9264c0,,Assisted Living Home,162
,Am Drey,Phoenix,Arizona,https://app.seniorplace.com/communities/show/0b7b1f0b-28aa-4166-b35b-ddc298fedabf,,Assisted Living Home,162
,Am Home Assisted Living,Gilbert,Arizona,https://app.seniorplace.com/communities/show/599c40f4-841f-452a-992a-0f3a4a0ce73d,,Assisted Living Home,162
,Ama Vida Care Home,San Tan Valley,Arizona,https://app.seniorplace.com/communities/show/f7e6b505-57d5-4792-9871-4640d7124d29,,Assisted Living Home,162
,Amandas Care Home Ii,Mesa,Arizona,https://app.seniorplace.com/communities/show/54cf98d8-161a-4a71-bc5b-f516fe100e48,,Assisted Living Home,162
,Amaryllis Assisted Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/2315ae7f-4088-48d5-bbbe-d36d8d1f19ae,,Assisted Living Home,162
,Amazing Care Assisted Living,Goodyear,Arizona,https://app.seniorplace.com/communities/show/0ceb7764-1bbd-4767-baf1-9d6591d49f30,,Assisted Living Home,162
,Amazing Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/c0d6489b-4c57-4219-b8e7-6e2c95cdfef1,,Assisted Living Home,162
,Amazing Comfort Care,Chandler,Arizona,https://app.seniorplace.com/communities/show/f9096540-9271-42e2-aff9-25d487d1a9f3,,Assisted Living Home,162
,Amazing Comfort Homes,Chandler,Arizona,https://app.seniorplace.com/communities/show/1ba55b01-46bf-4390-8c4a-836c01f54698,,Assisted Living Home,162
,Amazing Comfort Homes,Chandler,Arizona,https://app.seniorplace.com/communities/show/abff60fc-e8fd-45b7-98ac-21b3f767a7d2,,Assisted Living Home,162
,Amberlin Arrowhead,Glendale,Arizona,https://app.seniorplace.com/communities/show/a98471ee-7ac4-4288-b961-680f46bae4a5,,Independent Living,6
,Ambiance Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/57844476-fb96-4c34-9ea4-7875039d255f,,Assisted Living Home,162
,Amenity Home Assisted Living,Chandler,Arizona,https://app.seniorplace.com/communities/show/95eab2c7-ecb4-4e25-9f23-c033e673f6c5,,Assisted Living Home,162
,American Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/6186d745-5f6e-48cf-ad6f-7f6d9a43fdd9,,Assisted Living Home,162
,American Dream Home Ii,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/48602d15-be73-4199-9307-c618ecc82531,,,
,American Orchards Senior Living,Gilbert,Arizona,https://app.seniorplace.com/communities/show/e1d9eb3c-138e-4cdd-bd95-a434cda4f9ae,,"Assisted Living Community, Memory Care","5, 3"
,Amiga 1 Assisted Living,Phoenix,Arizona,https://app.seniorplace.com/communities/show/25b649cd-552a-4e09-87db-27f3e2835c31,,Assisted Living Home,162
,Amore Garden Assisted Living,Chandler,Arizona,https://app.seniorplace.com/communities/show/4c211638-9e7c-45d1-a9fe-cc079ff12b38,,Assisted Living Home,162
,Amore Villa Assisted Living,Chandler,Arizona,https://app.seniorplace.com/communities/show/f9c05331-4480-4730-b166-bef29373a381,,Assisted Living Home,162
,An Enchanted Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/160f1384-ad2f-41d1-8d93-e041babce6de,,Assisted Living Home,162
,Ana David Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/88791829-157a-452a-9f24-bb1a490cf1fe,,Assisted Living Home,162
,Anas Haven Adult Home Care Ii,Chandler,Arizona,https://app.seniorplace.com/communities/show/07680a24-ebd8-4125-adcc-c6fe0d0b34da,,Assisted Living Home,162
,Anastasia Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/34d87d1b-a1ec-406c-9dae-b1732c94a8c2,,Assisted Living Home,162
,Anderson Springs Care Home,Chandler,Arizona,https://app.seniorplace.com/communities/show/c3e43444-0a74-445b-bbab-91276c695386,,Assisted Living Home,162
,Angel Hands Home Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/52ad4b0e-10df-446d-ba68-8d9e675d7f5e,,Assisted Living Home,162
,Angel Wings Assisted Living,Vernon,Arizona,https://app.seniorplace.com/communities/show/3a0be5d4-1e65-4990-8d4b-af63ad6e1640,,Assisted Living Home,162
,Angel Wings Assisted Living,Vernon,Arizona,https://app.seniorplace.com/communities/show/d0df1fb4-66b2-453b-9450-e3a222789a0d,,Assisted Living Home,162
,Angels Place Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/1f9743a4-1eae-4fb4-9873-fe024a68aff5,,Assisted Living Home,162
,Angels Real Home Care,Surprise,Arizona,https://app.seniorplace.com/communities/show/9b672238-56ad-423c-8242-bb8707758a05,,Assisted Living Home,162
,Angels Senior Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/866fe639-495c-4dfa-97eb-99194a9696ed,,Assisted Living Home,162
,Angels Touch Care Home,Fort Mohave,Arizona,https://app.seniorplace.com/communities/show/e80c0309-4f98-432c-b1ea-277225d9f702,,Assisted Living Home,162
,Angelas Assisted Living Ii,Tucson,Arizona,https://app.seniorplace.com/communities/show/49fe88dd-09f0-40e3-9b75-3b7a639851bc,,Assisted Living Home,162
,Angelas Assisted Living Ii,Tucson,Arizona,https://app.seniorplace.com/communities/show/55f8a702-183e-437b-82d3-a9e5b495657e,,Assisted Living Home,162
,Angels Home Assisted Living Care,Tucson,Arizona,https://app.seniorplace.com/communities/show/46875072-11e7-40af-9a13-65948a02bc31,,,
,Angels On Duty Assisted Living,Prescott Valley,Arizona,https://app.seniorplace.com/communities/show/457c6d6c-3e0c-4f17-b86c-313e5048d403,,,
,Angels Paradise Care Home 2,Glendale,Arizona,https://app.seniorplace.com/communities/show/feb56323-3312-4115-bf7b-c80d74e98597,,,
,Angels R Us,Tucson,Arizona,https://app.seniorplace.com/communities/show/688475cd-a562-4678-b4d8-fade37c19067,,,
,Angels Wings Assisted Living,Chandler,Arizona,https://app.seniorplace.com/communities/show/d6b5dbcb-9de3-48db-890f-dbc6317377bd,,,
,Ani G Wellness Residency,Maricopa,Arizona,https://app.seniorplace.com/communities/show/7d206c37-a6a0-4945-b020-99a050a13dd7,,,
,Annas Angels Assisted Living,Glendale,Arizona,https://app.seniorplace.com/communities/show/90db9655-154a-485b-8fa3-ffdffcecbbfe,,,
,Annes Assisted Living,Maricopa,Arizona,https://app.seniorplace.com/communities/show/21aa939c-ef0c-46f6-985e-9c670b299c58,,,
,Annes Assisted Living,Maricopa,Arizona,https://app.seniorplace.com/communities/show/95ddd5ac-8e26-4803-b5c5-0a2a8bfbccee,,,
,Annies Care Home,Glendale,Arizona,https://app.seniorplace.com/communities/show/65035053-e6bb-42bc-ad95-1b7a53e51c48,,,
,Annies Loving Care,Glendale,Arizona,https://app.seniorplace.com/communities/show/aac7c70d-ac20-4618-923a-63b2b6faf17c,,,
,Anthem Senior Living,Anthem,Arizona,https://app.seniorplace.com/communities/show/de6a9d77-02fe-4ea7-9d51-1f1d30c9cef4,,Assisted Living Home,162
,Anthem Senior Manor,Anthem,Arizona,https://app.seniorplace.com/communities/show/2e23154a-3d1f-4961-bd46-6e9bcfc8af02,,Assisted Living Home,162
,Anziana Care Home,Phoenix,Arizona,https://app.seniorplace.com/communities/show/98531088-5d99-4f6e-b334-a1befcac8d40,,Assisted Living Home,162
,Arabian Views Assisted Living,Scottsdale,Arizona,https://app.seniorplace.com/communities/show/b45ce3e6-022b-488a-b50c-ad17f00b51c2,,Assisted Living Home,162
,Arbor Rose Senior Care,Mesa,Arizona,https://app.seniorplace.com/communities/show/6bd1d1e6-1ddf-4a8f-8cb3-549fd20ef4a3,,"Assisted Living Community, Memory Care","5, 3"
,Arc Of Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/bb79afdd-8620-4115-8d28-664a5d5ba9e9,,Assisted Living Home,162
,Arcadia Assisted Care Camelhead,Phoenix,Arizona,https://app.seniorplace.com/communities/show/ad46d6f4-88f1-4ce9-836c-b580cd9484a6,,Assisted Living Home,162
,Arcadia Assisted Care Villa,Phoenix,Arizona,https://app.seniorplace.com/communities/show/cd5db715-8665-4f57-acf6-154eeb16c256,,Assisted Living Home,162
,Arcadia Home Care,Phoenix,Arizona,https://app.seniorplace.com/communities/show/14a8787d-3de2-404f-8d7f-3f3a233df9f3,,Assisted Living Home,162
,Archangel Assisted Living Ii,Chandler,Arizona,https://app.seniorplace.com/communities/show/2afdb121-951b-4e29-993c-1317311318b3,,Assisted Living Home,162
,Arden Haven Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/f9055310-49ad-44ad-88c9-d41ed1ba8469,,Assisted Living Home,162
,Arden Haven Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/d44b14cb-44d1-42f6-82cb-8bbbbaf7307c,,Assisted Living Home,162
,Arden Valley Home Care,Gilbert,Arizona,https://app.seniorplace.com/communities/show/2277be2b-c5df-42f5-83b3-b23c65463cd5,,Assisted Living Home,162
,Arden Villa,Mesa,Arizona,https://app.seniorplace.com/communities/show/edebcb53-a1b1-4217-a91b-0efb68e80fca,,Assisted Living Home,162
,Arden Villa,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/153b87e6-0c6f-47ab-83ee-88fc07fe8a1f,,Assisted Living Home,162
,Arizona Adult Care Home,Surprise,Arizona,https://app.seniorplace.com/communities/show/09bd6c8a-0298-46e2-9980-7c239aa53282,,Assisted Living Home,162
,Arizona Assisted Living And Memory Care,Goodyear,Arizona,https://app.seniorplace.com/communities/show/c20d4797-fcc9-4851-85d1-840c798549f5,,Assisted Living Home,162
,Arizona Assisted Living,Tucson,Arizona,https://app.seniorplace.com/communities/show/6d870139-c74a-493e-a50b-ddcda0a0a862,,Assisted Living Home,162
,Arizona Assisted Living,Queen Creek,Arizona,https://app.seniorplace.com/communities/show/1e4934ed-11fc-43d1-bc4e-8af3e0bfbd62,,Assisted Living Home,162
,Arizona Best Care For Seniors,Glendale,Arizona,https://app.seniorplace.com/communities/show/a92c8bc9-0203-4d55-9894-e2707cab918c,,Assisted Living Home,162
,Arizona Blue Horizon Assisted Living,Surprise,Arizona,https://app.seniorplace.com/communities/show/df21833e-6a68-4c8d-bbc0-e66e51d79275,,Assisted Living Home,162
,Arizona Buttes Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/c6bccd44-706c-4467-9bd6-9a1308ca23e3,,Assisted Living Home,162
,Arizona Care,Surprise,Arizona,https://app.seniorplace.com/communities/show/41e77530-9f2c-401b-a96b-8fb9e8d41c5b,,Assisted Living Home,162
,Arizona Comfort Care,Surprise,Arizona,https://app.seniorplace.com/communities/show/9c5da28a-30a0-4e1a-8f25-9a90519c2b98,,Assisted Living Home,162
,Arizona Golden Life,Surprise,Arizona,https://app.seniorplace.com/communities/show/3b3d8f44-718f-4aef-89a3-cec819fb3b9c,,Assisted Living Home,162
,Arizona Premier Home Care,Goodyear,Arizona,https://app.seniorplace.com/communities/show/ffb65168-8aa2-46c4-8929-076998a27993,,Assisted Living Home,162
,Arizona Royal Ranch,Surprise,Arizona,https://app.seniorplace.com/communities/show/dcb212c7-f792-4e25-a27a-31cdc342f71b,,Assisted Living Home,162
,Arizona Senior Life,Phoenix,Arizona,https://app.seniorplace.com/communities/show/d1d15da3-949d-4773-a1c8-99383b7a72da,,Assisted Living Home,162
,Arizona Sun Assisted Living 1,Phoenix,Arizona,https://app.seniorplace.com/communities/show/215b5661-c40f-4054-a196-829f131c5efe,,Assisted Living Home,162
,Arizona Sun Assisted Living 2,Glendale,Arizona,https://app.seniorplace.com/communities/show/5abc6e01-09a4-4046-af48-a9909aaa866f,,Assisted Living Home,162
,Arizonas Best Assisted Living,Peoria,Arizona,https://app.seniorplace.com/communities/show/31e208f3-4d87-4ccf-af61-38c92b50d149,,Assisted Living Home,162
,Arizonas Golden Heart,Glendale,Arizona,https://app.seniorplace.com/communities/show/0250e20d-addb-43ec-8ad4-13bc28b00ac4,,Assisted Living Home,162
,Arizonas Golden Heart I,Glendale,Arizona,https://app.seniorplace.com/communities/show/54ef5873-a7b6-4cec-928d-3b000cdbde71,,Assisted Living Home,162
