ID,Title,before_types,after_types,status
6796,Adora Assisted Living,,,UNCHANGED
6797,Adrianas Roundtheclock,,,UNCHANGED
6798,Adriel Care Home,,,UNCHANGED
6799,Advanced Care Alh,,,UNCHANGED
6800,Advantage Adult Health Care Ii,,,UNCHANGED
6801,Advantage Adult Healthcare,,,UNCHANGED
6802,Advantage Home Care,,,UNCHANGED
6803,Aegis At 38Th Place Assisted Living,,,UNCHANGED
6804,Aegis At 38Th Place Assisted Living Ii,,,UNCHANGED
6805,Aegis At Cassia,,,UNCHANGED
6806,Aegis At Cassia Assisted Living,,,UNCHANGED
6807,Aegis At Coconino Assisted Living,,,UNCHANGED
6808,Aegis At Fairview Assisted Living,,,UNCHANGED
6809,Aegis At Homestead Assisted Living,,,UNCHANGED
6810,Aegis At Redwood Assisted Living,,,UNCHANGED
6811,Aegis At Temple Assisted Living,,,UNCHANGED
6812,Affirmative Care Home,,,UNCHANGED
6813,Agape Assisted Living,,,UNCHANGED
6814,Agape Care Home Of Scottsdale,,,UNCHANGED
6815,Agape Senior Living,,,UNCHANGED
6816,Agape Senior Living Of Scottsdale,,,UNCHANGED
6817,Agape Terrace,,,UNCHANGED
6818,Agave Assisted Living Ii,,,UNCHANGED
6819,Agave Care Home Of Scottsdale,,,UNCHANGED
6820,Agave Hills,,,UNCHANGED
6821,Agave Manor,,,UNCHANGED
6822,Ageless Angels Alh 2,,,UNCHANGED
6823,Ageless Angels Assisted Living 1,,,UNCHANGED
6824,Aging Gracefully,,,UNCHANGED
6825,Aguilera Assisted Living,,,UNCHANGED
6826,Ahadi Care Home,,,UNCHANGED
6827,Ahwatukee Adult Care Iii,,,UNCHANGED
6828,Ahwatukee Comfort Care,,,UNCHANGED
6829,Ahwatukee Manor Assisted Living,,,UNCHANGED
6830,Ahwatukee Manor Assisted Living,,,UNCHANGED
6831,Aj Homecare,,,UNCHANGED
6832,Aksagar Assisted Living,,,UNCHANGED
6833,Al Glory Care Home,,,UNCHANGED
6834,Alaga Residential Assisted Living,,,UNCHANGED
6835,Alder Leaf Assisted Living,,,UNCHANGED
6836,Alder Leaf Assisted Living At Casltegate,,,UNCHANGED
6837,Alder Leaf At Summit Shadows,,,UNCHANGED
6838,Alert Adult Care,,,UNCHANGED
6839,All American Care Home,,,UNCHANGED
6840,All Care Assisted,,,UNCHANGED
6841,All Comforts Of Home,,,UNCHANGED
6843,All Stars Assisted Living,,,UNCHANGED
6844,All Valley Assisted Living,,,UNCHANGED
6845,All Valley Home Care,,,UNCHANGED
6846,Allegiance Assisted Living,,,UNCHANGED
6847,Almas Home Care Assisted Living,,,UNCHANGED
6848,Aloha Assisted Living,,,UNCHANGED
6849,Aloha Assisted Living,,,UNCHANGED
6850,Alta Mesa Health And Rehabilitation,,,UNCHANGED
6851,Alta Vista Senior Living Community,,,UNCHANGED
6852,Altercare Assisted Living,,,UNCHANGED
6853,Alys Senior Living,,,UNCHANGED
6854,Am Drey,,,UNCHANGED
6855,Am Home Assisted Living,,,UNCHANGED
6856,Ama Vida Care Home,,,UNCHANGED
6857,Amandas Care Home,,,UNCHANGED
6858,Amandas Care Home Ii,,,UNCHANGED
6859,Amaryllis Assisted Living,,,UNCHANGED
6860,Amazing Care Assisted Living,,,UNCHANGED
6861,Amazing Care Home,,,UNCHANGED
6862,Amazing Comfort Care,,,UNCHANGED
6863,Amazing Comfort Homes,,,UNCHANGED
6864,Amazing Comfort Homes,,,UNCHANGED
6865,Amber Assisted Living,,,UNCHANGED
6866,Amber Creek Memory Care Community,,,UNCHANGED
6867,Amber Lights,,,UNCHANGED
6868,Amberlin Arrowhead,,,UNCHANGED
6869,Ambiance Al,,,UNCHANGED
6870,Ambiance Assisted Living,,,UNCHANGED
6871,Ambience Care Home,,,UNCHANGED
6872,Ambience Care Home 2,,,UNCHANGED
6873,Amenity Home Assisted Living,,,UNCHANGED
6874,American Assisted Living,,,UNCHANGED
6875,American Dream Home,,,UNCHANGED
6876,American Dream Home Ii,,,UNCHANGED
6877,American Groves Senior Living Lp,,,UNCHANGED
6878,American Orchards Senior Living,,,UNCHANGED
6879,Amiga 1 Assisted Living,,,UNCHANGED
6880,Amiga 3 Assisted Living,,,UNCHANGED
6881,Amira Care,,,UNCHANGED
6882,Amore Garden Assisted Living,,,UNCHANGED
6883,Amore Villa Assisted Living,,,UNCHANGED
6884,An Enchanted Assisted Living,,,UNCHANGED
6885,Ana David Assisted Living,,,UNCHANGED
6886,Anas Haven Adult Home Care Ii,,,UNCHANGED
6887,Anas Haven At Cedar,,,UNCHANGED
6888,Anastasia Assisted Living,,,UNCHANGED
6889,Andara Senior Living,,,UNCHANGED
6890,Anderson Springs Care Home,,,UNCHANGED
6891,Angel Care Home,,,UNCHANGED
6892,Angel Hands Home Care,,,UNCHANGED
6893,Angel Wings Assisted Living,,,UNCHANGED
6894,Angel Wings Assisted Living,,,UNCHANGED
6895,Angels Adult Group Home,,,UNCHANGED
6896,Angels Place Assisted Living,,,UNCHANGED
6897,Angels Real Home Care,,,UNCHANGED
6898,Angels Senior Care,,,UNCHANGED
6899,Angels Touch Care Home,,,UNCHANGED
6900,Angelas Assisted Living Ii,,,UNCHANGED
6901,Angelas Assisted Living Ii,,,UNCHANGED
6902,Angelic Heart Assisted Living,,,UNCHANGED
6903,Angels Assisted Living,,,UNCHANGED
6904,Angels Home Assisted Living Care,,,UNCHANGED
6905,Angels On Duty Assisted Living,,,UNCHANGED
6906,Angels Paradise Care Home 2,,,UNCHANGED
6907,Angels R Us,,,UNCHANGED
6908,Angels Wings Assisted Living,,,UNCHANGED
6909,Ani G Wellness Residency,,,UNCHANGED
6910,Annas Angels Assisted Living,,,UNCHANGED
6911,Annes Assisted Living,,,UNCHANGED
6912,Annes Assisted Living,,,UNCHANGED
6913,Annies Care Home,,,UNCHANGED
6914,Annies Loving Care,,,UNCHANGED
6915,Anthem Senior Living,,,UNCHANGED
6916,Anthem Senior Manor,,,UNCHANGED
6917,Anziana Care Home,,,UNCHANGED
6918,Apollo Residential Assisted Living,,,UNCHANGED
6919,Arabian Views Assisted Living,,,UNCHANGED
6920,Arbor Ridge,,,UNCHANGED
6921,Arbor Rose Senior Care,,,UNCHANGED
6922,Arc Of Care,,,UNCHANGED
6923,Arcadia Assisted Care,,,UNCHANGED
6924,Arcadia Assisted Care Camelhead,,,UNCHANGED
6925,Arcadia Assisted Care Villa,,,UNCHANGED
6926,Arcadia Grove Assisted Living,,,UNCHANGED
6927,Arcadia Home Care,,,UNCHANGED
6928,Arcadia Woods Assisted Living,,,UNCHANGED
6929,Archangel Assisted Living Ii,,,UNCHANGED
6930,Archangel Assisted Living,,,UNCHANGED
6931,Arden Haven Assisted Living,,,UNCHANGED
6932,Arden Haven Assisted Living,,,UNCHANGED
6933,Arden Valley Home Care,,,UNCHANGED
6934,Arden Villa,,,UNCHANGED
6935,Arden Villa,,,UNCHANGED
6936,Arizona Adult Care Home,,,UNCHANGED
6937,Arizona Assisted Living And Memory Care,,,UNCHANGED
6938,Arizona Assisted Living,,,UNCHANGED
6939,Arizona Assisted Living,,,UNCHANGED
6940,Arizona Best Care For Seniors,,,UNCHANGED
6941,Arizona Blue Horizon Assisted Living,,,UNCHANGED
6942,Arizona Buttes Assisted Living,,,UNCHANGED
6943,Arizona Care,,,UNCHANGED
6944,Arizona Comfort Care,,,UNCHANGED
6945,Arizona Desert Falls,,,UNCHANGED
6946,Arizona Elderly Care Alh,,,UNCHANGED
6947,Arizona Golden Life,,,UNCHANGED
6948,Arizona Pioneers Home,,,UNCHANGED
6949,Arizona Premier Adult Care Ii,,,UNCHANGED
6950,Arizona Premier Home Care,,,UNCHANGED
6951,Arizona Royal Care Home,,,UNCHANGED
6952,Arizona Royal Ranch,,,UNCHANGED
6953,Arizona Senior Life,,,UNCHANGED
6954,Arizona Sun Assisted Living 1,,,UNCHANGED
6955,Arizona Sun Assisted Living 2,,,UNCHANGED
6956,Arizona Sunset Assisted Living,,,UNCHANGED
6957,Arizonas Best Assisted Living,,,UNCHANGED
6958,Arizonas Golden Heart,,,UNCHANGED
6959,Arizonas Golden Heart I,,,UNCHANGED
6960,Arizuma Horizons Assisted Livings,,,UNCHANGED
6961,Ark Of Angel Assisted Living,,,UNCHANGED
6962,Ark Of Life Memory Care,,,UNCHANGED
6963,Ark Of Noah Care Home,,,UNCHANGED
6964,Armada Care Homes,,,UNCHANGED
6965,Armada Care Homes,,,UNCHANGED
6966,Arrowhead Senior Living,,,UNCHANGED
6967,Arrowhead Senior Living I I,,,UNCHANGED
6968,Arrowhead Senior Living Ii,,,UNCHANGED
6969,Arrowhead Shore Senior Living,,,UNCHANGED
6970,Arrowhead Sun Lakes A L H,,,UNCHANGED
6971,Arrowhead Symphony Assisted Living,,,UNCHANGED
6972,Arrowhead Valley Assisted Living,,,UNCHANGED
6973,Arrowhead Valley Retirement Resort,,,UNCHANGED
6974,Arrowhead Village Adult Homecare,,,UNCHANGED
6975,Arroyo Gardens Independent And Assisted Living,,,UNCHANGED
6976,Asante Adult Care Home,,,UNCHANGED
6977,Ashbrook Home Care,,,UNCHANGED
6978,Ashlee Care,,,UNCHANGED
6979,Ashton Gardens Assisted Living,,,UNCHANGED
6980,Aslan Adult Care Home,,,UNCHANGED
6981,Aslan Assisted Living,,,UNCHANGED
6982,Asov Borrower,,,UNCHANGED
6983,Aspen Assisted Living,,,UNCHANGED
6984,Aspen Care Assisted Living,,,UNCHANGED
6985,Aspire Senior Care,,,UNCHANGED
6986,Assisted Living Amber Hills,,,UNCHANGED
6987,Assisted Living At Bloomfield Manor,,,UNCHANGED
6988,Assisted Living At Mountain Vista,,,UNCHANGED
6989,Assisted Living At The Phoenician,,,UNCHANGED
6990,Assisted Living At The Woodridge,,,UNCHANGED
6991,Assisted Living By Sholt,,,UNCHANGED
6992,Assisted Livings At Lifestream,,,UNCHANGED
6993,Assisted Living Of Mesa,,,UNCHANGED
6994,Assisted Living Of Paradise Valley,,,UNCHANGED
6995,Assisted Living Of Scottsdale,,,UNCHANGED
6996,Assisted Living Of Scottsdale Ii,,,UNCHANGED
6997,Assisted Senior Living Care,,,UNCHANGED
6998,Asterion Acres,,,UNCHANGED
6999,Asterion Acres,,,UNCHANGED
7000,Astoria Az Assisted Living,,,UNCHANGED
7001,Astoria Manor,,,UNCHANGED
7002,At Danas Loving Care Assisted Living,,,UNCHANGED
7003,At Home At Central,,,UNCHANGED
7004,At Home Cholla,,,UNCHANGED
7005,At Home In Scottsdale,,,UNCHANGED
7006,At Sugis Assisted Living,,,UNCHANGED
7007,Athome Senior Care Services,,,UNCHANGED
7008,Ativo Senior Living Of Yuma,,,UNCHANGED
7009,Ativo Senior Living Prescott Valley,,,UNCHANGED
7010,Atria Bell Court Gardens,,,UNCHANGED
7011,Atria Campana Del Rio,,,UNCHANGED
7012,Atria Chandler Villas,,,UNCHANGED
7013,Atria Park Of Sierra Pointe,,,UNCHANGED
7014,Atria Vista De La Montana,,,UNCHANGED
7015,Atrium Assisted Living,,,UNCHANGED
7016,Audreys Adult Care Home,,,UNCHANGED
7017,Audreys Adult Care Home I,,,UNCHANGED
7018,Audreys Adult Care Home,,,UNCHANGED
7019,Aurora Place,,,UNCHANGED
7020,Auroras Assisted Living,,,UNCHANGED
7021,Autumn House,,,UNCHANGED
7022,Avalon Cares Of Arizona,,,UNCHANGED
7023,Avalon Estates Assisted Living,,,UNCHANGED
7024,Avana Assisted Living,,,UNCHANGED
7025,Avanti Senior Living At Peoria,,,UNCHANGED
7026,Avella Assisted Living,,,UNCHANGED
7027,Avista Evergreen Village Assisted Living Prescott,,,UNCHANGED
7028,Avista Senior Living,,,UNCHANGED
7029,Avista Senior Living Apache Junction,,,UNCHANGED
7030,Avista Senior Living Evergreen Senior Living,,,UNCHANGED
7031,Avista Senior Living Lake Havasu,,,UNCHANGED
7032,Avista Senior Living Payson,,,UNCHANGED
7033,Avista Senior Living North Mountain,,,UNCHANGED
7034,Avista Senior Living Yuma,,,UNCHANGED
7035,Avista Senior Living Historic Downtown Mesa,,,UNCHANGED
7036,Avista Sun City West Memory Care,,,UNCHANGED
7037,Avondale Assisted Living,,,UNCHANGED
7038,Az Assisted Living Memory Care,,,UNCHANGED
7039,Az Happy Valley Royal Care Home,,,UNCHANGED
7040,Az Joyful Living,,,UNCHANGED
7041,Az Life Assisted Living Ii,,,UNCHANGED
7042,Az Life Assisted Living,,,UNCHANGED
7043,Az Lotus Valley Assisted Living,,,UNCHANGED
7044,Az Ohana Care Home,,,UNCHANGED
7045,Az Ohana Care Home 2,,,UNCHANGED
7046,Az Ohana Care Home 3,,,UNCHANGED
7047,Az Senior Living Management,,,UNCHANGED
7048,Az Tender Loving Care Home,,,UNCHANGED
7049,Azalea Assisted Living,,,UNCHANGED
7050,Azalea Bloom,,,UNCHANGED
7051,Azalea Blossoms,,,UNCHANGED
7052,Azalea Home,,,UNCHANGED
7053,Azalea Villa Assisted Living Center,,,UNCHANGED
7054,Azure Care Home,,,UNCHANGED
7055,B H Adult Care Home,,,UNCHANGED
7056,B And H Adult Care Home,,,UNCHANGED
7057,Bs D Home Care,,,UNCHANGED
7058,Bailee Assisted Living,,,UNCHANGED
7059,Baraka At Rosegarden Assisted Living,,,UNCHANGED
7060,Baraka At Rosegardens Ii Assisted Living,,,UNCHANGED
7061,Barton House I,,,UNCHANGED
7062,Barton House Ii,,,UNCHANGED
7063,Barton House Ii,,,UNCHANGED
7064,Be Loved Assisted Living,,,UNCHANGED
7065,Beatitudes Campus,,,UNCHANGED
7066,Beautiful Haven Assisted Living,,,UNCHANGED
7067,Beautiful Minds Assisted Living,,,UNCHANGED
7068,Bee Hive Homes,,,UNCHANGED
7069,Bee Hive Homes Of Arrowhead,,,UNCHANGED
7070,Beehive Homes Of Gilbert,,,UNCHANGED
7071,Beehive Homes Of Marana,,,UNCHANGED
7072,Beehive Homes Of Page Grandview,,,UNCHANGED
7073,Beehive Homes Of Page Elk Rd,,,UNCHANGED
7074,Beehive Homes Of Sierra Vista,,,UNCHANGED
7075,Bell Adult Care Home,,,UNCHANGED
7076,Bella Amore Assisted Living,,,UNCHANGED
7077,Bella Vista Assisted Living,,,UNCHANGED
7078,Bella Vista Senior Living,,,UNCHANGED
7079,Bella Vita Assisted Living,,,UNCHANGED
7080,Bella Vita Health And Rehabilitation Center,,,UNCHANGED
7081,Bella Vita Residential Assisted Living Llc Las Palmaritas Dr,,,UNCHANGED
7082,Bella Vita Residential Assisted Living Llc On Cholla St,,,UNCHANGED
7083,Bellas Care Home,,,UNCHANGED
7084,Bellaire Assisted Living,,,UNCHANGED
7085,Belmont Assisted Living,,,UNCHANGED
7086,Belmont Senior Living,,,UNCHANGED
7087,Belmont Village Scottsdale,,,UNCHANGED
7088,Beloved Care Home,,,UNCHANGED
7089,Benzen Healing Hands,,,UNCHANGED
7090,Berean Loving Home Care,,,UNCHANGED
7091,Bes Assisted Living,,,UNCHANGED
7092,Best Assisted Living Of Surprise,,,UNCHANGED
7093,Best Care Assisted Living,,,UNCHANGED
7094,Best Care Home Of Moon Valley,,,UNCHANGED
7095,Best Care Home Of Moon Valley,,,UNCHANGED
7096,Best Choice 2 Assisted Living,,,UNCHANGED
7097,Best Elderly Care,,,UNCHANGED
7098,Best Home Care Of Surprise,,,UNCHANGED
7099,Best Of Europe Adult Home Care,,,UNCHANGED
7100,Best Of Heart,,,UNCHANGED
7101,Betania Care Home,,,UNCHANGED
7102,Bethesda Gardens Phoenix,,,UNCHANGED
7103,Bethesda,,,UNCHANGED
7104,Better Life Assisted Living 2,,,UNCHANGED
7105,Better Life Assisted Living,,,UNCHANGED
7106,Better Living Carehome,,,UNCHANGED
7107,Better Living Home Ii,,,UNCHANGED
7108,Better Living Home,,,UNCHANGED
7109,Better Senior Carehome,,,UNCHANGED
7110,Beverly Assisted Living,,,UNCHANGED
7111,Beverly Assisted Living I,,,UNCHANGED
7112,Big Heart Angels Care Home,,,UNCHANGED
7113,Biltmore Assisted Living,,,UNCHANGED
7114,Biltmore Care Home,,,UNCHANGED
7115,Blessed Assisted Living,,,UNCHANGED
7116,Blessed Assisted Living Llc Mesa,,,UNCHANGED
7117,Blissful Assisted Living,,,UNCHANGED
7118,Blissful Living Home,,,UNCHANGED
7119,Bloomfield House,,,UNCHANGED
7120,Blooming Meadows,,,UNCHANGED
7121,Blossom Valley Assisted Living,,,UNCHANGED
7122,Blue Horizons Assisted Living,,,UNCHANGED
7123,Blue Iris Assisted Living Gh,,,UNCHANGED
7124,Blue Lakes Assisted Living,,,UNCHANGED
7125,Blue Royale Assisted Living,,,UNCHANGED
7126,Blue Royale Assisted Living,,,UNCHANGED
7127,Blue Sky At Vista,,,UNCHANGED
7128,Blue Sky Hospice,,,UNCHANGED
7129,Blue Sky Manor,,,UNCHANGED
7130,Boston Manor 1,,,UNCHANGED
7131,Boswell Assisted Living,,,UNCHANGED
7132,Bradford Home Llc The,,,UNCHANGED
7133,Brain Injury Residential Care,,,UNCHANGED
7134,Bransie Tlc Home,,,UNCHANGED
7135,Bridgewater Assisted Living,,,UNCHANGED
7136,Bridgewater Assisted Living,,,UNCHANGED
7137,Bridgewater Assisted Livingmidtown,,,UNCHANGED
7138,Bridgewater La Cholla Operations,,,UNCHANGED
7139,Bright Valley Group Home At Elliot Groves,,,UNCHANGED
7140,Bright Valley Grouphome,,,UNCHANGED
7141,Brightest Light Senior Living,,,UNCHANGED
7142,Bringhealinghome Personal Care,,,UNCHANGED
7143,Broadway Mesa Village,,,UNCHANGED
7144,Broadway Proper Senior Living,,,UNCHANGED
7145,Brookdale Apache Junction,,,UNCHANGED
7146,Brookdale Arrowhead Ranch,,,UNCHANGED
7147,Brookdale Baywood,,,UNCHANGED
7148,Brookdale Camino Del Sol,,,UNCHANGED
7149,Brookdale Central Chandler,,,UNCHANGED
7150,Brookdale Central Paradise Valley,,,UNCHANGED
7151,Brookdale Chandler Ray Road,,,UNCHANGED
7152,Brookdale Chandler Regional,,,UNCHANGED
7153,Brookdale Desert Ridge,,,UNCHANGED
7154,Brookdale East Arbor,,,UNCHANGED
7155,Brookdale East Mesa,,,UNCHANGED
7156,Brookdale East Tucson,,,UNCHANGED
7157,Brookdale Flagstaff,,,UNCHANGED
7158,Brookdale North Gilbert,,,UNCHANGED
7159,Brookdale North Glendale,,,UNCHANGED
7160,Brookdale North Mesa,,,UNCHANGED
7161,Brookdale North Scottsdale,,,UNCHANGED
7162,Brookdale North Tucson,,,UNCHANGED
7163,Brookdale Oro Valley Alzheimers Dementia Care,,,UNCHANGED
7164,Brookdale Peoria,,,UNCHANGED
7165,Brookdale Santa Catalina,,,UNCHANGED
7166,Brookdale Springs Mesa,,,UNCHANGED
7167,Brookdale Tanque Verde,,,UNCHANGED
7168,Brookdale Tempe,,,UNCHANGED
7169,Brookdale Trail Ridge,,,UNCHANGED
7170,Brookdale Union Hills,,,UNCHANGED
7171,Brookhaven Assisted Living,,,UNCHANGED
7172,Brookhaven On 131St Place,,,UNCHANGED
7173,Brookings,,,UNCHANGED
7174,By Your Side Assisted Living,,,UNCHANGED
7175,By Your Side Assisted Living On Royal Palm,,,UNCHANGED
7176,Cactus Corridor Assisted Living,,,UNCHANGED
7177,Cactus Star 1 Assisted Living,,,UNCHANGED
7178,Cactus Villa,,,UNCHANGED
7179,Cactusstar Assisted Living,,,UNCHANGED
7180,Cadence Chandler,,,UNCHANGED
7181,Caissa Assisted Living,,,UNCHANGED
7182,Caissa Assisted Living,,,UNCHANGED
7183,Caissa Assisted Living,,,UNCHANGED
7184,Caissa Assisted Living Incorporated,,,UNCHANGED
7185,Caliche Senior Living,,,UNCHANGED
7186,Calinis Alos I I,,,UNCHANGED
7187,Calinis Assisted,,,UNCHANGED
7188,Callinis Assisted Living,,,UNCHANGED
7189,Camelback Residential Assisted Living,,,UNCHANGED
7190,Cami Assisted Living,,,UNCHANGED
7191,Cami Senior Living,,,UNCHANGED
7192,Camino De Oro Senior Living,,,UNCHANGED
7193,Canyon Assisted Living,,,UNCHANGED
7194,Canyon Creek Assisted Living Memory Care,,,UNCHANGED
7195,Canyon Valley Memory Care Residence,,,UNCHANGED
7196,Canyon View By Platinum Care Homes,,,UNCHANGED
7197,Canyon Winds Retirement,,,UNCHANGED
7198,Captain Corner,,,UNCHANGED
7199,Cardinal Assisted Living,,,UNCHANGED
7200,Care First Group Home,,,UNCHANGED
7201,Care Haven 1 Trejo,,,UNCHANGED
7202,Care Haven Trejo,,,UNCHANGED
7203,Care More Assisted Living,,,UNCHANGED
7204,Care R Us Carehome,,,UNCHANGED
7205,Care With Compassion Assisted Living,,,UNCHANGED
7206,Carefree Assisted Living,,,UNCHANGED
7207,Carefree Assisted Living Center,,,UNCHANGED
7208,Carefree Height Assisted Living,,,UNCHANGED
7209,Carefree Manor Assisted Living,,,UNCHANGED
7210,Caremeridian,,,UNCHANGED
7211,Caring Angels Assisted Living,,,UNCHANGED
7212,Caring Angels Residential For Elderly Ii,,,UNCHANGED
7213,Caring For Generations Corner,,,UNCHANGED
7214,Caring For Generations Corner,,,UNCHANGED
7215,Caring For Generations,,,UNCHANGED
7216,Caring For Generations,,,UNCHANGED
7217,Caring For Loved Ones,,,UNCHANGED
7218,Caring For Loved Ones,,,UNCHANGED
7219,Caring For Loved Ones,,,UNCHANGED
7220,Caring Hands Comfort Assisted Living,,,UNCHANGED
7221,Caring Hearts Assisted Care Home Phoenix,,,UNCHANGED
7222,Caring Hearts Assisted Living,,,UNCHANGED
7223,Caring Hearts Assisted Living,,,UNCHANGED
7224,Caring Hearts Phoenix,,,UNCHANGED
7225,Caring Hearts Senior Care,,,UNCHANGED
7226,Caring Touch Assisted Living,,,UNCHANGED
7227,Carmens Senior Care Home,,,UNCHANGED
7228,Carriage House On West Garden Lane,,,UNCHANGED
7229,Casa Buena Assisted Living,,,UNCHANGED
7230,Casa Buenavante,,,UNCHANGED
7231,Casa Companion Homecare,,,UNCHANGED
7232,Casa De Angeles Assisted Living,,,UNCHANGED
7233,Casa De Buena Vida,,,UNCHANGED
7234,Casa De Los Abuelos Dos,,,UNCHANGED
7235,Casa De Sonshine Assisted Living,,,UNCHANGED
7236,Casa De Vida Living,,,UNCHANGED
7237,Casa De Vida Living,,,UNCHANGED
7238,Casa Del Rey Assisted Living Care Home,,,UNCHANGED
7239,Casa Grande Assisted Living,,,UNCHANGED
7240,Casa Leticia,,,UNCHANGED
7241,Casa Theresita Iii,,,UNCHANGED
7242,Casas Adobes Assisted Living,,,UNCHANGED
7243,Casas Chapala,,,UNCHANGED
7244,Cascades Of Tucson,,,UNCHANGED
7245,Catalina Post Acute And Rehabilitation,,,UNCHANGED
7246,Catalina Springs Memory Care,,,UNCHANGED
7247,Catarinas Care Home,,,UNCHANGED
7248,Cave Creek Assisted Living And Memory Care,,,UNCHANGED
7249,Caveo Assisted Living,,,UNCHANGED
7250,Caveo Too Premier Assisted Living,,,UNCHANGED
7251,Ccs Adult Care,,,UNCHANGED
7252,Ccc Bb,,,UNCHANGED
7253,Ccc Bb Llc Carehome,,,UNCHANGED
7254,Cedar Care Assisted Living,,,UNCHANGED
7255,Cedar Care At Lagos Vistoso,,,UNCHANGED
7256,Cedar Pastures,,,UNCHANGED
7257,Central Assisted Living,,,UNCHANGED
7258,Central Scottsdale Assisted Living,,,UNCHANGED
7259,Cerbat Guest Home,,,UNCHANGED
7260,Cesca Adult Care Home,,,UNCHANGED
7261,Cest Lavie Home,,,UNCHANGED
7262,Chandler Post Acute And Rehabilitation,,,UNCHANGED
7263,Chaparral Home Care,,,UNCHANGED
7264,Chaparral Winds Assisted Living,,,UNCHANGED
7265,Chaparral Winds Independent Living Community,,,UNCHANGED
7266,Charles Residential Care,,,UNCHANGED
7267,Charles Residential Care Llc Iii,,,UNCHANGED
7268,Chateau Arcadia,,,UNCHANGED
