title,description,address,city,state,price,type,featured_image,photos,amenities,url,website,import_date,import_source,status
Golden Age V,,"3301 Sharon Avenue, Modesto, Ca 95355",Modesto,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/63fc080277814c946509c8fc18f6f2d4.jpg,,,https://app.seniorplace.com/communities/show/bc060bfa-edc1-4e21-a2b8-684ced4623d0,https://app.seniorplace.com/communities/show/bc060bfa-edc1-4e21-a2b8-684ced4623d0,2025-01-18,SeniorPlace Retry,publish
Grace Home Ii,,"9260 Loma Lane, Orangevale, Ca 95662",Orangevale,CA,,Assisted Living Community,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c9853423d47acaac8a57dd704cc38efb.jpg,,,https://app.seniorplace.com/communities/show/bec64915-f50c-458a-b3ee-5cfc7a061c4f,https://app.seniorplace.com/communities/show/bec64915-f50c-458a-b3ee-5cfc7a061c4f,2025-01-18,SeniorPlace Retry,publish
Heroes Wellness House,,"534 West 51St Street, Los Angeles, Ca 90037",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b5e9c477f6d999bd7feb047a5b135e39.jpg,,,https://app.seniorplace.com/communities/show/27293b42-fbfb-4baf-917f-c03f78d8cb66,https://app.seniorplace.com/communities/show/27293b42-fbfb-4baf-917f-c03f78d8cb66,2025-01-18,SeniorPlace Retry,publish
Heron Residential Care,,"14107 Herron Street, Los Angeles, Ca 91342",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/2d22d23bfdae70bfe274babd9483757e.jpg,,,https://app.seniorplace.com/communities/show/6451cb22-2d6e-4140-8666-c5de3a60b9a6,https://app.seniorplace.com/communities/show/6451cb22-2d6e-4140-8666-c5de3a60b9a6,2025-01-18,SeniorPlace Retry,publish
Hesperia Senior Care,,"17583 Sultana Street, Hesperia, Ca 92345",Hesperia,CA,,Assisted Living Community,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a8916d033adf21ba304aa74578b2b0bd.jpg,,,https://app.seniorplace.com/communities/show/8b65c640-3f2b-4a70-be1d-9b298e4a8c7e,https://app.seniorplace.com/communities/show/8b65c640-3f2b-4a70-be1d-9b298e4a8c7e,2025-01-18,SeniorPlace Retry,publish
Heta Finau,,"7804 Jana Marie Court, Citrus Heights, Ca 95610",Citrus Heights,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0affa2d068ded5e9539ef11d102cd665.jpg,,,https://app.seniorplace.com/communities/show/07799cc6-2ecf-4a34-a362-0a01ad6568fb,https://app.seniorplace.com/communities/show/07799cc6-2ecf-4a34-a362-0a01ad6568fb,2025-01-18,SeniorPlace Retry,publish
Heyday Senior Living Of Costa Mesa,,"2750 Lorenzo Avenue, Costa Mesa, Ca 92626",Costa Mesa,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d3e55cc4a818f51620a6f7d9a35d42db.jpg,,,https://app.seniorplace.com/communities/show/e8f75a4f-2c69-4159-84f7-dcfad24d34d1,https://app.seniorplace.com/communities/show/e8f75a4f-2c69-4159-84f7-dcfad24d34d1,2025-01-18,SeniorPlace Retry,publish
Hi Hopes,,"2016 West 165Th Street, Torrance, Ca 90504",Torrance,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/94b8b8f734672c66a6faaa39a4f6ad65.jpg,,,https://app.seniorplace.com/communities/show/67dbfffe-70e5-48ab-aaf2-7865ecb0d11c,https://app.seniorplace.com/communities/show/67dbfffe-70e5-48ab-aaf2-7865ecb0d11c,2025-01-18,SeniorPlace Retry,publish
Casa Sahagun Nuestro Refugio,,"14136 Bronte Drive, Whittier, Ca 90602",Whittier,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/07d5c409aacddb808379ca981c36f7d2.jpg,,,https://app.seniorplace.com/communities/show/2abc809b-0865-40fb-b0b4-6cc7cccce6ee,https://app.seniorplace.com/communities/show/2abc809b-0865-40fb-b0b4-6cc7cccce6ee,2025-01-18,SeniorPlace Retry,publish
Hidden Meadows Residential Home Care,,"27806 Dogwood Glen, Escondido, Ca 92026",Escondido,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/dcafa93c64c933b1c927733d45078cdb.jpg,,,https://app.seniorplace.com/communities/show/82504fd0-0240-4317-b383-b98c5158b56c,https://app.seniorplace.com/communities/show/82504fd0-0240-4317-b383-b98c5158b56c,2025-01-18,SeniorPlace Retry,publish
Casa Salisbury,,"264 Salisbury Avenue, Goleta, Ca 93117",Goleta,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3e5d60fc51ea47b5631c8a09ec0bb5db.jpg,,,https://app.seniorplace.com/communities/show/43aa12fc-b0af-44dc-ba37-d374064c4b7d,https://app.seniorplace.com/communities/show/43aa12fc-b0af-44dc-ba37-d374064c4b7d,2025-01-18,SeniorPlace Retry,publish
Hidden Treasures Residential I,,"924 Tipton Lane, Patterson, Ca 95363",Patterson,CA,,Assisted Living Home,,,,https://app.seniorplace.com/communities/show/f2dd325c-6ee7-4f8e-b7e4-b0c42015cf1c,https://app.seniorplace.com/communities/show/f2dd325c-6ee7-4f8e-b7e4-b0c42015cf1c,2025-01-18,SeniorPlace Retry,publish
Casa San Lorenzo,,"171 Via Linares, San Lorenzo, Ca 94580",San Lorenzo,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/945ab337560931ff71cf15af8f4188cb.jpg,,,https://app.seniorplace.com/communities/show/6a800513-fee3-468d-99b2-b41197862be5,https://app.seniorplace.com/communities/show/6a800513-fee3-468d-99b2-b41197862be5,2025-01-18,SeniorPlace Retry,publish
Casa San Miguel,,"1403 San Miguel Avenue, Santa Barbara, Ca 93109",Santa Barbara,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4b1990fd806e9b924c526339694a00e7.jpg,,,https://app.seniorplace.com/communities/show/243dedfa-e7ca-4040-8609-b7b706d3e422,https://app.seniorplace.com/communities/show/243dedfa-e7ca-4040-8609-b7b706d3e422,2025-01-18,SeniorPlace Retry,publish
Cathedral Manor,,"31222 El Toro Road, Cathedral City, Ca 92234",Cathedral City,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/44adb1a23c8e25124a2ddd5d3d94d67d.jpg,,,https://app.seniorplace.com/communities/show/37733f5e-023e-4d2c-b810-d8aeabc5a272,https://app.seniorplace.com/communities/show/37733f5e-023e-4d2c-b810-d8aeabc5a272,2025-01-18,SeniorPlace Retry,publish
Hilary Patterson Family Care Home,,"5060 Truscott Court, Diamond Springs, Ca 95619",Diamond Springs,CA,,Assisted Living Home,,,,https://app.seniorplace.com/communities/show/17b5d115-fbb0-42c2-83c7-6e88b849e4a2,https://app.seniorplace.com/communities/show/17b5d115-fbb0-42c2-83c7-6e88b849e4a2,2025-01-18,SeniorPlace Retry,publish
Catheleen Rchi Ii Dba Catheleen Rch I,,"1191 Janmarie Court, San Jose, Ca 95121",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/4e8ed490e5febd3d8548e54f2483a856.jpg,,,https://app.seniorplace.com/communities/show/9f0e3707-6985-4cdc-a801-0bb3c6934659,https://app.seniorplace.com/communities/show/9f0e3707-6985-4cdc-a801-0bb3c6934659,2025-01-18,SeniorPlace Retry,publish
Hilda Assisted Living,,"17179 San Jose Street, Los Angeles, Ca 91344",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bed27dfc59f904b1cf130ff24bfd14fd.jpg,,,https://app.seniorplace.com/communities/show/81ac2395-ce1e-4ae0-99f6-643aa7420db6,https://app.seniorplace.com/communities/show/81ac2395-ce1e-4ae0-99f6-643aa7420db6,2025-01-18,SeniorPlace Retry,publish
Hilda Assisted Living Ii,,"17183 San Jose Street, Granada Hills, Ca 91344",Granada Hills,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0e313b5bad7b31c3d250c6534f17f861.jpg,,,https://app.seniorplace.com/communities/show/2db2b26a-6d7d-477e-bd41-a1d06f24e055,https://app.seniorplace.com/communities/show/2db2b26a-6d7d-477e-bd41-a1d06f24e055,2025-01-18,SeniorPlace Retry,publish
Catheleen Res Care Homeiii,,"1551 Princeton Drive, San Jose, Ca 95118",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/34d8852601177373ef71d8ce22bd6d2c.jpg,,,https://app.seniorplace.com/communities/show/9adb877d-79e8-46ca-b1ef-1844d76495bb,https://app.seniorplace.com/communities/show/9adb877d-79e8-46ca-b1ef-1844d76495bb,2025-01-18,SeniorPlace Retry,publish
Catherines Homes Inc Jefferson Ave,,"518 South Jefferson Avenue, Fullerton, Ca 92832",Fullerton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f82ae098763a450924bae880f6f84505.jpg,,,https://app.seniorplace.com/communities/show/5d96d981-fabb-4f72-bea7-eb28d2c4377b,https://app.seniorplace.com/communities/show/5d96d981-fabb-4f72-bea7-eb28d2c4377b,2025-01-18,SeniorPlace Retry,publish
Catherines Homes Inc Roosevelt,,"500 South Roosevelt Avenue, Fullerton, Ca 92832",Fullerton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6f6c385d7cbeef0e4995204db309c53d.jpg,,,https://app.seniorplace.com/communities/show/bfeddf1c-ac30-4044-bd90-f67ab9484e60,https://app.seniorplace.com/communities/show/bfeddf1c-ac30-4044-bd90-f67ab9484e60,2025-01-18,SeniorPlace Retry,publish
Catherines Homes Inc534 West Ave,,"West Avenue, Fullerton, Ca 92833",Fullerton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9549ce1f1e36437c3b2c37f9d61e2447.jpg,,,https://app.seniorplace.com/communities/show/efb4236a-cce6-4b66-95e0-97542e744784,https://app.seniorplace.com/communities/show/efb4236a-cce6-4b66-95e0-97542e744784,2025-01-18,SeniorPlace Retry,publish
Catherines Residential Care Home,,"700 West Elm Avenue, Fullerton, Ca 92832",Fullerton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/527de2ad8c52c57c356cdd2f65630118.jpg,,,https://app.seniorplace.com/communities/show/3d01c8ca-f65f-49f0-a31a-b6d6b64c6fa6,https://app.seniorplace.com/communities/show/3d01c8ca-f65f-49f0-a31a-b6d6b64c6fa6,2025-01-18,SeniorPlace Retry,publish
Hilea Home,,"14032 Olema Road, Apple Valley, Ca 92307",Apple Valley,CA,,Assisted Living Home,,,,https://app.seniorplace.com/communities/show/340a57dc-021e-4b2b-bbb6-a2a8512ef578,https://app.seniorplace.com/communities/show/340a57dc-021e-4b2b-bbb6-a2a8512ef578,2025-01-18,SeniorPlace Retry,publish
Catherines Residential Care Home,,"700 West Avenue, Fullerton, Ca 92832",Fullerton,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/751a8d00fc4ee7dd965224f910b688da.jpg,,,https://app.seniorplace.com/communities/show/ab7f5017-2735-4e73-a072-50fe21d90c29,https://app.seniorplace.com/communities/show/ab7f5017-2735-4e73-a072-50fe21d90c29,2025-01-18,SeniorPlace Retry,publish
Hill Manor Elderly Care,,"13021 Hewes Avenue, Santa Ana, Ca 92705",Santa Ana,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/47f1dca1404dca9ccf68cf363d77b330.jpg,,,https://app.seniorplace.com/communities/show/5282a24f-4442-46ad-987d-afee8c840882,https://app.seniorplace.com/communities/show/5282a24f-4442-46ad-987d-afee8c840882,2025-01-18,SeniorPlace Retry,publish
Central Home,,"862 Central Boulevard, Hayward, Ca 94542",Hayward,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8260c0edac23b24e1e07b6c840f83bfe.jpg,,,https://app.seniorplace.com/communities/show/c93c7004-a966-4dc2-805c-1cf6b8989961,https://app.seniorplace.com/communities/show/c93c7004-a966-4dc2-805c-1cf6b8989961,2025-01-18,SeniorPlace Retry,publish
Holistic Care For Seniors,,"9525 Soaring Oaks Drive, Elk Grove, Ca 95758",Elk Grove,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/717d276bb4ee351da431b60ae06ee9fd.jpg,,,https://app.seniorplace.com/communities/show/c5047f08-103d-416d-8caa-1477a29e94fb,https://app.seniorplace.com/communities/show/c5047f08-103d-416d-8caa-1477a29e94fb,2025-01-18,SeniorPlace Retry,publish
Central Valley Residential Care,,"6727 Shaver Drive, Bakersfield, Ca 93313",Bakersfield,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c83d32e28d111cc836f43c4b2de91211.jpg,,,https://app.seniorplace.com/communities/show/1dc4b41d-f419-4907-9a5f-c52968920e3d,https://app.seniorplace.com/communities/show/1dc4b41d-f419-4907-9a5f-c52968920e3d,2025-01-18,SeniorPlace Retry,publish
Centro,,"2315 Santa Anita Avenue, Altadena, Ca 91001",Altadena,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5b5ce47feb8f1401a8df5c236cb5c186.jpg,,,https://app.seniorplace.com/communities/show/15f65320-1cf4-4bfc-96d0-92071c5c0324,https://app.seniorplace.com/communities/show/15f65320-1cf4-4bfc-96d0-92071c5c0324,2025-01-18,SeniorPlace Retry,publish
Centurion Residential Care,,"303 Ardilla Avenue, La Puente, Ca 91746",La Puente,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/9007357628764367327e46d186e30931.jpg,,,https://app.seniorplace.com/communities/show/176bcd78-9b52-4f2e-a6e7-67fc6846bf91,https://app.seniorplace.com/communities/show/176bcd78-9b52-4f2e-a6e7-67fc6846bf91,2025-01-18,SeniorPlace Retry,publish
Centurion Way Assisted Living,,"21949 Scallion Drive, Santa Clarita, Ca 91350",Santa Clarita,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/003b6ec2e5299be383d387dc080e6571.jpg,,,https://app.seniorplace.com/communities/show/44160efa-7b99-46dc-bb8f-370771dd2e30,https://app.seniorplace.com/communities/show/44160efa-7b99-46dc-bb8f-370771dd2e30,2025-01-18,SeniorPlace Retry,publish
Hollenbeck Palms,,"573 South Boyle Avenue, Los Angeles, Ca 90033",Los Angeles,CA,,Assisted Living Community,,,,https://app.seniorplace.com/communities/show/7aba2d3d-ef9e-4c19-909e-b7a33450883b,https://app.seniorplace.com/communities/show/7aba2d3d-ef9e-4c19-909e-b7a33450883b,2025-01-18,SeniorPlace Retry,publish
Century Care Home,,"5725 Century Way, Fair Oaks, Ca 95628",Fair Oaks,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5e16a9735629111f2cd3a77882d7e13d.jpg,,,https://app.seniorplace.com/communities/show/c27c172b-2e94-4410-aba4-660a3991a10d,https://app.seniorplace.com/communities/show/c27c172b-2e94-4410-aba4-660a3991a10d,2025-01-18,SeniorPlace Retry,publish
Century Guest Home The,,"14332 Holt Avenue, Santa Ana, Ca 92705",Santa Ana,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b5aa262bad3307c86d595e9a8d08551e.jpg,,,https://app.seniorplace.com/communities/show/fb655522-27d7-4e2e-a542-c644d9317eff,https://app.seniorplace.com/communities/show/fb655522-27d7-4e2e-a542-c644d9317eff,2025-01-18,SeniorPlace Retry,publish
Hollinsworth Care Home,,"4125 51St Street, Sacramento, Ca 95820",Sacramento,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d177e52dfac907cf9995ebbea9d93bb0.jpg,,,https://app.seniorplace.com/communities/show/40bf435b-25d4-48b9-80f3-63cf1a3e4943,https://app.seniorplace.com/communities/show/40bf435b-25d4-48b9-80f3-63cf1a3e4943,2025-01-18,SeniorPlace Retry,publish
Hollister Care Home,,"3734 Hollister Avenue, Carmichael, Ca 95608",Carmichael,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/04815af1338e5d110b9483fee1c9a2ef.jpg,,,https://app.seniorplace.com/communities/show/3e873b03-906b-4843-be8a-1ac297c7de94,https://app.seniorplace.com/communities/show/3e873b03-906b-4843-be8a-1ac297c7de94,2025-01-18,SeniorPlace Retry,publish
Cerise Guest Home,,"22525 Cerise Avenue, Torrance, Ca 90505",Torrance,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a20b4b64e222ac181b3179484fd9530d.jpg,,,https://app.seniorplace.com/communities/show/1cf2f5e6-d0de-4ab8-b33b-b1a82e2e179f,https://app.seniorplace.com/communities/show/1cf2f5e6-d0de-4ab8-b33b-b1a82e2e179f,2025-01-18,SeniorPlace Retry,publish
Cerritos Board And Care,,"18016 Stowers Avenue, Cerritos, Ca 90703",Cerritos,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6cf4115d6c673e1f6f0e66b0b13cb669.jpg,,,https://app.seniorplace.com/communities/show/aa83df88-7695-4da4-9d48-f0279e7b5ea8,https://app.seniorplace.com/communities/show/aa83df88-7695-4da4-9d48-f0279e7b5ea8,2025-01-18,SeniorPlace Retry,publish
Holly Land Care Home,,"2044 Holly Avenue, Ontario, Ca 91762",Ontario,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5e29313452f13fc2b89f53de3656d808.jpg,,,https://app.seniorplace.com/communities/show/368cdfea-0397-4886-b8e2-98503e0ae463,https://app.seniorplace.com/communities/show/368cdfea-0397-4886-b8e2-98503e0ae463,2025-01-18,SeniorPlace Retry,publish
Cerritos Christian Home,,"12033 Camino Valencia, Cerritos, Ca 90703",Cerritos,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f70bbb29611d76716bcd7b94e527dabc.jpg,,,https://app.seniorplace.com/communities/show/86a8f7fb-3cc9-43cd-bb34-8dcdd4bbb466,https://app.seniorplace.com/communities/show/86a8f7fb-3cc9-43cd-bb34-8dcdd4bbb466,2025-01-18,SeniorPlace Retry,publish
Hollys Care Home,,"531 Canton Drive, San Jose, Ca 95123",San Jose,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/ff441c87dc41a25caa8859a1ebee2fe3.jpg,,,https://app.seniorplace.com/communities/show/a569bea1-e9a6-4357-a116-64077cbde105,https://app.seniorplace.com/communities/show/a569bea1-e9a6-4357-a116-64077cbde105,2025-01-18,SeniorPlace Retry,publish
Cerritos Residence Care,,"20111 Gridley Road, Cerritos, Ca 90703",Cerritos,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/249a8e90f2fd55bb2b654f10e32fad13.jpg,,,https://app.seniorplace.com/communities/show/9122aa94-dd92-4e86-a4ce-7ee76bab5891,https://app.seniorplace.com/communities/show/9122aa94-dd92-4e86-a4ce-7ee76bab5891,2025-01-18,SeniorPlace Retry,publish
Cerritos Villa 1,,"16231 Drycreek Lane, Cerritos, Ca 90703",Cerritos,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/3f78b2b3ebaaa6080b495a820c087c2a.jpg,,,https://app.seniorplace.com/communities/show/652fed77-6a1d-42a9-8e02-26b1a5aade84,https://app.seniorplace.com/communities/show/652fed77-6a1d-42a9-8e02-26b1a5aade84,2025-01-18,SeniorPlace Retry,publish
Hollywood Healthy Living,,"8002 Hollywood Way, Los Angeles, Ca 91352",Los Angeles,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0efbe29c12c1342cf5e05ac67ed9c5aa.jpg,,,https://app.seniorplace.com/communities/show/ff8ba5c0-13a6-4521-9d9e-33337af82fbd,https://app.seniorplace.com/communities/show/ff8ba5c0-13a6-4521-9d9e-33337af82fbd,2025-01-18,SeniorPlace Retry,publish
Hollywood Hills Senior Living,,"1745 North Gramercy Place, Los Angeles, Ca 90028",Los Angeles,CA,,Assisted Living Community,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/0a225e9811cfc8716861a6cb8086d0fb.jpg,,,https://app.seniorplace.com/communities/show/261df0c2-305a-4b9f-8e25-c2c59c05fd23,https://app.seniorplace.com/communities/show/261df0c2-305a-4b9f-8e25-c2c59c05fd23,2025-01-18,SeniorPlace Retry,publish
Hollywood Rcfe,,"2495 Vallecito Way, Antioch, Ca 94531",Antioch,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bdc58734a6cf39be77bf2afc747fcc91.jpg,,,https://app.seniorplace.com/communities/show/95faf86b-3880-4eaa-b919-f1ea7b8d3820,https://app.seniorplace.com/communities/show/95faf86b-3880-4eaa-b919-f1ea7b8d3820,2025-01-18,SeniorPlace Retry,publish
Cfp Home Care,,"8632 Bennington Street, San Diego, Ca 92126",San Diego,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/65a816feb86baeda52f348d4764500c5.jpg,,,https://app.seniorplace.com/communities/show/e59b5d69-049b-4976-9f65-53f427369183,https://app.seniorplace.com/communities/show/e59b5d69-049b-4976-9f65-53f427369183,2025-01-18,SeniorPlace Retry,publish
Hollywood Royale Garden Assisted Living,,"6054 Franklin Avenue, Los Angeles, Ca 90028",Los Angeles,CA,,Assisted Living Community,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/84be0e15b36ad0715274036a008ceb4b.jpg,,,https://app.seniorplace.com/communities/show/cdd807d6-d314-465c-822a-cae081a26840,https://app.seniorplace.com/communities/show/cdd807d6-d314-465c-822a-cae081a26840,2025-01-18,SeniorPlace Retry,publish
Cg House,,"224 Cottage Grove Avenue, Santa Barbara, Ca 93101",Santa Barbara,CA,,Assisted Living Home,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/78ed49a062b7aa5c8002305a8c00fe35.jpg,,,https://app.seniorplace.com/communities/show/3c7fbcd3-c614-4fe3-aa25-9f0fd7db4800,https://app.seniorplace.com/communities/show/3c7fbcd3-c614-4fe3-aa25-9f0fd7db4800,2025-01-18,SeniorPlace Retry,publish
