ID,Title,RawType,Normalized,Unknown,Status,SeniorPlaceURL,SeniorlyURL
,A Family Affair Alh,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/fe758b95-1762-4ee7-860a-3e39d8c2e31b,
,A Golden Retreat Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/dfc62f5b-99dc-4f54-a490-2c172c886c31,
,A Happy Place Adult Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc
,A Loving Heart Assisted Living Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/79b9e3ea-dd46-4a96-8c40-d56b5537a541,
,A Loving Heart Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/a9b0bcff-6667-42e4-b2bc-f5ce776a6598,
,A Paradise For Parents Senior Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,
,A Paradise For Parents Senior Living,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc
,A Paradise For Parents 2 Parents Paradise And Care,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/c3ed2b0e-5eb0-4f94-be7a-f42b727fd49c,
,A Parents Paradise And Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/7871b744-81a5-4561-8d1c-6f38223bfd3e,
,A Parents Paradise,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc
,A Place For Your Loved Ones,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/62877d0e-ec7c-4345-bdf4-a4c6d13b999d,
,A Place For Your Loved Ones Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/6a1b10c7-8b03-4ffe-b4e4-296c40152ed7,
,A Place In The Sun,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun
,A Place Of Joy Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/defe37f6-86f6-462d-b045-b59dbafe2348,
,A R D C Scottsdale Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/447dc5e4-11f3-4cc1-816d-db8a7511dce3,
,A Special Place Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc,
,A Tender Touch Assisted Living Ii,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/a-tender-touch-assisted-living-home-ii
,A Touch Of Elegance Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc
,A Touch Of Excelence,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/41b21cdc-1cfc-4014-9e21-df415b1d314f,
,Az Assisted Livings,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/994ef61f-7c17-4214-a48f-cfe598796654,
,Aa Love Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/9791d9d4-63ea-4071-82fe-06e8532ac7f2,
,Abaca Health,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/d8035bed-53d6-4d93-a134-c62f185bb8cc,
,Abbington Senior Living,a:3:{i:0;i:162;i:1;i:6;i:2;i:3;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Independent Living, Memory Care","0, 2, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/ce566b55-5be7-415a-a2d5-fdd81f26bcde,
,Abc Independent Living,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e13ea42e-d900-4a16-ab87-7b8c7a652a8b,
,Abes Touching Hearts Al,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/299c3436-dd78-42e4-9c31-2274424deae8,
,Abella Manor Senior Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/c179bbae-3902-4004-b4ae-a435261e86c7,
,Abellavida Memory Care,a:2:{i:0;i:162;i:1;i:3;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Memory Care","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care
,Aberdeen Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/656a6033-9869-46fa-9e10-f7ca5ae8989e,
,Abigails Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/c0a5a8e5-72e7-4fc4-be24-a47a869d5828,
,Ability Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/93cf8152-9730-483d-af55-acf0827bb9b1,
,About Seniors Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/09856a4c-b211-4881-90ed-93b4f66a92f2,
,About Seniors Assisted Living Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b2d7e413-7c46-461e-9ac4-2b68da37607e,
,Abracadabra Assisted Living 2,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2
,Absolute Assisted Living Adult Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home
,Absolute Best Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/f3a08c27-8f26-4ff2-b936-5ddded216443,
,Abuelitos Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e22d22bd-0a97-498a-85a4-6dd969f83132,
,Abuelos At Edgewood Place,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/tucson/abuelos-at-edgewood-place
,Abuelos At La Canada,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/be6cf037-c8a1-44a4-8b82-b9af5be7ac48,
,Abundant Life Alh Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e0c049fb-9680-4545-8cdd-549ba5b8ec38,
,Abundant Life Assisted Living And Senior Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/1483110f-fdf6-4e67-a3f3-f94aa23c5ced,
,Abundant Life Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/dd333016-f91e-4fd1-8ba9-75ba6e456d33,
,Abundant Life Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/7edd7196-a43d-4d9f-bf66-053d3f8fa928,
,Acacia Cove Assisted Living,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/glendale/acacia-cove-assisted-living
,Acacia Glen Home Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/a817edde-1e14-4f58-b264-da7be0af211e,
,Acacia Health Center,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/52fd1227-cc7c-4778-b852-187223b33c53,
,Acacia Heights Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/f82a328e-1b47-41c0-b734-7ab7061a8c2d,
,Ace Castles Assisted Living Llc Go To,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/6d70071b-5319-4050-8637-f8754c282044,
,Acoma Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b,
,Acoya Mesa,a:3:{i:0;i:162;i:1;i:6;i:2;i:3;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Independent Living, Memory Care","0, 2, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa
,Acoya Scottsdale At Troon,a:2:{i:0;i:162;i:1;i:6;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Independent Living","0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/5d327349-5bcc-472c-9be3-ee5ee8cedf3f,
,Acoya Shea,a:3:{i:0;i:162;i:1;i:6;i:2;i:3;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Independent Living, Memory Care","0, 2, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/bd140ecf-f482-46a3-9097-dda13dc37447,
,Active Care Home Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/1c3f7498-5d88-459f-ad4e-bbbf06e9e661,
,Active Care Home Iii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/eef24d5e-61fd-4376-b1a9-e2ebe42875dd,
,Active Care Homes,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/51a0b607-43d8-4738-a783-5f2839b942f2,
,Acuna At Morning Sun,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f,
,Adagio Alh,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/adagio-alh
,Adagio Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/fac74a7b-5e8d-4792-9534-3c3d3006fbe7,
,Adams House,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/f63298fe-3bc2-4a6c-ab98-6d12f046c80e,
,Adobe Adult Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/tucson/adobe-adult-care-home
,Adobe Country Gables,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/317e7d79-a75f-40f1-9b6e-b08b58a88d77,
,Adora Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/75f71c56-0843-40d0-a040-9837a42f7c56,
,Adrianas Roundtheclock,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/ea4b6e80-3848-4b11-af7e-1e33ab9bf227,
,Adriel Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/88ce6183-ec64-4b5a-bf1a-b17255700e45,
,Advanced Care Alh,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/01dbd133-fd2f-438d-93de-6936852db4db,
,Advantage Adult Health Care Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/2016bd06-daea-4af3-844c-535353fb527c,
,Advantage Adult Healthcare,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e2e945c2-28ba-4fed-b569-093ef393bef0,
,Advantage Home Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/887ba4e3-ae08-49c5-a4db-43d998279380,
,Aegis At 38Th Place Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/146eb3f7-3149-4209-afef-d9969404e4b6,
,Aegis At 38Th Place Assisted Living Ii,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-38th-place-assisted-living-ii
,Aegis At Cassia,a:1:{i:0;i:1;}; field_682fc481aaf60,Uncategorized,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/31c686bc-1121-4788-9740-8e85da5708ba,
,Aegis At Cassia Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b3d94209-3ecd-434b-9be4-0663e4635e56,
,Aegis At Coconino Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/322d57da-a303-4750-a5d9-f262b4683cbf,
,Aegis At Fairview Assisted Living,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/chandler/aegis-at-fairview-assisted-living-home
,Aegis At Homestead Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/add3307f-2cbb-4376-97bb-e6ddfdcc27a0,
,Aegis At Redwood Assisted Living,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/aegis-at-redwood-assisted-living-home
,Aegis At Temple Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/74fd54ef-e9c9-4d4e-9f5e-73a5bf3c892e,
,Affirmative Care Home,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/tucson/affirmative-care-home
,Agape Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/bf03b5c5-25d4-4f7f-beff-e020a5a2abb2,
,Agape Care Home Of Scottsdale,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agape-care-home-of-scottsdale
,Agape Senior Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b436d227-afe4-4425-9ab3-6dfd240f3c1e,
,Agape Senior Living Of Scottsdale,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b1b6258e-a98d-4c5f-9328-8e403761d2d7,
,Agape Terrace,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/105521e6-db70-4034-8bc5-74d500eb8310,
,Agave Assisted Living Ii,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/peoria/agave-assisted-living-home-ii
,Agave Care Home Of Scottsdale,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-care-home-of-scottsdale
,Agave Hills,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/d4e69696-670c-48f9-84d7-f6a99de4cce5,
,Agave Manor,a:3:{i:0;i:162;i:1;i:5;i:2;i:3;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community, Memory Care","0, 2, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/scottsdale/agave-manor
,Ageless Angels Alh 2,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2
,Ageless Angels Assisted Living 1,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/c64e5bc2-ba0e-44ef-81fe-9c3411172b27,
,Aging Gracefully,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347,
,Aguilera Assisted Living,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/tucson/aguilera-assisted-living-home
,Ahadi Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/222b4f8c-9dee-4c4c-babd-4225e1d99a55,
,Ahwatukee Adult Care Iii,a:2:{i:0;i:162;i:1;i:5;}; field_682fc481aaf60,"Assisted Living Home, Uncategorized, Assisted Living Community","0, field_682fc481aaf60",ok,,https://www.seniorly.com/assisted-living/arizona/phoenix/ahwatukee-adult-care-iii
,Ahwatukee Comfort Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/97f69d40-3882-40c6-a3ac-af282bcb25dd,
,Ahwatukee Manor Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/742984c9-e721-4864-a81d-885a86f76e95,
,Ahwatukee Manor Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb,
,Aj Homecare,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/bb541aed-63b0-4474-a454-37105b39d2ee,
,Aksagar Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/fed880bf-3208-439a-8ce8-833dd499186e,
,Al Glory Care Home,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/19896984-c76b-4288-b256-e0d478a41b07,
,Alaga Residential Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/b2fd9653-c269-4f0f-ba2f-ad9fd6ef1712,
,Alder Leaf Assisted Living,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8,
,Alder Leaf Assisted Living At Casltegate,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/d382a368-56e9-425d-a130-a572b4efdd85,
,Alder Leaf At Summit Shadows,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/e11c6baa-0117-4c4a-9e3d-c422b59daeba,
,Alert Adult Care,a:1:{i:0;i:162;}; field_682fc481aaf60,Assisted Living Home,"0, field_682fc481aaf60",ok,https://app.seniorplace.com/communities/show/4ea65196-0600-4b92-b70c-9b266de8e3f5,
